08:37:18 Pod rfr-test-cluster-2 2471:	Started container redis
08:37:18 Pod rfr-test-cluster-2 2471:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:37:18 Pod rfr-test-cluster-2 2471:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 129.21183ms
08:37:18 Pod rfr-test-cluster-2 2471:	Created container redis-exporter
08:37:21 Pod rfr-test-cluster-2 2471:	Started container redis-exporter
08:37:57 Pod rfr-test-cluster-2 2471:	Readiness probe failed: 
08:23:00 PodDisruptionBudget rfr-test-cluster 810:	No matching pods found
08:23:01 StatefulSet rfr-test-cluster 815:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
08:23:01 StatefulSet rfr-test-cluster 815:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
08:23:01 StatefulSet rfr-test-cluster 815:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
08:25:11 Endpoints rfr-test-cluster 938:	Failed to update endpoint acto-namespace/rfr-test-cluster: Operation cannot be fulfilled on endpoints "rfr-test-cluster": the object has been modified; please apply your changes to the latest version and try again
08:27:17 StatefulSet rfr-test-cluster 1433:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom.configMapKeyRef.name: Invalid value: "": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
