08:38:48 StatefulSet rfr-test-cluster 818:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
08:38:48 StatefulSet rfr-test-cluster 818:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
08:38:48 Pod rfs-test-cluster-54df69f8df-2cg6s 848:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-2cg6s to acto-cluster-13-worker3
08:38:49 Pod rfs-test-cluster-54df69f8df-2cg6s 853:	Container image "redis:6.2.6-alpine" already present on machine
08:38:49 Pod rfs-test-cluster-54df69f8df-2cg6s 853:	Created container sentinel-config-copy
08:39:03 Pod rfs-test-cluster-54df69f8df-2cg6s 853:	Started container sentinel-config-copy
08:39:06 Pod rfs-test-cluster-54df69f8df-2cg6s 853:	Container image "redis:6.2.6-alpine" already present on machine
08:39:06 Pod rfs-test-cluster-54df69f8df-2cg6s 853:	Created container sentinel
08:39:06 Pod rfs-test-cluster-54df69f8df-2cg6s 853:	Started container sentinel
08:38:48 Pod rfs-test-cluster-54df69f8df-4nt6n 854:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-4nt6n to acto-cluster-13-worker2
08:38:49 Pod rfs-test-cluster-54df69f8df-4nt6n 860:	Container image "redis:6.2.6-alpine" already present on machine
08:38:49 Pod rfs-test-cluster-54df69f8df-4nt6n 860:	Created container sentinel-config-copy
08:39:05 Pod rfs-test-cluster-54df69f8df-4nt6n 860:	Started container sentinel-config-copy
08:39:07 Pod rfs-test-cluster-54df69f8df-4nt6n 860:	Container image "redis:6.2.6-alpine" already present on machine
08:39:07 Pod rfs-test-cluster-54df69f8df-4nt6n 860:	Created container sentinel
08:39:08 Pod rfs-test-cluster-54df69f8df-4nt6n 860:	Started container sentinel
08:38:48 Pod rfs-test-cluster-54df69f8df-n7q2w 855:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-n7q2w to acto-cluster-13-worker
08:38:49 Pod rfs-test-cluster-54df69f8df-n7q2w 859:	Container image "redis:6.2.6-alpine" already present on machine
08:38:49 Pod rfs-test-cluster-54df69f8df-n7q2w 859:	Created container sentinel-config-copy
08:39:04 Pod rfs-test-cluster-54df69f8df-n7q2w 859:	Started container sentinel-config-copy
08:39:06 Pod rfs-test-cluster-54df69f8df-n7q2w 859:	Container image "redis:6.2.6-alpine" already present on machine
08:39:06 Pod rfs-test-cluster-54df69f8df-n7q2w 859:	Created container sentinel
08:39:06 Pod rfs-test-cluster-54df69f8df-n7q2w 859:	Started container sentinel
08:38:48 ReplicaSet rfs-test-cluster-54df69f8df 846:	Created pod: rfs-test-cluster-54df69f8df-2cg6s
08:38:48 ReplicaSet rfs-test-cluster-54df69f8df 846:	Created pod: rfs-test-cluster-54df69f8df-n7q2w
08:38:48 ReplicaSet rfs-test-cluster-54df69f8df 846:	Created pod: rfs-test-cluster-54df69f8df-4nt6n
08:38:48 PodDisruptionBudget rfs-test-cluster 840:	No matching pods found
08:38:48 Deployment rfs-test-cluster 845:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
