09:39:23 Pod redisoperator-56c8dfdfb-vl45k 798:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-vl45k to acto-cluster-7-worker2
09:42:31 Pod rfr-test-cluster-2 1366:	Container image "redis:6.2.6-alpine" already present on machine
09:42:31 Pod rfr-test-cluster-2 1366:	Created container redis
09:42:31 Pod rfr-test-cluster-2 1366:	Started container redis
09:42:31 Pod rfr-test-cluster-2 1366:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:42:31 Pod rfr-test-cluster-2 1366:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 138.044003ms
09:42:31 Pod rfr-test-cluster-2 1366:	Created container redis-exporter
09:42:34 Pod rfr-test-cluster-2 1366:	Started container redis-exporter
09:39:25 PodDisruptionBudget rfr-test-cluster 823:	No matching pods found
09:39:25 StatefulSet rfr-test-cluster 826:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
09:39:25 StatefulSet rfr-test-cluster 826:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
09:39:25 StatefulSet rfr-test-cluster 826:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
09:54:08 Pod rfs-test-cluster-54df69f8df-c4vqd 2709:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-c4vqd to acto-cluster-7-worker3
09:54:08 Pod rfs-test-cluster-54df69f8df-c4vqd 2714:	Container image "redis:6.2.6-alpine" already present on machine
09:54:08 Pod rfs-test-cluster-54df69f8df-c4vqd 2714:	Created container sentinel-config-copy
09:54:21 Pod rfs-test-cluster-54df69f8df-c4vqd 2714:	Started container sentinel-config-copy
09:54:23 Pod rfs-test-cluster-54df69f8df-c4vqd 2714:	Container image "redis:6.2.6-alpine" already present on machine
09:54:23 Pod rfs-test-cluster-54df69f8df-c4vqd 2714:	Created container sentinel
09:54:23 Pod rfs-test-cluster-54df69f8df-c4vqd 2714:	Started container sentinel
09:59:21 Pod rfs-test-cluster-54df69f8df-c4vqd 2714:	Stopping container sentinel
09:39:26 Pod rfs-test-cluster-54df69f8df-dtkzl 862:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-dtkzl to acto-cluster-7-worker
09:39:26 Pod rfs-test-cluster-54df69f8df-dtkzl 867:	Container image "redis:6.2.6-alpine" already present on machine
09:39:26 Pod rfs-test-cluster-54df69f8df-dtkzl 867:	Created container sentinel-config-copy
