I0402 12:41:31.315753       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
I0402 12:41:31.663960       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 3
I0402 12:41:31.664013       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 12:41:31.676499       1 stateful_set_control.go:92] : [acto-namespace/test-cluster]'s StatefulSet: [acto-namespace/test-cluster-tidb] updated successfully
I0402 12:41:31.720662       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
I0402 12:41:32.860257       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 12:41:32.861113       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 12:41:32.861141       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 12:41:32.911574       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
I0402 12:41:34.062394       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 12:41:34.063833       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 12:41:34.063879       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 12:41:34.112301       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
I0402 12:41:35.260840       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 12:41:35.261991       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 12:41:35.262023       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 12:41:36.460053       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 12:41:36.461038       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 12:41:36.461067       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 12:41:55.411523       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 12:41:55.412306       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 12:41:55.412334       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 12:42:04.032246       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 12:42:04.033136       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 12:42:04.049718       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
I0402 12:42:04.049758       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded tidb pod: [test-cluster-tidb-2] is not ready, requeuing
