00:30:48 Pod test-cluster-pxc-1 2813:	Container image "percona/percona-xtradb-cluster-operator:1.11.0" already present on machine
00:30:48 Pod test-cluster-pxc-1 2813:	Created container pxc-init
00:30:49 Pod test-cluster-pxc-1 2813:	Started container pxc-init
00:30:50 Pod test-cluster-pxc-1 2813:	Container image "percona/percona-xtradb-cluster-operator:1.11.0-logcollector" already present on machine
00:30:50 Pod test-cluster-pxc-1 2813:	Created container logs
00:30:50 Pod test-cluster-pxc-1 2813:	Started container logs
00:30:50 Pod test-cluster-pxc-1 2813:	Container image "percona/percona-xtradb-cluster-operator:1.11.0-logcollector" already present on machine
00:30:50 Pod test-cluster-pxc-1 2813:	Created container logrotate
00:30:50 Pod test-cluster-pxc-1 2813:	Started container logrotate
00:30:50 Pod test-cluster-pxc-1 2813:	Container image "percona/percona-xtradb-cluster:8.0.27-18.1" already present on machine
00:30:50 Pod test-cluster-pxc-1 2813:	Created container pxc
00:30:51 Pod test-cluster-pxc-1 2813:	Started container pxc
00:37:53 Pod test-cluster-pxc-1 2813:	Stopping container logs
00:37:53 Pod test-cluster-pxc-1 2813:	Stopping container pxc
00:37:53 Pod test-cluster-pxc-1 2813:	Stopping container logrotate
00:38:07 Pod test-cluster-pxc-1 4194:	Successfully assigned acto-namespace/test-cluster-pxc-1 to acto-cluster-1-worker
00:38:09 Pod test-cluster-pxc-1 4195:	MountVolume.SetUp failed for volume "vault-keyring-secret" : failed to sync secret cache: timed out waiting for the condition
00:38:10 Pod test-cluster-pxc-1 4195:	Container image "percona/percona-xtradb-cluster-operator:1.11.0" already present on machine
00:38:10 Pod test-cluster-pxc-1 4195:	Created container pxc-init
00:38:11 Pod test-cluster-pxc-1 4195:	Started container pxc-init
00:38:11 Pod test-cluster-pxc-1 4195:	Container image "percona/percona-xtradb-cluster-operator:1.11.0-logcollector" already present on machine
00:38:11 Pod test-cluster-pxc-1 4195:	Created container logs
00:38:12 Pod test-cluster-pxc-1 4195:	Started container logs
00:38:12 Pod test-cluster-pxc-1 4195:	Container image "percona/percona-xtradb-cluster-operator:1.11.0-logcollector" already present on machine
00:38:12 Pod test-cluster-pxc-1 4195:	Created container logrotate
00:38:12 Pod test-cluster-pxc-1 4195:	Started container logrotate
00:38:12 Pod test-cluster-pxc-1 4195:	Container image "percona/percona-xtradb-cluster:8.0.27-18.1" already present on machine
00:38:12 Pod test-cluster-pxc-1 4195:	Created container pxc
00:38:12 Pod test-cluster-pxc-1 4195:	Started container pxc
00:44:56 Pod test-cluster-pxc-1 4195:	Stopping container logs
00:44:56 Pod test-cluster-pxc-1 4195:	Stopping container pxc
00:44:56 Pod test-cluster-pxc-1 4195:	Stopping container logrotate
00:45:10 Pod test-cluster-pxc-1 5501:	Successfully assigned acto-namespace/test-cluster-pxc-1 to acto-cluster-1-worker
00:45:11 Pod test-cluster-pxc-1 5503:	Container image "percona/percona-xtradb-cluster-operator:1.11.0" already present on machine
00:45:11 Pod test-cluster-pxc-1 5503:	Created container pxc-init
00:45:11 Pod test-cluster-pxc-1 5503:	Started container pxc-init
00:45:13 Pod test-cluster-pxc-1 5503:	Container image "percona/percona-xtradb-cluster-operator:1.11.0-logcollector" already present on machine
00:45:13 Pod test-cluster-pxc-1 5503:	Created container logs
00:45:13 Pod test-cluster-pxc-1 5503:	Started container logs
00:45:13 Pod test-cluster-pxc-1 5503:	Container image "percona/percona-xtradb-cluster-operator:1.11.0-logcollector" already present on machine
00:45:13 Pod test-cluster-pxc-1 5503:	Created container logrotate
00:45:13 Pod test-cluster-pxc-1 5503:	Started container logrotate
00:45:13 Pod test-cluster-pxc-1 5503:	Container image "percona/percona-xtradb-cluster:8.0.27-18.1" already present on machine
00:45:13 Pod test-cluster-pxc-1 5503:	Created container pxc
00:45:13 Pod test-cluster-pxc-1 5503:	Started container pxc
00:52:10 Pod test-cluster-pxc-1 5503:	Stopping container logs
00:52:10 Pod test-cluster-pxc-1 5503:	Stopping container pxc
00:52:10 Pod test-cluster-pxc-1 5503:	Stopping container logrotate
00:52:24 Pod test-cluster-pxc-1 6893:	Successfully assigned acto-namespace/test-cluster-pxc-1 to acto-cluster-1-worker
00:52:26 Pod test-cluster-pxc-1 6894:	Container image "percona/percona-xtradb-cluster-operator:1.11.0" already present on machine
00:52:26 Pod test-cluster-pxc-1 6894:	Created container pxc-init
00:52:26 Pod test-cluster-pxc-1 6894:	Started container pxc-init
00:52:27 Pod test-cluster-pxc-1 6894:	Container image "percona/percona-xtradb-cluster-operator:1.11.0-logcollector" already present on machine
00:52:27 Pod test-cluster-pxc-1 6894:	Created container logs
00:52:27 Pod test-cluster-pxc-1 6894:	Started container logs
00:52:27 Pod test-cluster-pxc-1 6894:	Container image "percona/percona-xtradb-cluster-operator:1.11.0-logcollector" already present on machine
00:52:27 Pod test-cluster-pxc-1 6894:	Created container logrotate
00:52:28 Pod test-cluster-pxc-1 6894:	Started container logrotate
00:52:28 Pod test-cluster-pxc-1 6894:	Container image "percona/percona-xtradb-cluster:8.0.27-18.1" already present on machine
00:52:28 Pod test-cluster-pxc-1 6894:	Created container pxc
00:52:28 Pod test-cluster-pxc-1 6894:	Started container pxc
00:29:42 Pod test-cluster-pxc-2 1604:	Stopping container logs
00:29:42 Pod test-cluster-pxc-2 1604:	Stopping container pxc
00:29:42 Pod test-cluster-pxc-2 1604:	Stopping container logrotate
00:29:57 Pod test-cluster-pxc-2 2631:	Successfully assigned acto-namespace/test-cluster-pxc-2 to acto-cluster-1-worker2
00:29:58 Pod test-cluster-pxc-2 2632:	Container image "percona/percona-xtradb-cluster-operator:1.11.0" already present on machine
00:29:58 Pod test-cluster-pxc-2 2632:	Created container pxc-init
00:29:58 Pod test-cluster-pxc-2 2632:	Started container pxc-init
00:30:00 Pod test-cluster-pxc-2 2632:	Container image "percona/percona-xtradb-cluster-operator:1.11.0-logcollector" already present on machine
00:30:00 Pod test-cluster-pxc-2 2632:	Created container logs
00:30:00 Pod test-cluster-pxc-2 2632:	Started container logs
00:30:00 Pod test-cluster-pxc-2 2632:	Container image "percona/percona-xtradb-cluster-operator:1.11.0-logcollector" already present on machine
00:30:00 Pod test-cluster-pxc-2 2632:	Created container logrotate
00:30:00 Pod test-cluster-pxc-2 2632:	Started container logrotate
00:30:00 Pod test-cluster-pxc-2 2632:	Container image "percona/percona-xtradb-cluster:8.0.27-18.1" already present on machine
00:30:00 Pod test-cluster-pxc-2 2632:	Created container pxc
00:30:00 Pod test-cluster-pxc-2 2632:	Started container pxc
00:37:03 Pod test-cluster-pxc-2 2632:	Stopping container logs
00:37:03 Pod test-cluster-pxc-2 2632:	Stopping container logrotate
00:37:03 Pod test-cluster-pxc-2 2632:	Stopping container pxc
00:37:17 Pod test-cluster-pxc-2 4017:	Successfully assigned acto-namespace/test-cluster-pxc-2 to acto-cluster-1-worker2
00:37:19 Pod test-cluster-pxc-2 4018:	Container image "percona/percona-xtradb-cluster-operator:1.11.0" already present on machine
00:37:19 Pod test-cluster-pxc-2 4018:	Created container pxc-init
00:37:19 Pod test-cluster-pxc-2 4018:	Started container pxc-init
00:37:20 Pod test-cluster-pxc-2 4018:	Container image "percona/percona-xtradb-cluster-operator:1.11.0-logcollector" already present on machine
00:37:20 Pod test-cluster-pxc-2 4018:	Created container logs
00:37:20 Pod test-cluster-pxc-2 4018:	Started container logs
00:37:20 Pod test-cluster-pxc-2 4018:	Container image "percona/percona-xtradb-cluster-operator:1.11.0-logcollector" already present on machine
00:37:20 Pod test-cluster-pxc-2 4018:	Created container logrotate
00:37:21 Pod test-cluster-pxc-2 4018:	Started container logrotate
00:37:21 Pod test-cluster-pxc-2 4018:	Container image "percona/percona-xtradb-cluster:8.0.27-18.1" already present on machine
00:37:21 Pod test-cluster-pxc-2 4018:	Created container pxc
