08:22:47 Pod redisoperator-56c8dfdfb-mkv88 790:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-mkv88 to acto-cluster-6-worker2
08:26:23 Pod rfr-test-cluster-2 1412:	Started container redis
08:26:23 Pod rfr-test-cluster-2 1412:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:26:23 Pod rfr-test-cluster-2 1412:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 120.2925ms
08:26:23 Pod rfr-test-cluster-2 1412:	Created container redis-exporter
08:26:26 Pod rfr-test-cluster-2 1412:	Started container redis-exporter
08:22:49 PodDisruptionBudget rfr-test-cluster 815:	No matching pods found
08:22:49 StatefulSet rfr-test-cluster 819:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
08:22:49 StatefulSet rfr-test-cluster 819:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
08:22:49 StatefulSet rfr-test-cluster 819:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
08:22:50 Pod rfs-test-cluster-54df69f8df-jh8xc 855:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-jh8xc to acto-cluster-6-worker
08:22:50 Pod rfs-test-cluster-54df69f8df-jh8xc 858:	Container image "redis:6.2.6-alpine" already present on machine
08:22:50 Pod rfs-test-cluster-54df69f8df-jh8xc 858:	Created container sentinel-config-copy
08:23:06 Pod rfs-test-cluster-54df69f8df-jh8xc 858:	Started container sentinel-config-copy
08:23:08 Pod rfs-test-cluster-54df69f8df-jh8xc 858:	Container image "redis:6.2.6-alpine" already present on machine
08:23:08 Pod rfs-test-cluster-54df69f8df-jh8xc 858:	Created container sentinel
08:23:09 Pod rfs-test-cluster-54df69f8df-jh8xc 858:	Started container sentinel
08:22:50 Pod rfs-test-cluster-54df69f8df-lcj9j 851:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-lcj9j to acto-cluster-6-worker3
08:22:50 Pod rfs-test-cluster-54df69f8df-lcj9j 856:	Container image "redis:6.2.6-alpine" already present on machine
08:22:50 Pod rfs-test-cluster-54df69f8df-lcj9j 856:	Created container sentinel-config-copy
08:23:07 Pod rfs-test-cluster-54df69f8df-lcj9j 856:	Started container sentinel-config-copy
08:23:09 Pod rfs-test-cluster-54df69f8df-lcj9j 856:	Container image "redis:6.2.6-alpine" already present on machine
08:23:09 Pod rfs-test-cluster-54df69f8df-lcj9j 856:	Created container sentinel
08:23:09 Pod rfs-test-cluster-54df69f8df-lcj9j 856:	Started container sentinel
08:22:50 Pod rfs-test-cluster-54df69f8df-pt69k 848:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-pt69k to acto-cluster-6-worker2
08:22:50 Pod rfs-test-cluster-54df69f8df-pt69k 853:	Container image "redis:6.2.6-alpine" already present on machine
08:22:50 Pod rfs-test-cluster-54df69f8df-pt69k 853:	Created container sentinel-config-copy
08:23:07 Pod rfs-test-cluster-54df69f8df-pt69k 853:	Started container sentinel-config-copy
08:23:09 Pod rfs-test-cluster-54df69f8df-pt69k 853:	Container image "redis:6.2.6-alpine" already present on machine
08:23:09 Pod rfs-test-cluster-54df69f8df-pt69k 853:	Created container sentinel
08:23:10 Pod rfs-test-cluster-54df69f8df-pt69k 853:	Started container sentinel
08:22:50 ReplicaSet rfs-test-cluster-54df69f8df 846:	Created pod: rfs-test-cluster-54df69f8df-pt69k
08:22:50 ReplicaSet rfs-test-cluster-54df69f8df 846:	Created pod: rfs-test-cluster-54df69f8df-lcj9j
08:22:50 ReplicaSet rfs-test-cluster-54df69f8df 846:	Created pod: rfs-test-cluster-54df69f8df-jh8xc
08:22:49 PodDisruptionBudget rfs-test-cluster 841:	No matching pods found
08:22:50 Deployment rfs-test-cluster 845:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
