I0402 09:49:17.304266       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
I0402 09:49:17.651683       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 3
I0402 09:49:17.651734       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 09:49:17.663572       1 stateful_set_control.go:92] : [acto-namespace/test-cluster]'s StatefulSet: [acto-namespace/test-cluster-tidb] updated successfully
I0402 09:49:17.708069       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
I0402 09:49:18.850162       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 09:49:18.851571       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 09:49:18.851612       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 09:49:18.872546       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
I0402 09:49:20.049418       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 09:49:20.050155       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 09:49:20.050188       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 09:49:20.094181       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
I0402 09:49:21.249189       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 09:49:21.250344       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 09:49:21.250389       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 09:49:22.451051       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 09:49:22.452110       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 09:49:22.452141       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 09:49:25.724619       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 09:49:25.725280       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 09:49:25.725301       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 09:49:53.990252       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 09:49:53.990915       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 09:49:54.008813       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
E0402 09:49:54.008854       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbUpgrader.Upgrade: failed to get pods test-cluster-tidb-2 for cluster acto-namespace/test-cluster, error: pod "test-cluster-tidb-2" not found, requeuing
I0402 09:49:54.120855       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 09:49:54.121526       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
E0402 09:49:54.121661       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbUpgrader.Upgrade: failed to get pods test-cluster-tidb-2 for cluster acto-namespace/test-cluster, error: pod "test-cluster-tidb-2" not found, requeuing
I0402 09:49:55.123637       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 09:49:55.124606       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
E0402 09:49:55.124790       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbUpgrader.Upgrade: failed to get pods test-cluster-tidb-2 for cluster acto-namespace/test-cluster, error: pod "test-cluster-tidb-2" not found, requeuing
I0402 09:49:55.981422       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 09:49:55.982395       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
E0402 09:49:55.982580       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbUpgrader.Upgrade: failed to get pods test-cluster-tidb-2 for cluster acto-namespace/test-cluster, error: pod "test-cluster-tidb-2" not found, requeuing
I0402 09:49:59.237145       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 09:49:59.238044       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
E0402 09:49:59.238205       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbUpgrader.Upgrade: failed to get pods test-cluster-tidb-2 for cluster acto-namespace/test-cluster, error: pod "test-cluster-tidb-2" not found, requeuing
I0402 09:50:15.340751       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 09:50:15.341427       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
E0402 09:50:15.341576       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbUpgrader.Upgrade: failed to get pods test-cluster-tidb-2 for cluster acto-namespace/test-cluster, error: pod "test-cluster-tidb-2" not found, requeuing
I0402 09:50:25.731338       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 09:50:25.732362       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
E0402 09:50:25.732564       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbUpgrader.Upgrade: failed to get pods test-cluster-tidb-2 for cluster acto-namespace/test-cluster, error: pod "test-cluster-tidb-2" not found, requeuing
I0402 09:50:47.449679       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 09:50:47.450409       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
E0402 09:50:47.450550       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbUpgrader.Upgrade: failed to get pods test-cluster-tidb-2 for cluster acto-namespace/test-cluster, error: pod "test-cluster-tidb-2" not found, requeuing
I0402 09:50:55.726022       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 09:50:55.727142       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
E0402 09:50:55.727329       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbUpgrader.Upgrade: failed to get pods test-cluster-tidb-2 for cluster acto-namespace/test-cluster, error: pod "test-cluster-tidb-2" not found, requeuing
I0402 09:51:25.707268       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 09:51:25.708306       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
E0402 09:51:25.708501       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbUpgrader.Upgrade: failed to get pods test-cluster-tidb-2 for cluster acto-namespace/test-cluster, error: pod "test-cluster-tidb-2" not found, requeuing
I0402 09:51:55.715668       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 09:51:55.716669       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
E0402 09:51:55.716850       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbUpgrader.Upgrade: failed to get pods test-cluster-tidb-2 for cluster acto-namespace/test-cluster, error: pod "test-cluster-tidb-2" not found, requeuing
I0402 09:52:25.732088       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 09:52:25.733147       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
E0402 09:52:25.733360       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbUpgrader.Upgrade: failed to get pods test-cluster-tidb-2 for cluster acto-namespace/test-cluster, error: pod "test-cluster-tidb-2" not found, requeuing
I0402 09:52:27.572211       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 09:52:27.573073       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
E0402 09:52:27.573241       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbUpgrader.Upgrade: failed to get pods test-cluster-tidb-2 for cluster acto-namespace/test-cluster, error: pod "test-cluster-tidb-2" not found, requeuing
I0402 09:52:55.729462       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 09:52:55.730886       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
E0402 09:52:55.731189       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbUpgrader.Upgrade: failed to get pods test-cluster-tidb-2 for cluster acto-namespace/test-cluster, error: pod "test-cluster-tidb-2" not found, requeuing
I0402 09:53:25.720316       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 09:53:25.721349       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
E0402 09:53:25.721531       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbUpgrader.Upgrade: failed to get pods test-cluster-tidb-2 for cluster acto-namespace/test-cluster, error: pod "test-cluster-tidb-2" not found, requeuing
I0402 09:53:55.727890       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 09:53:55.729085       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
E0402 09:53:55.729318       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbUpgrader.Upgrade: failed to get pods test-cluster-tidb-2 for cluster acto-namespace/test-cluster, error: pod "test-cluster-tidb-2" not found, requeuing
I0402 09:54:07.664455       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 09:54:07.665595       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
E0402 09:54:07.665835       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbUpgrader.Upgrade: failed to get pods test-cluster-tidb-2 for cluster acto-namespace/test-cluster, error: pod "test-cluster-tidb-2" not found, requeuing
I0402 09:54:25.708733       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 09:54:25.709253       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
E0402 09:54:25.709388       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbUpgrader.Upgrade: failed to get pods test-cluster-tidb-2 for cluster acto-namespace/test-cluster, error: pod "test-cluster-tidb-2" not found, requeuing
I0402 09:54:55.727217       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 09:54:55.728218       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
E0402 09:54:55.728449       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbUpgrader.Upgrade: failed to get pods test-cluster-tidb-2 for cluster acto-namespace/test-cluster, error: pod "test-cluster-tidb-2" not found, requeuing
I0402 09:55:25.727116       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 09:55:25.727844       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
E0402 09:55:25.727995       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbUpgrader.Upgrade: failed to get pods test-cluster-tidb-2 for cluster acto-namespace/test-cluster, error: pod "test-cluster-tidb-2" not found, requeuing
I0402 09:55:47.776502       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 09:55:47.777183       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
E0402 09:55:47.777323       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbUpgrader.Upgrade: failed to get pods test-cluster-tidb-2 for cluster acto-namespace/test-cluster, error: pod "test-cluster-tidb-2" not found, requeuing
I0402 09:55:55.707497       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 09:55:55.709575       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
E0402 09:55:55.709885       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbUpgrader.Upgrade: failed to get pods test-cluster-tidb-2 for cluster acto-namespace/test-cluster, error: pod "test-cluster-tidb-2" not found, requeuing
I0402 09:56:25.738280       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
