04:32:45 Pod cockroach-operator-manager-57b7fbd794-msxjv 755:	Successfully assigned cockroach-operator-system/cockroach-operator-manager-57b7fbd794-msxjv to acto-cluster-7-worker
04:39:00 Pod test-cluster-1 1804:	Created container db
04:39:01 Pod test-cluster-1 1804:	Started container db
04:39:14 Pod test-cluster-1 1804:	Readiness probe failed: HTTP probe failed with statuscode: 503
04:35:09 Pod test-cluster-2 1087:	Successfully assigned cockroach-operator-system/test-cluster-2 to acto-cluster-7-worker
04:35:09 Pod test-cluster-2 1183:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:35:09 Pod test-cluster-2 1183:	Created container db-init
04:35:09 Pod test-cluster-2 1183:	Started container db-init
04:35:10 Pod test-cluster-2 1183:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:35:10 Pod test-cluster-2 1183:	Created container db
04:35:10 Pod test-cluster-2 1183:	Started container db
04:36:11 Pod test-cluster-2 1183:	Stopping container db
04:36:16 Pod test-cluster-2 1349:	Successfully assigned cockroach-operator-system/test-cluster-2 to acto-cluster-7-worker
04:36:17 Pod test-cluster-2 1350:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:36:17 Pod test-cluster-2 1350:	Created container db-init
04:36:17 Pod test-cluster-2 1350:	Started container db-init
04:36:17 Pod test-cluster-2 1350:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:36:17 Pod test-cluster-2 1350:	Created container db
04:36:17 Pod test-cluster-2 1350:	Started container db
04:38:38 Pod test-cluster-2 1350:	Stopping container db
04:38:40 Pod test-cluster-2 1730:	Successfully assigned cockroach-operator-system/test-cluster-2 to acto-cluster-7-worker
04:38:41 Pod test-cluster-2 1732:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:38:41 Pod test-cluster-2 1732:	Created container db-init
04:38:41 Pod test-cluster-2 1732:	Started container db-init
04:38:41 Pod test-cluster-2 1732:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:38:41 Pod test-cluster-2 1732:	Created container db
04:38:42 Pod test-cluster-2 1732:	Started container db
04:39:05 Pod test-cluster-2 1732:	Readiness probe failed: HTTP probe failed with statuscode: 503
04:34:59 Pod test-cluster-vcheck-28006834--1-klkh8 1023:	Successfully assigned cockroach-operator-system/test-cluster-vcheck-28006834--1-klkh8 to acto-cluster-7-worker
04:35:00 Pod test-cluster-vcheck-28006834--1-klkh8 1025:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:35:00 Pod test-cluster-vcheck-28006834--1-klkh8 1025:	Created container crdb
04:35:00 Pod test-cluster-vcheck-28006834--1-klkh8 1025:	Started container crdb
04:35:03 Pod test-cluster-vcheck-28006834--1-klkh8 1025:	Stopping container crdb
04:34:59 Job test-cluster-vcheck-28006834 1022:	Created pod: test-cluster-vcheck-28006834--1-klkh8
04:35:02 Pod test-cluster-vcheck-28006835--1-8h4jv 1042:	Successfully assigned cockroach-operator-system/test-cluster-vcheck-28006835--1-8h4jv to acto-cluster-7-worker2
04:35:02 Pod test-cluster-vcheck-28006835--1-8h4jv 1044:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:35:02 Pod test-cluster-vcheck-28006835--1-8h4jv 1044:	Created container crdb
04:35:02 Pod test-cluster-vcheck-28006835--1-8h4jv 1044:	Started container crdb
04:35:02 Job test-cluster-vcheck-28006835 1041:	Created pod: test-cluster-vcheck-28006835--1-8h4jv
04:37:37 Job test-cluster-vcheck-28006835 1045:	Job completed
04:35:03 StatefulSet test-cluster 1065:	create Claim datadir-test-cluster-0 Pod test-cluster-0 in StatefulSet test-cluster success
04:35:03 StatefulSet test-cluster 1065:	create Pod test-cluster-0 in StatefulSet test-cluster successful
04:35:03 StatefulSet test-cluster 1065:	create Claim datadir-test-cluster-1 Pod test-cluster-1 in StatefulSet test-cluster success
04:35:03 StatefulSet test-cluster 1065:	create Pod test-cluster-1 in StatefulSet test-cluster successful
04:35:03 StatefulSet test-cluster 1065:	create Claim datadir-test-cluster-2 Pod test-cluster-2 in StatefulSet test-cluster success
04:35:03 StatefulSet test-cluster 1065:	create Pod test-cluster-2 in StatefulSet test-cluster successful
04:36:11 StatefulSet test-cluster 1322:	delete Pod test-cluster-2 in StatefulSet test-cluster successful
04:36:31 StatefulSet test-cluster 1354:	delete Pod test-cluster-1 in StatefulSet test-cluster successful
04:36:51 StatefulSet test-cluster 1429:	delete Pod test-cluster-0 in StatefulSet test-cluster successful
