06:39:23 Pod rfr-test-cluster-1 1925:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 166.020837ms
06:39:23 Pod rfr-test-cluster-1 1925:	Created container redis-exporter
06:39:26 Pod rfr-test-cluster-1 1925:	Started container redis-exporter
06:40:02 Pod rfr-test-cluster-1 1925:	Readiness probe failed: 
06:31:48 Pod rfr-test-cluster-2 824:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-4-worker2
06:31:49 Pod rfr-test-cluster-2 828:	Container image "redis:6.2.6-alpine" already present on machine
06:31:49 Pod rfr-test-cluster-2 828:	Created container redis
06:31:49 Pod rfr-test-cluster-2 828:	Started container redis
06:31:49 Pod rfr-test-cluster-2 828:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:31:50 Pod rfr-test-cluster-2 828:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 246.223456ms
06:31:50 Pod rfr-test-cluster-2 828:	Created container redis-exporter
06:31:53 Pod rfr-test-cluster-2 828:	Started container redis-exporter
06:32:28 Pod rfr-test-cluster-2 828:	Readiness probe failed: 
06:34:51 Pod rfr-test-cluster-2 828:	Stopping container redis
06:34:51 Pod rfr-test-cluster-2 828:	Stopping container redis-exporter
06:34:52 Pod rfr-test-cluster-2 1347:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-4-worker2
06:34:53 Pod rfr-test-cluster-2 1348:	Pulling image "redis:6.2.6-alpine"
06:34:53 Pod rfr-test-cluster-2 1348:	Successfully pulled image "redis:6.2.6-alpine" in 431.26098ms
06:34:53 Pod rfr-test-cluster-2 1348:	Created container redis
06:34:53 Pod rfr-test-cluster-2 1348:	Started container redis
06:38:50 Pod rfr-test-cluster-2 1348:	Stopping container redis
06:38:52 Pod rfr-test-cluster-2 1845:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-4-worker2
06:38:52 Pod rfr-test-cluster-2 1848:	Container image "redis:6.2.6-alpine" already present on machine
06:38:52 Pod rfr-test-cluster-2 1848:	Created container redis
06:38:53 Pod rfr-test-cluster-2 1848:	Started container redis
06:38:53 Pod rfr-test-cluster-2 1848:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:38:53 Pod rfr-test-cluster-2 1848:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 110.576385ms
06:38:53 Pod rfr-test-cluster-2 1848:	Created container redis-exporter
06:38:57 Pod rfr-test-cluster-2 1848:	Started container redis-exporter
06:31:48 PodDisruptionBudget rfr-test-cluster 809:	No matching pods found
06:31:48 StatefulSet rfr-test-cluster 811:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
06:31:48 StatefulSet rfr-test-cluster 811:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
06:31:48 StatefulSet rfr-test-cluster 811:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
06:31:48 Pod rfs-test-cluster-54df69f8df-76rmn 849:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-76rmn to acto-cluster-4-worker
06:31:49 Pod rfs-test-cluster-54df69f8df-76rmn 856:	Container image "redis:6.2.6-alpine" already present on machine
06:31:49 Pod rfs-test-cluster-54df69f8df-76rmn 856:	Created container sentinel-config-copy
06:32:05 Pod rfs-test-cluster-54df69f8df-76rmn 856:	Started container sentinel-config-copy
06:32:07 Pod rfs-test-cluster-54df69f8df-76rmn 856:	Container image "redis:6.2.6-alpine" already present on machine
06:32:07 Pod rfs-test-cluster-54df69f8df-76rmn 856:	Created container sentinel
06:32:07 Pod rfs-test-cluster-54df69f8df-76rmn 856:	Started container sentinel
06:31:48 Pod rfs-test-cluster-54df69f8df-b265d 843:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-b265d to acto-cluster-4-worker2
06:31:49 Pod rfs-test-cluster-54df69f8df-b265d 847:	Container image "redis:6.2.6-alpine" already present on machine
06:31:49 Pod rfs-test-cluster-54df69f8df-b265d 847:	Created container sentinel-config-copy
06:32:04 Pod rfs-test-cluster-54df69f8df-b265d 847:	Started container sentinel-config-copy
06:32:06 Pod rfs-test-cluster-54df69f8df-b265d 847:	Container image "redis:6.2.6-alpine" already present on machine
06:32:06 Pod rfs-test-cluster-54df69f8df-b265d 847:	Created container sentinel
06:32:06 Pod rfs-test-cluster-54df69f8df-b265d 847:	Started container sentinel
06:31:48 Pod rfs-test-cluster-54df69f8df-kskkw 848:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-kskkw to acto-cluster-4-worker3
06:31:49 Pod rfs-test-cluster-54df69f8df-kskkw 855:	Container image "redis:6.2.6-alpine" already present on machine
06:31:49 Pod rfs-test-cluster-54df69f8df-kskkw 855:	Created container sentinel-config-copy
06:32:05 Pod rfs-test-cluster-54df69f8df-kskkw 855:	Started container sentinel-config-copy
06:32:07 Pod rfs-test-cluster-54df69f8df-kskkw 855:	Container image "redis:6.2.6-alpine" already present on machine
06:32:07 Pod rfs-test-cluster-54df69f8df-kskkw 855:	Created container sentinel
06:32:07 Pod rfs-test-cluster-54df69f8df-kskkw 855:	Started container sentinel
06:31:48 ReplicaSet rfs-test-cluster-54df69f8df 841:	Created pod: rfs-test-cluster-54df69f8df-b265d
06:31:48 ReplicaSet rfs-test-cluster-54df69f8df 841:	Created pod: rfs-test-cluster-54df69f8df-kskkw
06:31:48 ReplicaSet rfs-test-cluster-54df69f8df 841:	Created pod: rfs-test-cluster-54df69f8df-76rmn
06:31:48 PodDisruptionBudget rfs-test-cluster 836:	No matching pods found
06:31:48 Deployment rfs-test-cluster 839:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
