06:57:00 Pod rfs-test-cluster-54df69f8df-rrb56 884:	Container image "redis:6.2.6-alpine" already present on machine
06:57:01 Pod rfs-test-cluster-54df69f8df-rrb56 884:	Created container sentinel-config-copy
06:57:16 Pod rfs-test-cluster-54df69f8df-rrb56 884:	Started container sentinel-config-copy
06:57:19 Pod rfs-test-cluster-54df69f8df-rrb56 884:	Container image "redis:6.2.6-alpine" already present on machine
06:57:19 Pod rfs-test-cluster-54df69f8df-rrb56 884:	Created container sentinel
06:57:20 Pod rfs-test-cluster-54df69f8df-rrb56 884:	Started container sentinel
06:57:00 ReplicaSet rfs-test-cluster-54df69f8df 878:	Created pod: rfs-test-cluster-54df69f8df-rrb56
06:57:00 ReplicaSet rfs-test-cluster-54df69f8df 878:	Created pod: rfs-test-cluster-54df69f8df-28plr
06:57:00 ReplicaSet rfs-test-cluster-54df69f8df 878:	Created pod: rfs-test-cluster-54df69f8df-dsqws
06:57:00 PodDisruptionBudget rfs-test-cluster 873:	No matching pods found
06:57:00 Deployment rfs-test-cluster 876:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
