07:25:02 Pod rfs-test-cluster-54df69f8df-plwxb 871:	Container image "redis:6.2.6-alpine" already present on machine
07:25:02 Pod rfs-test-cluster-54df69f8df-plwxb 871:	Created container sentinel-config-copy
07:25:15 Pod rfs-test-cluster-54df69f8df-plwxb 871:	Started container sentinel-config-copy
07:25:17 Pod rfs-test-cluster-54df69f8df-plwxb 871:	Container image "redis:6.2.6-alpine" already present on machine
07:25:17 Pod rfs-test-cluster-54df69f8df-plwxb 871:	Created container sentinel
07:25:17 Pod rfs-test-cluster-54df69f8df-plwxb 871:	Started container sentinel
07:25:01 Pod rfs-test-cluster-54df69f8df-rgs4d 858:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-rgs4d to acto-cluster-14-worker3
07:25:02 Pod rfs-test-cluster-54df69f8df-rgs4d 861:	Container image "redis:6.2.6-alpine" already present on machine
07:25:02 Pod rfs-test-cluster-54df69f8df-rgs4d 861:	Created container sentinel-config-copy
07:25:16 Pod rfs-test-cluster-54df69f8df-rgs4d 861:	Started container sentinel-config-copy
07:25:18 Pod rfs-test-cluster-54df69f8df-rgs4d 861:	Container image "redis:6.2.6-alpine" already present on machine
07:25:18 Pod rfs-test-cluster-54df69f8df-rgs4d 861:	Created container sentinel
07:25:18 Pod rfs-test-cluster-54df69f8df-rgs4d 861:	Started container sentinel
07:25:01 ReplicaSet rfs-test-cluster-54df69f8df 856:	Created pod: rfs-test-cluster-54df69f8df-rgs4d
07:25:01 ReplicaSet rfs-test-cluster-54df69f8df 856:	Created pod: rfs-test-cluster-54df69f8df-fpmcv
07:25:01 ReplicaSet rfs-test-cluster-54df69f8df 856:	Created pod: rfs-test-cluster-54df69f8df-plwxb
07:25:01 PodDisruptionBudget rfs-test-cluster 851:	No matching pods found
07:25:01 Deployment rfs-test-cluster 854:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
