08:35:20 Pod rfs-test-cluster-54df69f8df-pjxbf 854:	Started container sentinel
08:40:35 Pod rfs-test-cluster-54df69f8df-pjxbf 854:	Stopping container sentinel
08:43:17 Pod rfs-test-cluster-54df69f8df-q8phs 2198:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-q8phs to acto-cluster-5-worker2
08:43:18 Pod rfs-test-cluster-54df69f8df-q8phs 2201:	Container image "redis:6.2.6-alpine" already present on machine
08:43:18 Pod rfs-test-cluster-54df69f8df-q8phs 2201:	Created container sentinel-config-copy
08:43:31 Pod rfs-test-cluster-54df69f8df-q8phs 2201:	Started container sentinel-config-copy
08:43:33 Pod rfs-test-cluster-54df69f8df-q8phs 2201:	Container image "redis:6.2.6-alpine" already present on machine
08:43:33 Pod rfs-test-cluster-54df69f8df-q8phs 2201:	Created container sentinel
08:43:33 Pod rfs-test-cluster-54df69f8df-q8phs 2201:	Started container sentinel
08:42:27 Pod rfs-test-cluster-54df69f8df-rcnz5 1978:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-rcnz5 to acto-cluster-5-worker3
08:42:28 Pod rfs-test-cluster-54df69f8df-rcnz5 1980:	Container image "redis:6.2.6-alpine" already present on machine
08:42:28 Pod rfs-test-cluster-54df69f8df-rcnz5 1980:	Created container sentinel-config-copy
08:42:42 Pod rfs-test-cluster-54df69f8df-rcnz5 1980:	Started container sentinel-config-copy
08:42:45 Pod rfs-test-cluster-54df69f8df-rcnz5 1980:	Container image "redis:6.2.6-alpine" already present on machine
08:42:45 Pod rfs-test-cluster-54df69f8df-rcnz5 1980:	Created container sentinel
08:42:45 Pod rfs-test-cluster-54df69f8df-rcnz5 1980:	Started container sentinel
08:35:01 Pod rfs-test-cluster-54df69f8df-vmlp2 844:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-vmlp2 to acto-cluster-5-worker3
08:35:02 Pod rfs-test-cluster-54df69f8df-vmlp2 849:	Container image "redis:6.2.6-alpine" already present on machine
08:35:02 Pod rfs-test-cluster-54df69f8df-vmlp2 849:	Created container sentinel-config-copy
08:35:17 Pod rfs-test-cluster-54df69f8df-vmlp2 849:	Started container sentinel-config-copy
08:35:19 Pod rfs-test-cluster-54df69f8df-vmlp2 849:	Container image "redis:6.2.6-alpine" already present on machine
08:35:19 Pod rfs-test-cluster-54df69f8df-vmlp2 849:	Created container sentinel
08:35:19 Pod rfs-test-cluster-54df69f8df-vmlp2 849:	Started container sentinel
08:38:55 Pod rfs-test-cluster-54df69f8df-vmlp2 849:	Stopping container sentinel
08:35:01 ReplicaSet rfs-test-cluster-54df69f8df 841:	Created pod: rfs-test-cluster-54df69f8df-vmlp2
08:35:01 ReplicaSet rfs-test-cluster-54df69f8df 841:	Created pod: rfs-test-cluster-54df69f8df-pgmkd
08:35:01 ReplicaSet rfs-test-cluster-54df69f8df 841:	Created pod: rfs-test-cluster-54df69f8df-pjxbf
08:38:55 ReplicaSet rfs-test-cluster-54df69f8df 1473:	Deleted pod: rfs-test-cluster-54df69f8df-vmlp2
08:39:45 ReplicaSet rfs-test-cluster-54df69f8df 1628:	Deleted pod: rfs-test-cluster-54df69f8df-pgmkd
08:40:35 ReplicaSet rfs-test-cluster-54df69f8df 1761:	Deleted pod: rfs-test-cluster-54df69f8df-pjxbf
