I0402 11:31:48.896202       1 stateful_set_control.go:92] : [acto-namespace/test-cluster]'s StatefulSet: [acto-namespace/test-cluster-tidb] updated successfully
I0402 11:31:48.915802       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
I0402 11:31:49.052559       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 3
I0402 11:31:49.052598       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 11:31:49.062297       1 stateful_set_control.go:92] : [acto-namespace/test-cluster]'s StatefulSet: [acto-namespace/test-cluster-tidb] updated successfully
I0402 11:31:49.110040       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
I0402 11:31:50.251611       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 11:31:50.253051       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 11:31:50.253095       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 11:31:50.307238       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
I0402 11:31:51.451791       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 11:31:51.452531       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 11:31:51.452555       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 11:31:51.500087       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
I0402 11:31:52.651310       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 11:31:52.652229       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 11:31:52.652255       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 11:31:53.851724       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 11:31:53.852613       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 11:31:53.852642       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 11:32:16.389185       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 11:32:16.390151       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 11:32:16.390191       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 11:32:25.508435       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 11:32:25.509211       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 11:32:25.530363       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
I0402 11:32:25.530388       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded tidb pod: [test-cluster-tidb-2] is not ready, requeuing
I0402 11:32:25.641870       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 11:32:25.642524       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 11:32:25.690023       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
I0402 11:32:25.690054       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded tidb pod: [test-cluster-tidb-2] is not ready, requeuing
I0402 11:32:26.306090       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 11:32:26.307282       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 11:32:26.307492       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded tidb pod: [test-cluster-tidb-2] is not ready, requeuing
I0402 11:32:27.503127       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 11:32:27.503918       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 11:32:27.504068       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded tidb pod: [test-cluster-tidb-2] is not ready, requeuing
I0402 11:32:35.640867       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 11:32:35.641548       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 11:32:35.641746       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded tidb pod: [test-cluster-tidb-2] is not ready, requeuing
I0402 11:32:46.401236       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 11:32:46.402178       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 11:32:46.402346       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded tidb pod: [test-cluster-tidb-2] is not ready, requeuing
I0402 11:32:51.767883       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 11:32:51.768403       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 11:32:51.768528       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded tidb pod: [test-cluster-tidb-2] is not ready, requeuing
I0402 11:33:16.401545       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 11:33:16.402427       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 11:33:16.402605       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded tidb pod: [test-cluster-tidb-2] is not ready, requeuing
I0402 11:33:46.402904       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 11:33:46.403877       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
