07:40:24 Pod rfr-test-cluster-2 2393:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:40:24 Pod rfr-test-cluster-2 2393:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 126.361958ms
07:40:24 Pod rfr-test-cluster-2 2393:	Created container redis-exporter
07:40:29 Pod rfr-test-cluster-2 2393:	Started container redis-exporter
07:41:03 Pod rfr-test-cluster-2 2393:	Readiness probe failed: 
07:27:18 PodDisruptionBudget rfr-test-cluster 847:	No matching pods found
07:27:19 StatefulSet rfr-test-cluster 851:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
07:27:19 StatefulSet rfr-test-cluster 851:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
07:27:19 StatefulSet rfr-test-cluster 851:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
07:30:26 StatefulSet rfr-test-cluster 1365:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom.secretKeyRef.name: Invalid value: "": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
07:31:22 StatefulSet rfr-test-cluster 1365:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom.secretKeyRef.name: Invalid value: "": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
07:27:19 Pod rfs-test-cluster-54df69f8df-9zkxp 889:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-9zkxp to acto-cluster-4-worker
07:27:19 Pod rfs-test-cluster-54df69f8df-9zkxp 893:	Container image "redis:6.2.6-alpine" already present on machine
07:27:19 Pod rfs-test-cluster-54df69f8df-9zkxp 893:	Created container sentinel-config-copy
07:27:35 Pod rfs-test-cluster-54df69f8df-9zkxp 893:	Started container sentinel-config-copy
07:27:38 Pod rfs-test-cluster-54df69f8df-9zkxp 893:	Container image "redis:6.2.6-alpine" already present on machine
07:27:38 Pod rfs-test-cluster-54df69f8df-9zkxp 893:	Created container sentinel
07:27:38 Pod rfs-test-cluster-54df69f8df-9zkxp 893:	Started container sentinel
07:27:19 Pod rfs-test-cluster-54df69f8df-hvwhs 888:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-hvwhs to acto-cluster-4-worker3
07:27:19 Pod rfs-test-cluster-54df69f8df-hvwhs 892:	Container image "redis:6.2.6-alpine" already present on machine
07:27:19 Pod rfs-test-cluster-54df69f8df-hvwhs 892:	Created container sentinel-config-copy
07:27:35 Pod rfs-test-cluster-54df69f8df-hvwhs 892:	Started container sentinel-config-copy
07:27:37 Pod rfs-test-cluster-54df69f8df-hvwhs 892:	Container image "redis:6.2.6-alpine" already present on machine
07:27:37 Pod rfs-test-cluster-54df69f8df-hvwhs 892:	Created container sentinel
07:27:37 Pod rfs-test-cluster-54df69f8df-hvwhs 892:	Started container sentinel
07:27:19 Pod rfs-test-cluster-54df69f8df-nhlpc 882:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-nhlpc to acto-cluster-4-worker2
07:27:19 Pod rfs-test-cluster-54df69f8df-nhlpc 884:	Container image "redis:6.2.6-alpine" already present on machine
07:27:19 Pod rfs-test-cluster-54df69f8df-nhlpc 884:	Created container sentinel-config-copy
07:27:36 Pod rfs-test-cluster-54df69f8df-nhlpc 884:	Started container sentinel-config-copy
07:27:38 Pod rfs-test-cluster-54df69f8df-nhlpc 884:	Container image "redis:6.2.6-alpine" already present on machine
07:27:38 Pod rfs-test-cluster-54df69f8df-nhlpc 884:	Created container sentinel
07:27:38 Pod rfs-test-cluster-54df69f8df-nhlpc 884:	Started container sentinel
07:27:19 ReplicaSet rfs-test-cluster-54df69f8df 880:	Created pod: rfs-test-cluster-54df69f8df-nhlpc
07:27:19 ReplicaSet rfs-test-cluster-54df69f8df 880:	Created pod: rfs-test-cluster-54df69f8df-hvwhs
07:27:19 ReplicaSet rfs-test-cluster-54df69f8df 880:	Created pod: rfs-test-cluster-54df69f8df-9zkxp
07:27:19 PodDisruptionBudget rfs-test-cluster 873:	No matching pods found
07:27:19 Deployment rfs-test-cluster 879:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
