03:44:12 Pod cockroach-operator-manager-57b7fbd794-pvh9b 746:	Successfully assigned cockroach-operator-system/cockroach-operator-manager-57b7fbd794-pvh9b to acto-cluster-3-worker3
03:44:12 Pod cockroach-operator-manager-57b7fbd794-pvh9b 749:	Container image "cockroachdb/cockroach-operator:v2.7.0" already present on machine
03:44:12 Pod cockroach-operator-manager-57b7fbd794-pvh9b 749:	Created container cockroach-operator
03:44:12 Pod cockroach-operator-manager-57b7fbd794-pvh9b 749:	Started container cockroach-operator
03:45:03 Pod cockroach-operator-manager-57b7fbd794-pvh9b 749:	Stopping container cockroach-operator
03:44:12 ReplicaSet cockroach-operator-manager-57b7fbd794 742:	Created pod: cockroach-operator-manager-57b7fbd794-pvh9b
03:45:03 ReplicaSet cockroach-operator-manager-57b7fbd794 866:	Deleted pod: cockroach-operator-manager-57b7fbd794-pvh9b
03:45:02 Pod cockroach-operator-manager-64c489884-h9bj2 848:	Successfully assigned cockroach-operator-system/cockroach-operator-manager-64c489884-h9bj2 to acto-cluster-3-worker3
03:45:03 Pod cockroach-operator-manager-64c489884-h9bj2 850:	Container image "cockroachdb/cockroach-operator:v2.7.0" already present on machine
03:45:03 Pod cockroach-operator-manager-64c489884-h9bj2 850:	Created container cockroach-operator
03:45:03 Pod cockroach-operator-manager-64c489884-h9bj2 850:	Started container cockroach-operator
03:45:02 ReplicaSet cockroach-operator-manager-64c489884 845:	Created pod: cockroach-operator-manager-64c489884-h9bj2
03:44:12 Deployment cockroach-operator-manager 740:	Scaled up replica set cockroach-operator-manager-57b7fbd794 to 1
03:45:02 Deployment cockroach-operator-manager 844:	Scaled up replica set cockroach-operator-manager-64c489884 to 1
03:45:03 Deployment cockroach-operator-manager 855:	Scaled down replica set cockroach-operator-manager-57b7fbd794 to 0
03:45:09 PersistentVolumeClaim datadir-test-cluster-0 930:	waiting for first consumer to be created before binding
03:45:09 PersistentVolumeClaim datadir-test-cluster-0 941:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
03:45:09 PersistentVolumeClaim datadir-test-cluster-0 941:	External provisioner is provisioning volume for claim "cockroach-operator-system/datadir-test-cluster-0"
03:45:12 PersistentVolumeClaim datadir-test-cluster-0 941:	Successfully provisioned volume pvc-da874af0-2b32-48ce-bcfb-b55c3b1ab160
03:45:09 PersistentVolumeClaim datadir-test-cluster-1 933:	waiting for first consumer to be created before binding
