08:57:53 Pod rfs-test-cluster-54df69f8df-h68zf 846:	Created container sentinel-config-copy
08:58:08 Pod rfs-test-cluster-54df69f8df-h68zf 846:	Started container sentinel-config-copy
08:58:10 Pod rfs-test-cluster-54df69f8df-h68zf 846:	Container image "redis:6.2.6-alpine" already present on machine
08:58:10 Pod rfs-test-cluster-54df69f8df-h68zf 846:	Created container sentinel
08:58:10 Pod rfs-test-cluster-54df69f8df-h68zf 846:	Started container sentinel
09:04:37 Pod rfs-test-cluster-54df69f8df-h68zf 846:	Stopping container sentinel
08:57:52 Pod rfs-test-cluster-54df69f8df-n6gmj 847:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-n6gmj to acto-cluster-14-worker2
08:57:53 Pod rfs-test-cluster-54df69f8df-n6gmj 854:	Container image "redis:6.2.6-alpine" already present on machine
08:57:53 Pod rfs-test-cluster-54df69f8df-n6gmj 854:	Created container sentinel-config-copy
08:58:08 Pod rfs-test-cluster-54df69f8df-n6gmj 854:	Started container sentinel-config-copy
08:58:10 Pod rfs-test-cluster-54df69f8df-n6gmj 854:	Container image "redis:6.2.6-alpine" already present on machine
08:58:10 Pod rfs-test-cluster-54df69f8df-n6gmj 854:	Created container sentinel
08:58:10 Pod rfs-test-cluster-54df69f8df-n6gmj 854:	Started container sentinel
09:03:47 Pod rfs-test-cluster-54df69f8df-n6gmj 854:	Stopping container sentinel
09:06:29 Pod rfs-test-cluster-54df69f8df-rpr97 1978:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-rpr97 to acto-cluster-14-worker2
09:06:29 Pod rfs-test-cluster-54df69f8df-rpr97 1982:	Container image "redis:6.2.6-alpine" already present on machine
09:06:30 Pod rfs-test-cluster-54df69f8df-rpr97 1982:	Created container sentinel-config-copy
09:06:44 Pod rfs-test-cluster-54df69f8df-rpr97 1982:	Started container sentinel-config-copy
09:06:46 Pod rfs-test-cluster-54df69f8df-rpr97 1982:	Container image "redis:6.2.6-alpine" already present on machine
09:06:46 Pod rfs-test-cluster-54df69f8df-rpr97 1982:	Created container sentinel
09:06:47 Pod rfs-test-cluster-54df69f8df-rpr97 1982:	Started container sentinel
08:57:52 Pod rfs-test-cluster-54df69f8df-t7dl6 850:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-t7dl6 to acto-cluster-14-worker3
08:57:53 Pod rfs-test-cluster-54df69f8df-t7dl6 855:	Container image "redis:6.2.6-alpine" already present on machine
08:57:53 Pod rfs-test-cluster-54df69f8df-t7dl6 855:	Created container sentinel-config-copy
08:58:07 Pod rfs-test-cluster-54df69f8df-t7dl6 855:	Started container sentinel-config-copy
08:58:09 Pod rfs-test-cluster-54df69f8df-t7dl6 855:	Container image "redis:6.2.6-alpine" already present on machine
08:58:09 Pod rfs-test-cluster-54df69f8df-t7dl6 855:	Created container sentinel
08:58:09 Pod rfs-test-cluster-54df69f8df-t7dl6 855:	Started container sentinel
09:05:27 Pod rfs-test-cluster-54df69f8df-t7dl6 855:	Stopping container sentinel
08:57:52 ReplicaSet rfs-test-cluster-54df69f8df 842:	Created pod: rfs-test-cluster-54df69f8df-h68zf
08:57:52 ReplicaSet rfs-test-cluster-54df69f8df 842:	Created pod: rfs-test-cluster-54df69f8df-n6gmj
08:57:52 ReplicaSet rfs-test-cluster-54df69f8df 842:	Created pod: rfs-test-cluster-54df69f8df-t7dl6
09:03:47 ReplicaSet rfs-test-cluster-54df69f8df 1599:	Deleted pod: rfs-test-cluster-54df69f8df-n6gmj
09:04:37 ReplicaSet rfs-test-cluster-54df69f8df 1725:	Deleted pod: rfs-test-cluster-54df69f8df-h68zf
09:05:27 ReplicaSet rfs-test-cluster-54df69f8df 1854:	Deleted pod: rfs-test-cluster-54df69f8df-t7dl6
09:06:29 ReplicaSet rfs-test-cluster-54df69f8df 1976:	Created pod: rfs-test-cluster-54df69f8df-rpr97
09:07:19 ReplicaSet rfs-test-cluster-54df69f8df 2092:	Created pod: rfs-test-cluster-54df69f8df-4qtbl
09:08:09 ReplicaSet rfs-test-cluster-54df69f8df 2222:	Created pod: rfs-test-cluster-54df69f8df-gmkgz
09:03:47 Pod rfs-test-cluster-7855d85bbf-gwzct 1612:	Successfully assigned acto-namespace/rfs-test-cluster-7855d85bbf-gwzct to acto-cluster-14-worker
09:03:50 Pod rfs-test-cluster-7855d85bbf-gwzct 1616:	Container image "redis:6.2.6-alpine" already present on machine
09:03:50 Pod rfs-test-cluster-7855d85bbf-gwzct 1616:	Created container sentinel-config-copy
09:04:01 Pod rfs-test-cluster-7855d85bbf-gwzct 1616:	Started container sentinel-config-copy
09:04:03 Pod rfs-test-cluster-7855d85bbf-gwzct 1616:	Container image "redis:6.2.6-alpine" already present on machine
09:04:03 Pod rfs-test-cluster-7855d85bbf-gwzct 1616:	Created container sentinel
09:04:03 Pod rfs-test-cluster-7855d85bbf-gwzct 1616:	Started container sentinel
09:08:09 Pod rfs-test-cluster-7855d85bbf-gwzct 1616:	Stopping container sentinel
09:02:57 Pod rfs-test-cluster-7855d85bbf-lzlhc 1494:	Successfully assigned acto-namespace/rfs-test-cluster-7855d85bbf-lzlhc to acto-cluster-14-worker2
09:02:57 Pod rfs-test-cluster-7855d85bbf-lzlhc 1497:	Container image "redis:6.2.6-alpine" already present on machine
09:02:57 Pod rfs-test-cluster-7855d85bbf-lzlhc 1497:	Created container sentinel-config-copy
09:03:11 Pod rfs-test-cluster-7855d85bbf-lzlhc 1497:	Started container sentinel-config-copy
09:03:14 Pod rfs-test-cluster-7855d85bbf-lzlhc 1497:	Container image "redis:6.2.6-alpine" already present on machine
09:03:14 Pod rfs-test-cluster-7855d85bbf-lzlhc 1497:	Created container sentinel
09:03:14 Pod rfs-test-cluster-7855d85bbf-lzlhc 1497:	Started container sentinel
