06:04:06 Pod acto-test-operator-zookeeper-operator-658b9fbcfb-vc2qh 733:	Successfully assigned acto-namespace/acto-test-operator-zookeeper-operator-658b9fbcfb-vc2qh to acto-cluster-2-worker3
06:12:35 Pod test-cluster-1 1975:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:12:35 Pod test-cluster-1 1975:	Created container zookeeper
06:12:36 Pod test-cluster-1 1975:	Started container zookeeper
06:16:24 Pod test-cluster-1 1975:	Stopping container zookeeper
06:16:55 Pod test-cluster-1 2528:	Successfully assigned acto-namespace/test-cluster-1 to acto-cluster-2-worker
06:16:56 Pod test-cluster-1 2529:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:16:56 Pod test-cluster-1 2529:	Created container zookeeper
06:16:56 Pod test-cluster-1 2529:	Started container zookeeper
06:19:31 Pod test-cluster-1 2529:	Stopping container zookeeper
06:20:03 Pod test-cluster-1 2971:	Successfully assigned acto-namespace/test-cluster-1 to acto-cluster-2-worker
06:20:04 Pod test-cluster-1 2972:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:20:04 Pod test-cluster-1 2972:	Created container zookeeper
06:20:04 Pod test-cluster-1 2972:	Started container zookeeper
06:22:46 Pod test-cluster-1 2972:	Stopping container zookeeper
06:23:18 Pod test-cluster-1 3408:	Successfully assigned acto-namespace/test-cluster-1 to acto-cluster-2-worker
06:23:19 Pod test-cluster-1 3409:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:23:19 Pod test-cluster-1 3409:	Created container zookeeper
06:23:19 Pod test-cluster-1 3409:	Started container zookeeper
06:26:07 Pod test-cluster-1 3409:	Stopping container zookeeper
06:26:40 Pod test-cluster-1 3869:	Successfully assigned acto-namespace/test-cluster-1 to acto-cluster-2-worker
06:26:41 Pod test-cluster-1 3871:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:26:41 Pod test-cluster-1 3871:	Created container zookeeper
06:26:41 Pod test-cluster-1 3871:	Started container zookeeper
06:29:20 Pod test-cluster-1 3871:	Stopping container zookeeper
06:29:52 Pod test-cluster-1 4307:	Successfully assigned acto-namespace/test-cluster-1 to acto-cluster-2-worker
06:29:52 Pod test-cluster-1 4308:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:29:52 Pod test-cluster-1 4308:	Created container zookeeper
06:29:53 Pod test-cluster-1 4308:	Started container zookeeper
06:06:00 Pod test-cluster-2 1083:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-2-worker3
06:06:00 Pod test-cluster-2 1113:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:06:00 Pod test-cluster-2 1113:	Created container zookeeper
06:06:01 Pod test-cluster-2 1113:	Started container zookeeper
06:08:06 Pod test-cluster-2 1113:	Stopping container zookeeper
06:08:38 Pod test-cluster-2 1416:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-2-worker3
06:08:39 Pod test-cluster-2 1417:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:08:39 Pod test-cluster-2 1417:	Created container zookeeper
06:08:40 Pod test-cluster-2 1417:	Started container zookeeper
06:11:11 Pod test-cluster-2 1417:	Stopping container zookeeper
06:11:43 Pod test-cluster-2 1852:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-2-worker3
06:11:44 Pod test-cluster-2 1853:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:11:44 Pod test-cluster-2 1853:	Created container zookeeper
06:11:44 Pod test-cluster-2 1853:	Started container zookeeper
06:15:36 Pod test-cluster-2 1853:	Stopping container zookeeper
06:16:08 Pod test-cluster-2 2416:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-2-worker3
06:16:09 Pod test-cluster-2 2417:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:16:09 Pod test-cluster-2 2417:	Created container zookeeper
06:16:09 Pod test-cluster-2 2417:	Started container zookeeper
06:18:47 Pod test-cluster-2 2417:	Stopping container zookeeper
06:19:19 Pod test-cluster-2 2856:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-2-worker3
06:19:19 Pod test-cluster-2 2857:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:19:20 Pod test-cluster-2 2857:	Created container zookeeper
06:19:20 Pod test-cluster-2 2857:	Started container zookeeper
06:21:55 Pod test-cluster-2 2857:	Stopping container zookeeper
06:22:26 Pod test-cluster-2 3283:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-2-worker3
06:22:27 Pod test-cluster-2 3284:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:22:27 Pod test-cluster-2 3284:	Created container zookeeper
06:22:27 Pod test-cluster-2 3284:	Started container zookeeper
06:25:15 Pod test-cluster-2 3284:	Stopping container zookeeper
06:25:47 Pod test-cluster-2 3742:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-2-worker3
06:25:47 Pod test-cluster-2 3743:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:25:47 Pod test-cluster-2 3743:	Created container zookeeper
06:25:48 Pod test-cluster-2 3743:	Started container zookeeper
06:28:38 Pod test-cluster-2 3743:	Stopping container zookeeper
06:29:10 Pod test-cluster-2 4200:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-2-worker3
