08:28:31 Pod redisoperator-56c8dfdfb-kfxzr 783:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-kfxzr to acto-cluster-8-worker2
08:28:35 Pod rfr-test-cluster-1 825:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 354.852675ms
08:28:35 Pod rfr-test-cluster-1 825:	Created container redis-exporter
08:28:38 Pod rfr-test-cluster-1 825:	Started container redis-exporter
08:29:14 Pod rfr-test-cluster-1 825:	Readiness probe failed: 
08:31:36 Pod rfr-test-cluster-1 825:	Stopping container redis
08:31:36 Pod rfr-test-cluster-1 825:	Stopping container redis-exporter
08:31:38 Pod rfr-test-cluster-1 1329:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-8-worker
08:31:38 Pod rfr-test-cluster-1 1330:	Container image "redis:6.2.6-alpine" already present on machine
08:31:38 Pod rfr-test-cluster-1 1330:	Created container redis
08:31:38 Pod rfr-test-cluster-1 1330:	Started container redis
08:31:38 Pod rfr-test-cluster-1 1330:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:31:38 Pod rfr-test-cluster-1 1330:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 115.951727ms
08:31:38 Pod rfr-test-cluster-1 1330:	Created container redis-exporter
08:31:41 Pod rfr-test-cluster-1 1330:	Started container redis-exporter
08:36:07 Pod rfr-test-cluster-1 1330:	Stopping container redis
08:36:07 Pod rfr-test-cluster-1 1330:	Stopping container redis-exporter
08:36:08 Pod rfr-test-cluster-1 1330:	Readiness probe errored: rpc error: code = Unknown desc = failed to exec in container: container is in CONTAINER_EXITED state
08:36:08 Pod rfr-test-cluster-1 1330:	Liveness probe errored: rpc error: code = Unknown desc = failed to exec in container: container is in CONTAINER_EXITED state
08:36:09 Pod rfr-test-cluster-1 1956:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-8-worker
08:36:09 Pod rfr-test-cluster-1 1957:	Container image "redis:6.2.6-alpine" already present on machine
08:36:09 Pod rfr-test-cluster-1 1957:	Created container redis
08:36:10 Pod rfr-test-cluster-1 1957:	Started container redis
08:36:10 Pod rfr-test-cluster-1 1957:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:36:10 Pod rfr-test-cluster-1 1957:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 196.526461ms
08:36:10 Pod rfr-test-cluster-1 1957:	Created container redis-exporter
08:36:12 Pod rfr-test-cluster-1 1957:	Started container redis-exporter
08:36:49 Pod rfr-test-cluster-1 1957:	Readiness probe failed: 
08:40:35 Pod rfr-test-cluster-1 1957:	Stopping container redis
08:40:35 Pod rfr-test-cluster-1 1957:	Stopping container redis-exporter
08:40:36 Pod rfr-test-cluster-1 2452:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-8-worker
08:40:37 Pod rfr-test-cluster-1 2454:	Container image "redis:6.2.6-alpine" already present on machine
08:40:37 Pod rfr-test-cluster-1 2454:	Created container redis
08:40:37 Pod rfr-test-cluster-1 2454:	Started container redis
08:40:37 Pod rfr-test-cluster-1 2454:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:40:37 Pod rfr-test-cluster-1 2454:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 117.361117ms
08:40:37 Pod rfr-test-cluster-1 2454:	Created container redis-exporter
08:40:40 Pod rfr-test-cluster-1 2454:	Started container redis-exporter
08:45:07 Pod rfr-test-cluster-1 2454:	Stopping container redis
08:45:07 Pod rfr-test-cluster-1 2454:	Stopping container redis-exporter
08:45:08 Pod rfr-test-cluster-1 3078:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-8-worker
08:45:09 Pod rfr-test-cluster-1 3081:	Container image "redis:6.2.6-alpine" already present on machine
08:45:09 Pod rfr-test-cluster-1 3081:	Created container redis
08:45:09 Pod rfr-test-cluster-1 3081:	Started container redis
08:45:09 Pod rfr-test-cluster-1 3081:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:45:09 Pod rfr-test-cluster-1 3081:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 119.262843ms
08:45:09 Pod rfr-test-cluster-1 3081:	Created container redis-exporter
08:45:11 Pod rfr-test-cluster-1 3081:	Started container redis-exporter
08:45:48 Pod rfr-test-cluster-1 3081:	Readiness probe failed: 
08:28:34 Pod rfr-test-cluster-2 823:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-8-worker2
08:28:35 Pod rfr-test-cluster-2 827:	Container image "redis:6.2.6-alpine" already present on machine
08:28:35 Pod rfr-test-cluster-2 827:	Created container redis
08:28:35 Pod rfr-test-cluster-2 827:	Started container redis
08:28:35 Pod rfr-test-cluster-2 827:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:28:35 Pod rfr-test-cluster-2 827:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 237.809373ms
08:28:35 Pod rfr-test-cluster-2 827:	Created container redis-exporter
08:28:38 Pod rfr-test-cluster-2 827:	Started container redis-exporter
08:29:14 Pod rfr-test-cluster-2 827:	Readiness probe failed: 
08:31:38 Pod rfr-test-cluster-2 827:	Stopping container redis
08:31:38 Pod rfr-test-cluster-2 827:	Stopping container redis-exporter
08:31:39 Pod rfr-test-cluster-2 1359:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-8-worker2
08:31:40 Pod rfr-test-cluster-2 1361:	Container image "redis:6.2.6-alpine" already present on machine
08:31:40 Pod rfr-test-cluster-2 1361:	Created container redis
08:31:40 Pod rfr-test-cluster-2 1361:	Started container redis
08:31:40 Pod rfr-test-cluster-2 1361:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:31:40 Pod rfr-test-cluster-2 1361:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 114.728124ms
08:31:40 Pod rfr-test-cluster-2 1361:	Created container redis-exporter
08:31:43 Pod rfr-test-cluster-2 1361:	Started container redis-exporter
08:35:37 Pod rfr-test-cluster-2 1361:	Stopping container redis
08:35:37 Pod rfr-test-cluster-2 1361:	Stopping container redis-exporter
08:35:38 Pod rfr-test-cluster-2 1876:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-8-worker2
08:35:39 Pod rfr-test-cluster-2 1879:	Container image "redis:6.2.6-alpine" already present on machine
08:35:39 Pod rfr-test-cluster-2 1879:	Created container redis
08:35:39 Pod rfr-test-cluster-2 1879:	Started container redis
08:35:39 Pod rfr-test-cluster-2 1879:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:35:39 Pod rfr-test-cluster-2 1879:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 116.145776ms
08:35:39 Pod rfr-test-cluster-2 1879:	Created container redis-exporter
08:35:42 Pod rfr-test-cluster-2 1879:	Started container redis-exporter
08:40:37 Pod rfr-test-cluster-2 1879:	Stopping container redis
08:40:37 Pod rfr-test-cluster-2 1879:	Stopping container redis-exporter
08:40:38 Pod rfr-test-cluster-2 2484:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-8-worker2
08:40:38 Pod rfr-test-cluster-2 2487:	Container image "redis:6.2.6-alpine" already present on machine
08:40:38 Pod rfr-test-cluster-2 2487:	Created container redis
08:40:39 Pod rfr-test-cluster-2 2487:	Started container redis
