08:07:25 Pod rfr-test-cluster-1 1336:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-4-worker3
08:07:25 Pod rfr-test-cluster-1 1338:	Container image "redis:6.2.6-alpine" already present on machine
08:07:25 Pod rfr-test-cluster-1 1338:	Created container redis
08:07:26 Pod rfr-test-cluster-1 1338:	Started container redis
08:07:26 Pod rfr-test-cluster-1 1338:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:07:26 Pod rfr-test-cluster-1 1338:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 111.629888ms
08:07:26 Pod rfr-test-cluster-1 1338:	Created container redis-exporter
08:07:28 Pod rfr-test-cluster-1 1338:	Started container redis-exporter
08:11:54 Pod rfr-test-cluster-1 1338:	Stopping container redis
08:11:54 Pod rfr-test-cluster-1 1338:	Stopping container redis-exporter
08:11:54 Pod rfr-test-cluster-1 1955:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-4-worker3
08:11:55 Pod rfr-test-cluster-1 1956:	Container image "redis:6.2.6-alpine" already present on machine
08:11:55 Pod rfr-test-cluster-1 1956:	Created container redis
08:11:55 Pod rfr-test-cluster-1 1956:	Started container redis
08:11:55 Pod rfr-test-cluster-1 1956:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:11:55 Pod rfr-test-cluster-1 1956:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 112.374111ms
08:11:55 Pod rfr-test-cluster-1 1956:	Created container redis-exporter
08:11:58 Pod rfr-test-cluster-1 1956:	Started container redis-exporter
08:12:34 Pod rfr-test-cluster-1 1956:	Readiness probe failed: 
08:15:20 Pod rfr-test-cluster-1 1956:	Stopping container redis
08:15:20 Pod rfr-test-cluster-1 1956:	Stopping container redis-exporter
08:25:23 Pod rfr-test-cluster-1 3368:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-4-worker3
08:25:24 Pod rfr-test-cluster-1 3373:	Container image "redis:6.2.6-alpine" already present on machine
08:25:24 Pod rfr-test-cluster-1 3373:	Created container redis
08:25:24 Pod rfr-test-cluster-1 3373:	Started container redis
08:25:24 Pod rfr-test-cluster-1 3373:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:25:24 Pod rfr-test-cluster-1 3373:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 121.607232ms
08:25:24 Pod rfr-test-cluster-1 3373:	Created container redis-exporter
08:25:27 Pod rfr-test-cluster-1 3373:	Started container redis-exporter
08:26:03 Pod rfr-test-cluster-1 3373:	Readiness probe failed: 
08:04:21 Pod rfr-test-cluster-2 836:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-4-worker2
08:04:22 Pod rfr-test-cluster-2 840:	Container image "redis:6.2.6-alpine" already present on machine
08:04:22 Pod rfr-test-cluster-2 840:	Created container redis
08:04:22 Pod rfr-test-cluster-2 840:	Started container redis
08:04:22 Pod rfr-test-cluster-2 840:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:04:22 Pod rfr-test-cluster-2 840:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 343.849306ms
08:04:22 Pod rfr-test-cluster-2 840:	Created container redis-exporter
08:04:25 Pod rfr-test-cluster-2 840:	Started container redis-exporter
08:05:01 Pod rfr-test-cluster-2 840:	Readiness probe failed: 
08:07:25 Pod rfr-test-cluster-2 840:	Stopping container redis
08:07:25 Pod rfr-test-cluster-2 840:	Stopping container redis-exporter
08:07:26 Pod rfr-test-cluster-2 1364:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-4-worker2
08:07:26 Pod rfr-test-cluster-2 1366:	Container image "redis:6.2.6-alpine" already present on machine
08:07:26 Pod rfr-test-cluster-2 1366:	Created container redis
08:07:27 Pod rfr-test-cluster-2 1366:	Started container redis
08:07:27 Pod rfr-test-cluster-2 1366:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:07:27 Pod rfr-test-cluster-2 1366:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 117.441711ms
08:07:27 Pod rfr-test-cluster-2 1366:	Created container redis-exporter
08:07:29 Pod rfr-test-cluster-2 1366:	Started container redis-exporter
08:11:23 Pod rfr-test-cluster-2 1366:	Stopping container redis
08:11:23 Pod rfr-test-cluster-2 1366:	Stopping container redis-exporter
08:11:25 Pod rfr-test-cluster-2 1878:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-4-worker2
08:11:26 Pod rfr-test-cluster-2 1880:	Container image "redis:6.2.6-alpine" already present on machine
08:11:26 Pod rfr-test-cluster-2 1880:	Created container redis
08:11:26 Pod rfr-test-cluster-2 1880:	Started container redis
08:11:26 Pod rfr-test-cluster-2 1880:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:11:26 Pod rfr-test-cluster-2 1880:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 122.421713ms
08:11:26 Pod rfr-test-cluster-2 1880:	Created container redis-exporter
08:11:28 Pod rfr-test-cluster-2 1880:	Started container redis-exporter
08:15:23 Pod rfr-test-cluster-2 1880:	Stopping container redis
08:15:23 Pod rfr-test-cluster-2 1880:	Stopping container redis-exporter
08:25:23 Pod rfr-test-cluster-2 3375:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-4-worker
08:25:24 Pod rfr-test-cluster-2 3379:	Container image "redis:6.2.6-alpine" already present on machine
08:25:24 Pod rfr-test-cluster-2 3379:	Created container redis
08:25:24 Pod rfr-test-cluster-2 3379:	Started container redis
08:25:24 Pod rfr-test-cluster-2 3379:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:25:24 Pod rfr-test-cluster-2 3379:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 122.261401ms
08:25:24 Pod rfr-test-cluster-2 3379:	Created container redis-exporter
08:25:27 Pod rfr-test-cluster-2 3379:	Started container redis-exporter
08:26:03 Pod rfr-test-cluster-2 3379:	Readiness probe failed: 
08:04:21 PodDisruptionBudget rfr-test-cluster 820:	No matching pods found
08:04:21 StatefulSet rfr-test-cluster 825:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
08:04:21 StatefulSet rfr-test-cluster 825:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
08:04:21 StatefulSet rfr-test-cluster 825:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
08:15:22 StatefulSet rfr-test-cluster 2352:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: pods "rfr-test-cluster-1" is forbidden: no PriorityClass with name ACTOKEY was found
