07:16:18 StatefulSet rfr-test-cluster 1355:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom.resourceFieldRef.resource: Unsupported value: "ACTOKEY": supported values: "limits.cpu", "limits.ephemeral-storage", "limits.memory", "requests.cpu", "requests.ephemeral-storage", "requests.memory"
07:17:15 StatefulSet rfr-test-cluster 1355:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom.resourceFieldRef.resource: Unsupported value: "ACTOKEY": supported values: "limits.cpu", "limits.ephemeral-storage", "limits.memory", "requests.cpu", "requests.ephemeral-storage", "requests.memory"
07:13:13 Pod rfs-test-cluster-54df69f8df-5sg5r 878:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-5sg5r to acto-cluster-2-worker
07:13:13 Pod rfs-test-cluster-54df69f8df-5sg5r 885:	Container image "redis:6.2.6-alpine" already present on machine
07:13:13 Pod rfs-test-cluster-54df69f8df-5sg5r 885:	Created container sentinel-config-copy
07:13:28 Pod rfs-test-cluster-54df69f8df-5sg5r 885:	Started container sentinel-config-copy
07:13:31 Pod rfs-test-cluster-54df69f8df-5sg5r 885:	Container image "redis:6.2.6-alpine" already present on machine
07:13:31 Pod rfs-test-cluster-54df69f8df-5sg5r 885:	Created container sentinel
07:13:31 Pod rfs-test-cluster-54df69f8df-5sg5r 885:	Started container sentinel
07:13:13 Pod rfs-test-cluster-54df69f8df-hh4fq 881:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-hh4fq to acto-cluster-2-worker3
07:13:13 Pod rfs-test-cluster-54df69f8df-hh4fq 886:	Container image "redis:6.2.6-alpine" already present on machine
07:13:13 Pod rfs-test-cluster-54df69f8df-hh4fq 886:	Created container sentinel-config-copy
07:13:26 Pod rfs-test-cluster-54df69f8df-hh4fq 886:	Started container sentinel-config-copy
07:13:28 Pod rfs-test-cluster-54df69f8df-hh4fq 886:	Container image "redis:6.2.6-alpine" already present on machine
07:13:28 Pod rfs-test-cluster-54df69f8df-hh4fq 886:	Created container sentinel
07:13:28 Pod rfs-test-cluster-54df69f8df-hh4fq 886:	Started container sentinel
07:13:13 Pod rfs-test-cluster-54df69f8df-rwpwf 875:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-rwpwf to acto-cluster-2-worker2
07:13:13 Pod rfs-test-cluster-54df69f8df-rwpwf 882:	Container image "redis:6.2.6-alpine" already present on machine
07:13:13 Pod rfs-test-cluster-54df69f8df-rwpwf 882:	Created container sentinel-config-copy
07:13:30 Pod rfs-test-cluster-54df69f8df-rwpwf 882:	Started container sentinel-config-copy
07:13:32 Pod rfs-test-cluster-54df69f8df-rwpwf 882:	Container image "redis:6.2.6-alpine" already present on machine
07:13:32 Pod rfs-test-cluster-54df69f8df-rwpwf 882:	Created container sentinel
07:13:32 Pod rfs-test-cluster-54df69f8df-rwpwf 882:	Started container sentinel
07:13:13 ReplicaSet rfs-test-cluster-54df69f8df 873:	Created pod: rfs-test-cluster-54df69f8df-rwpwf
07:13:13 ReplicaSet rfs-test-cluster-54df69f8df 873:	Created pod: rfs-test-cluster-54df69f8df-5sg5r
07:13:13 ReplicaSet rfs-test-cluster-54df69f8df 873:	Created pod: rfs-test-cluster-54df69f8df-hh4fq
07:13:13 PodDisruptionBudget rfs-test-cluster 868:	No matching pods found
07:13:13 Deployment rfs-test-cluster 871:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
