06:01:07 Pod redisoperator-56c8dfdfb-tssfc 791:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-tssfc to acto-cluster-0-worker2
06:01:08 Pod redisoperator-56c8dfdfb-tssfc 793:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:01:08 Pod redisoperator-56c8dfdfb-tssfc 793:	Created container app
06:01:09 Pod redisoperator-56c8dfdfb-tssfc 793:	Started container app
06:01:07 ReplicaSet redisoperator-56c8dfdfb 788:	Created pod: redisoperator-56c8dfdfb-tssfc
06:00:36 Pod redisoperator-6445768794-sx7tb 719:	Successfully assigned acto-namespace/redisoperator-6445768794-sx7tb to acto-cluster-0-worker
06:00:39 Pod redisoperator-6445768794-sx7tb 722:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:00:39 Pod redisoperator-6445768794-sx7tb 722:	Created container app
06:00:41 Pod redisoperator-6445768794-sx7tb 722:	Started container app
06:01:10 Pod redisoperator-6445768794-sx7tb 722:	Stopping container app
06:00:36 ReplicaSet redisoperator-6445768794 711:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
06:00:36 ReplicaSet redisoperator-6445768794 717:	Created pod: redisoperator-6445768794-sx7tb
06:01:10 ReplicaSet redisoperator-6445768794 809:	Deleted pod: redisoperator-6445768794-sx7tb
06:00:36 Deployment redisoperator 709:	Scaled up replica set redisoperator-6445768794 to 1
06:01:07 Deployment redisoperator 787:	Scaled up replica set redisoperator-56c8dfdfb to 1
06:01:10 Deployment redisoperator 798:	Scaled down replica set redisoperator-6445768794 to 0
06:01:12 Pod rfr-test-cluster-0 838:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-0-worker3
06:01:12 Pod rfr-test-cluster-0 842:	Container image "redis:6.2.6-alpine" already present on machine
06:01:12 Pod rfr-test-cluster-0 842:	Created container redis
06:01:13 Pod rfr-test-cluster-0 842:	Started container redis
06:01:13 Pod rfr-test-cluster-0 842:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:01:13 Pod rfr-test-cluster-0 842:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 322.442105ms
06:01:13 Pod rfr-test-cluster-0 842:	Created container redis-exporter
06:01:15 Pod rfr-test-cluster-0 842:	Started container redis-exporter
06:01:52 Pod rfr-test-cluster-0 842:	Readiness probe failed: 
06:05:12 Pod rfr-test-cluster-0 842:	Stopping container redis
06:05:12 Pod rfr-test-cluster-0 842:	Stopping container redis-exporter
06:05:14 Pod rfr-test-cluster-0 1498:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-0-worker3
06:05:14 Pod rfr-test-cluster-0 1499:	Container image "redis:6.2.6-alpine" already present on machine
06:05:14 Pod rfr-test-cluster-0 1499:	Created container redis
06:05:15 Pod rfr-test-cluster-0 1499:	Started container redis
06:05:15 Pod rfr-test-cluster-0 1499:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
