05:43:03 Pod rfs-test-cluster-54df69f8df-hbfp7 891:	Created container sentinel-config-copy
05:43:38 Pod rfs-test-cluster-54df69f8df-hbfp7 891:	Started container sentinel-config-copy
05:43:40 Pod rfs-test-cluster-54df69f8df-hbfp7 891:	Container image "redis:6.2.6-alpine" already present on machine
05:43:40 Pod rfs-test-cluster-54df69f8df-hbfp7 891:	Created container sentinel
05:43:41 Pod rfs-test-cluster-54df69f8df-hbfp7 891:	Started container sentinel
05:48:56 Pod rfs-test-cluster-54df69f8df-hbfp7 891:	Stopping container sentinel
05:57:07 Pod rfs-test-cluster-54df69f8df-njf74 2833:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-njf74 to acto-cluster-8-worker3
05:57:07 Pod rfs-test-cluster-54df69f8df-njf74 2836:	Container image "redis:6.2.6-alpine" already present on machine
05:57:07 Pod rfs-test-cluster-54df69f8df-njf74 2836:	Created container sentinel-config-copy
05:57:20 Pod rfs-test-cluster-54df69f8df-njf74 2836:	Started container sentinel-config-copy
05:57:23 Pod rfs-test-cluster-54df69f8df-njf74 2836:	Container image "redis:6.2.6-alpine" already present on machine
05:57:23 Pod rfs-test-cluster-54df69f8df-njf74 2836:	Created container sentinel
05:57:23 Pod rfs-test-cluster-54df69f8df-njf74 2836:	Started container sentinel
06:03:13 Pod rfs-test-cluster-54df69f8df-njf74 2836:	Stopping container sentinel
05:42:57 Pod rfs-test-cluster-54df69f8df-nkdcb 892:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-nkdcb to acto-cluster-8-worker3
05:43:03 Pod rfs-test-cluster-54df69f8df-nkdcb 897:	Container image "redis:6.2.6-alpine" already present on machine
05:43:03 Pod rfs-test-cluster-54df69f8df-nkdcb 897:	Created container sentinel-config-copy
05:43:38 Pod rfs-test-cluster-54df69f8df-nkdcb 897:	Started container sentinel-config-copy
05:43:40 Pod rfs-test-cluster-54df69f8df-nkdcb 897:	Container image "redis:6.2.6-alpine" already present on machine
05:43:40 Pod rfs-test-cluster-54df69f8df-nkdcb 897:	Created container sentinel
05:43:41 Pod rfs-test-cluster-54df69f8df-nkdcb 897:	Started container sentinel
05:48:06 Pod rfs-test-cluster-54df69f8df-nkdcb 897:	Stopping container sentinel
05:51:38 Pod rfs-test-cluster-54df69f8df-p9t98 2105:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-p9t98 to acto-cluster-8-worker2
05:51:39 Pod rfs-test-cluster-54df69f8df-p9t98 2109:	Container image "redis:6.2.6-alpine" already present on machine
05:51:39 Pod rfs-test-cluster-54df69f8df-p9t98 2109:	Created container sentinel-config-copy
05:51:53 Pod rfs-test-cluster-54df69f8df-p9t98 2109:	Started container sentinel-config-copy
05:51:54 Pod rfs-test-cluster-54df69f8df-p9t98 2109:	Container image "redis:6.2.6-alpine" already present on machine
05:51:54 Pod rfs-test-cluster-54df69f8df-p9t98 2109:	Created container sentinel
05:51:55 Pod rfs-test-cluster-54df69f8df-p9t98 2109:	Started container sentinel
05:55:13 Pod rfs-test-cluster-54df69f8df-p9t98 2109:	Stopping container sentinel
05:42:57 Pod rfs-test-cluster-54df69f8df-r5chh 890:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-r5chh to acto-cluster-8-worker
05:43:02 Pod rfs-test-cluster-54df69f8df-r5chh 894:	Container image "redis:6.2.6-alpine" already present on machine
05:43:02 Pod rfs-test-cluster-54df69f8df-r5chh 894:	Created container sentinel-config-copy
05:43:38 Pod rfs-test-cluster-54df69f8df-r5chh 894:	Started container sentinel-config-copy
05:43:40 Pod rfs-test-cluster-54df69f8df-r5chh 894:	Container image "redis:6.2.6-alpine" already present on machine
05:43:40 Pod rfs-test-cluster-54df69f8df-r5chh 894:	Created container sentinel
05:43:41 Pod rfs-test-cluster-54df69f8df-r5chh 894:	Started container sentinel
05:47:15 Pod rfs-test-cluster-54df69f8df-r5chh 894:	Stopping container sentinel
05:57:57 Pod rfs-test-cluster-54df69f8df-twg4w 2954:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-twg4w to acto-cluster-8-worker
05:57:57 Pod rfs-test-cluster-54df69f8df-twg4w 2959:	Container image "redis:6.2.6-alpine" already present on machine
05:57:57 Pod rfs-test-cluster-54df69f8df-twg4w 2959:	Created container sentinel-config-copy
05:58:10 Pod rfs-test-cluster-54df69f8df-twg4w 2959:	Started container sentinel-config-copy
05:58:12 Pod rfs-test-cluster-54df69f8df-twg4w 2959:	Container image "redis:6.2.6-alpine" already present on machine
05:58:12 Pod rfs-test-cluster-54df69f8df-twg4w 2959:	Created container sentinel
05:58:12 Pod rfs-test-cluster-54df69f8df-twg4w 2959:	Started container sentinel
06:01:33 Pod rfs-test-cluster-54df69f8df-twg4w 2959:	Stopping container sentinel
05:50:48 Pod rfs-test-cluster-54df69f8df-zbngb 1979:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-zbngb to acto-cluster-8-worker3
05:50:49 Pod rfs-test-cluster-54df69f8df-zbngb 1982:	Container image "redis:6.2.6-alpine" already present on machine
05:50:49 Pod rfs-test-cluster-54df69f8df-zbngb 1982:	Created container sentinel-config-copy
05:51:03 Pod rfs-test-cluster-54df69f8df-zbngb 1982:	Started container sentinel-config-copy
05:51:05 Pod rfs-test-cluster-54df69f8df-zbngb 1982:	Container image "redis:6.2.6-alpine" already present on machine
05:51:05 Pod rfs-test-cluster-54df69f8df-zbngb 1982:	Created container sentinel
05:51:05 Pod rfs-test-cluster-54df69f8df-zbngb 1982:	Started container sentinel
05:54:23 Pod rfs-test-cluster-54df69f8df-zbngb 1982:	Stopping container sentinel
05:42:57 ReplicaSet rfs-test-cluster-54df69f8df 883:	Created pod: rfs-test-cluster-54df69f8df-hbfp7
05:42:57 ReplicaSet rfs-test-cluster-54df69f8df 883:	Created pod: rfs-test-cluster-54df69f8df-r5chh
05:42:57 ReplicaSet rfs-test-cluster-54df69f8df 883:	Created pod: rfs-test-cluster-54df69f8df-nkdcb
05:47:15 ReplicaSet rfs-test-cluster-54df69f8df 1481:	Deleted pod: rfs-test-cluster-54df69f8df-r5chh
05:48:06 ReplicaSet rfs-test-cluster-54df69f8df 1608:	Deleted pod: rfs-test-cluster-54df69f8df-nkdcb
05:48:56 ReplicaSet rfs-test-cluster-54df69f8df 1738:	Deleted pod: rfs-test-cluster-54df69f8df-hbfp7
05:49:58 ReplicaSet rfs-test-cluster-54df69f8df 1857:	Created pod: rfs-test-cluster-54df69f8df-22986
05:50:48 ReplicaSet rfs-test-cluster-54df69f8df 1975:	Created pod: rfs-test-cluster-54df69f8df-zbngb
05:51:38 ReplicaSet rfs-test-cluster-54df69f8df 2102:	Created pod: rfs-test-cluster-54df69f8df-p9t98
05:54:23 ReplicaSet rfs-test-cluster-54df69f8df 2454:	Deleted pod: rfs-test-cluster-54df69f8df-zbngb
05:55:13 ReplicaSet rfs-test-cluster-54df69f8df 2582:	Deleted pod: rfs-test-cluster-54df69f8df-p9t98
05:56:03 ReplicaSet rfs-test-cluster-54df69f8df 2708:	Deleted pod: rfs-test-cluster-54df69f8df-22986
05:57:07 ReplicaSet rfs-test-cluster-54df69f8df 2831:	Created pod: rfs-test-cluster-54df69f8df-njf74
05:57:57 ReplicaSet rfs-test-cluster-54df69f8df 2951:	Created pod: rfs-test-cluster-54df69f8df-twg4w
05:58:47 ReplicaSet rfs-test-cluster-54df69f8df 3076:	Created pod: rfs-test-cluster-54df69f8df-d4bfl
06:01:33 ReplicaSet rfs-test-cluster-54df69f8df 3430:	Deleted pod: rfs-test-cluster-54df69f8df-twg4w
06:02:23 ReplicaSet rfs-test-cluster-54df69f8df 3554:	Deleted pod: rfs-test-cluster-54df69f8df-d4bfl
06:03:13 ReplicaSet rfs-test-cluster-54df69f8df 3683:	Deleted pod: rfs-test-cluster-54df69f8df-njf74
06:02:23 Pod rfs-test-cluster-65f9776dbf-47756 3564:	Successfully assigned acto-namespace/rfs-test-cluster-65f9776dbf-47756 to acto-cluster-8-worker3
06:02:23 Pod rfs-test-cluster-65f9776dbf-47756 3567:	Container image "redis:6.2.6-alpine" already present on machine
06:02:23 Pod rfs-test-cluster-65f9776dbf-47756 3567:	Created container sentinel-config-copy
06:02:38 Pod rfs-test-cluster-65f9776dbf-47756 3567:	Started container sentinel-config-copy
06:02:40 Pod rfs-test-cluster-65f9776dbf-47756 3567:	Container image "redis:6.2.6-alpine" already present on machine
06:02:40 Pod rfs-test-cluster-65f9776dbf-47756 3567:	Created container sentinel
06:02:41 Pod rfs-test-cluster-65f9776dbf-47756 3567:	Started container sentinel
05:48:06 Pod rfs-test-cluster-65f9776dbf-5mhd5 1621:	Successfully assigned acto-namespace/rfs-test-cluster-65f9776dbf-5mhd5 to acto-cluster-8-worker2
05:48:06 Pod rfs-test-cluster-65f9776dbf-5mhd5 1623:	Container image "redis:6.2.6-alpine" already present on machine
05:48:06 Pod rfs-test-cluster-65f9776dbf-5mhd5 1623:	Created container sentinel-config-copy
05:48:20 Pod rfs-test-cluster-65f9776dbf-5mhd5 1623:	Started container sentinel-config-copy
