06:54:40 Pod redisoperator-56c8dfdfb-dkllr 794:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-dkllr to acto-cluster-12-worker2
06:54:41 Pod redisoperator-56c8dfdfb-dkllr 796:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:54:41 Pod redisoperator-56c8dfdfb-dkllr 796:	Created container app
06:54:43 Pod redisoperator-56c8dfdfb-dkllr 796:	Started container app
06:54:40 ReplicaSet redisoperator-56c8dfdfb 791:	Created pod: redisoperator-56c8dfdfb-dkllr
06:54:10 Pod redisoperator-6445768794-tvzm9 724:	Successfully assigned acto-namespace/redisoperator-6445768794-tvzm9 to acto-cluster-12-worker2
06:54:11 Pod redisoperator-6445768794-tvzm9 726:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:54:11 Pod redisoperator-6445768794-tvzm9 726:	Created container app
06:54:12 Pod redisoperator-6445768794-tvzm9 None:	Cancelling deletion of Pod acto-namespace/redisoperator-6445768794-tvzm9
06:54:13 Pod redisoperator-6445768794-tvzm9 726:	Started container app
06:54:44 Pod redisoperator-6445768794-tvzm9 726:	Stopping container app
06:54:10 ReplicaSet redisoperator-6445768794 716:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
06:54:10 ReplicaSet redisoperator-6445768794 722:	Created pod: redisoperator-6445768794-tvzm9
06:54:44 ReplicaSet redisoperator-6445768794 910:	Deleted pod: redisoperator-6445768794-tvzm9
06:54:10 Deployment redisoperator 714:	Scaled up replica set redisoperator-6445768794 to 1
06:54:40 Deployment redisoperator 790:	Scaled up replica set redisoperator-56c8dfdfb to 1
06:54:44 Deployment redisoperator 801:	Scaled down replica set redisoperator-6445768794 to 0
06:54:42 Pod rfr-test-cluster-0 826:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-12-worker3
06:54:43 Pod rfr-test-cluster-0 829:	Container image "redis:6.2.6-alpine" already present on machine
06:54:43 Pod rfr-test-cluster-0 829:	Created container redis
06:54:43 Pod rfr-test-cluster-0 829:	Started container redis
06:54:43 Pod rfr-test-cluster-0 829:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:54:43 Pod rfr-test-cluster-0 829:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 357.853271ms
06:54:43 Pod rfr-test-cluster-0 829:	Created container redis-exporter
06:54:46 Pod rfr-test-cluster-0 829:	Started container redis-exporter
06:55:22 Pod rfr-test-cluster-0 829:	Readiness probe failed: 
06:54:42 Pod rfr-test-cluster-1 830:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-12-worker2
06:54:43 Pod rfr-test-cluster-1 834:	Container image "redis:6.2.6-alpine" already present on machine
06:54:43 Pod rfr-test-cluster-1 834:	Created container redis
06:54:43 Pod rfr-test-cluster-1 834:	Started container redis
06:54:43 Pod rfr-test-cluster-1 834:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:54:43 Pod rfr-test-cluster-1 834:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 317.935213ms
06:54:43 Pod rfr-test-cluster-1 834:	Created container redis-exporter
06:54:46 Pod rfr-test-cluster-1 834:	Started container redis-exporter
06:55:22 Pod rfr-test-cluster-1 834:	Readiness probe failed: 
06:54:42 Pod rfr-test-cluster-2 835:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-12-worker
06:54:43 Pod rfr-test-cluster-2 840:	Container image "redis:6.2.6-alpine" already present on machine
06:54:43 Pod rfr-test-cluster-2 840:	Created container redis
06:54:43 Pod rfr-test-cluster-2 840:	Started container redis
06:54:43 Pod rfr-test-cluster-2 840:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:54:44 Pod rfr-test-cluster-2 840:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 408.076579ms
06:54:44 Pod rfr-test-cluster-2 840:	Created container redis-exporter
06:54:47 Pod rfr-test-cluster-2 840:	Started container redis-exporter
06:55:22 Pod rfr-test-cluster-2 840:	Readiness probe failed: 
06:54:42 PodDisruptionBudget rfr-test-cluster 820:	No matching pods found
06:54:42 StatefulSet rfr-test-cluster 824:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
06:54:42 StatefulSet rfr-test-cluster 824:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
06:54:42 StatefulSet rfr-test-cluster 824:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
06:54:43 Pod rfs-test-cluster-54df69f8df-6x8fl 854:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-6x8fl to acto-cluster-12-worker3
06:54:43 Pod rfs-test-cluster-54df69f8df-6x8fl 861:	Container image "redis:6.2.6-alpine" already present on machine
06:54:43 Pod rfs-test-cluster-54df69f8df-6x8fl 861:	Created container sentinel-config-copy
06:55:00 Pod rfs-test-cluster-54df69f8df-6x8fl 861:	Started container sentinel-config-copy
06:55:03 Pod rfs-test-cluster-54df69f8df-6x8fl 861:	Container image "redis:6.2.6-alpine" already present on machine
06:55:03 Pod rfs-test-cluster-54df69f8df-6x8fl 861:	Created container sentinel
06:55:05 Pod rfs-test-cluster-54df69f8df-6x8fl 861:	Started container sentinel
06:58:36 Pod rfs-test-cluster-54df69f8df-6x8fl 861:	Stopping container sentinel
