06:33:35 Pod rfr-test-cluster-2 1441:	Started container redis
06:33:35 Pod rfr-test-cluster-2 1441:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:33:35 Pod rfr-test-cluster-2 1441:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 139.413461ms
06:33:35 Pod rfr-test-cluster-2 1441:	Created container redis-exporter
06:33:38 Pod rfr-test-cluster-2 1441:	Started container redis-exporter
06:29:57 PodDisruptionBudget rfr-test-cluster 841:	No matching pods found
06:29:58 StatefulSet rfr-test-cluster 845:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
06:29:58 StatefulSet rfr-test-cluster 845:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
06:29:58 StatefulSet rfr-test-cluster 845:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
06:29:58 Pod rfs-test-cluster-54df69f8df-2jt8v 880:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-2jt8v to acto-cluster-13-worker
06:29:58 Pod rfs-test-cluster-54df69f8df-2jt8v 885:	Container image "redis:6.2.6-alpine" already present on machine
06:29:59 Pod rfs-test-cluster-54df69f8df-2jt8v 885:	Created container sentinel-config-copy
06:30:12 Pod rfs-test-cluster-54df69f8df-2jt8v 885:	Started container sentinel-config-copy
06:30:14 Pod rfs-test-cluster-54df69f8df-2jt8v 885:	Container image "redis:6.2.6-alpine" already present on machine
06:30:14 Pod rfs-test-cluster-54df69f8df-2jt8v 885:	Created container sentinel
06:30:14 Pod rfs-test-cluster-54df69f8df-2jt8v 885:	Started container sentinel
06:39:55 Pod rfs-test-cluster-54df69f8df-2jt8v 885:	Stopping container sentinel
06:42:41 Pod rfs-test-cluster-54df69f8df-7ldln 2629:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-7ldln to acto-cluster-13-worker
06:42:41 Pod rfs-test-cluster-54df69f8df-7ldln 2633:	Container image "redis:6.2.6-alpine" already present on machine
06:42:41 Pod rfs-test-cluster-54df69f8df-7ldln 2633:	Created container sentinel-config-copy
06:42:54 Pod rfs-test-cluster-54df69f8df-7ldln 2633:	Started container sentinel-config-copy
06:42:57 Pod rfs-test-cluster-54df69f8df-7ldln 2633:	Container image "redis:6.2.6-alpine" already present on machine
06:42:57 Pod rfs-test-cluster-54df69f8df-7ldln 2633:	Created container sentinel
06:42:58 Pod rfs-test-cluster-54df69f8df-7ldln 2633:	Started container sentinel
06:29:58 Pod rfs-test-cluster-54df69f8df-bksv5 874:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-bksv5 to acto-cluster-13-worker3
06:29:58 Pod rfs-test-cluster-54df69f8df-bksv5 879:	Container image "redis:6.2.6-alpine" already present on machine
06:29:58 Pod rfs-test-cluster-54df69f8df-bksv5 879:	Created container sentinel-config-copy
06:30:11 Pod rfs-test-cluster-54df69f8df-bksv5 879:	Started container sentinel-config-copy
06:30:12 Pod rfs-test-cluster-54df69f8df-bksv5 879:	Container image "redis:6.2.6-alpine" already present on machine
06:30:12 Pod rfs-test-cluster-54df69f8df-bksv5 879:	Created container sentinel
06:30:12 Pod rfs-test-cluster-54df69f8df-bksv5 879:	Started container sentinel
06:38:15 Pod rfs-test-cluster-54df69f8df-bksv5 879:	Stopping container sentinel
06:29:58 Pod rfs-test-cluster-54df69f8df-d5ffw 878:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-d5ffw to acto-cluster-13-worker2
06:29:58 Pod rfs-test-cluster-54df69f8df-d5ffw 884:	Container image "redis:6.2.6-alpine" already present on machine
06:29:59 Pod rfs-test-cluster-54df69f8df-d5ffw 884:	Created container sentinel-config-copy
06:30:12 Pod rfs-test-cluster-54df69f8df-d5ffw 884:	Started container sentinel-config-copy
06:30:14 Pod rfs-test-cluster-54df69f8df-d5ffw 884:	Container image "redis:6.2.6-alpine" already present on machine
06:30:14 Pod rfs-test-cluster-54df69f8df-d5ffw 884:	Created container sentinel
06:30:14 Pod rfs-test-cluster-54df69f8df-d5ffw 884:	Started container sentinel
06:39:05 Pod rfs-test-cluster-54df69f8df-d5ffw 884:	Stopping container sentinel
06:41:00 Pod rfs-test-cluster-54df69f8df-m65tl 2384:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-m65tl to acto-cluster-13-worker2
06:41:01 Pod rfs-test-cluster-54df69f8df-m65tl 2387:	Container image "redis:6.2.6-alpine" already present on machine
06:41:01 Pod rfs-test-cluster-54df69f8df-m65tl 2387:	Created container sentinel-config-copy
06:41:15 Pod rfs-test-cluster-54df69f8df-m65tl 2387:	Started container sentinel-config-copy
06:41:18 Pod rfs-test-cluster-54df69f8df-m65tl 2387:	Container image "redis:6.2.6-alpine" already present on machine
06:41:18 Pod rfs-test-cluster-54df69f8df-m65tl 2387:	Created container sentinel
06:41:18 Pod rfs-test-cluster-54df69f8df-m65tl 2387:	Started container sentinel
06:41:51 Pod rfs-test-cluster-54df69f8df-rcdtd 2500:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-rcdtd to acto-cluster-13-worker3
06:41:51 Pod rfs-test-cluster-54df69f8df-rcdtd 2503:	Container image "redis:6.2.6-alpine" already present on machine
06:41:51 Pod rfs-test-cluster-54df69f8df-rcdtd 2503:	Created container sentinel-config-copy
06:42:06 Pod rfs-test-cluster-54df69f8df-rcdtd 2503:	Started container sentinel-config-copy
06:42:07 Pod rfs-test-cluster-54df69f8df-rcdtd 2503:	Container image "redis:6.2.6-alpine" already present on machine
06:42:07 Pod rfs-test-cluster-54df69f8df-rcdtd 2503:	Created container sentinel
06:42:08 Pod rfs-test-cluster-54df69f8df-rcdtd 2503:	Started container sentinel
06:29:58 ReplicaSet rfs-test-cluster-54df69f8df 872:	Created pod: rfs-test-cluster-54df69f8df-bksv5
06:29:58 ReplicaSet rfs-test-cluster-54df69f8df 872:	Created pod: rfs-test-cluster-54df69f8df-2jt8v
06:29:58 ReplicaSet rfs-test-cluster-54df69f8df 872:	Created pod: rfs-test-cluster-54df69f8df-d5ffw
06:38:15 ReplicaSet rfs-test-cluster-54df69f8df 1999:	Deleted pod: rfs-test-cluster-54df69f8df-bksv5
06:39:05 ReplicaSet rfs-test-cluster-54df69f8df 2126:	Deleted pod: rfs-test-cluster-54df69f8df-d5ffw
06:39:55 ReplicaSet rfs-test-cluster-54df69f8df 2253:	Deleted pod: rfs-test-cluster-54df69f8df-2jt8v
06:41:00 ReplicaSet rfs-test-cluster-54df69f8df 2382:	Created pod: rfs-test-cluster-54df69f8df-m65tl
06:41:51 ReplicaSet rfs-test-cluster-54df69f8df 2498:	Created pod: rfs-test-cluster-54df69f8df-rcdtd
06:42:41 ReplicaSet rfs-test-cluster-54df69f8df 2626:	Created pod: rfs-test-cluster-54df69f8df-7ldln
06:39:05 Pod rfs-test-cluster-597d58749f-mlncp 2139:	Successfully assigned acto-namespace/rfs-test-cluster-597d58749f-mlncp to acto-cluster-13-worker
06:39:06 Pod rfs-test-cluster-597d58749f-mlncp 2141:	Container image "redis:6.2.6-alpine" already present on machine
06:39:06 Pod rfs-test-cluster-597d58749f-mlncp 2141:	Created container sentinel-config-copy
06:39:20 Pod rfs-test-cluster-597d58749f-mlncp 2141:	Started container sentinel-config-copy
06:39:21 Pod rfs-test-cluster-597d58749f-mlncp 2141:	Container image "redis:6.2.6-alpine" already present on machine
06:39:21 Pod rfs-test-cluster-597d58749f-mlncp 2141:	Created container sentinel
06:39:22 Pod rfs-test-cluster-597d58749f-mlncp 2141:	Started container sentinel
06:43:31 Pod rfs-test-cluster-597d58749f-mlncp 2141:	Stopping container sentinel
06:38:15 Pod rfs-test-cluster-597d58749f-vvdbb 2012:	Successfully assigned acto-namespace/rfs-test-cluster-597d58749f-vvdbb to acto-cluster-13-worker2
06:38:17 Pod rfs-test-cluster-597d58749f-vvdbb 2015:	Container image "redis:6.2.6-alpine" already present on machine
06:38:17 Pod rfs-test-cluster-597d58749f-vvdbb 2015:	Created container sentinel-config-copy
06:38:31 Pod rfs-test-cluster-597d58749f-vvdbb 2015:	Started container sentinel-config-copy
06:38:33 Pod rfs-test-cluster-597d58749f-vvdbb 2015:	Container image "redis:6.2.6-alpine" already present on machine
06:38:33 Pod rfs-test-cluster-597d58749f-vvdbb 2015:	Created container sentinel
06:38:33 Pod rfs-test-cluster-597d58749f-vvdbb 2015:	Started container sentinel
06:41:51 Pod rfs-test-cluster-597d58749f-vvdbb 2015:	Stopping container sentinel
06:37:25 Pod rfs-test-cluster-597d58749f-xsgjj 1892:	Successfully assigned acto-namespace/rfs-test-cluster-597d58749f-xsgjj to acto-cluster-13-worker3
06:37:26 Pod rfs-test-cluster-597d58749f-xsgjj 1894:	Container image "redis:6.2.6-alpine" already present on machine
06:37:26 Pod rfs-test-cluster-597d58749f-xsgjj 1894:	Created container sentinel-config-copy
