05:06:26 Pod cockroach-operator-manager-57b7fbd794-xnj7f 733:	Successfully assigned cockroach-operator-system/cockroach-operator-manager-57b7fbd794-xnj7f to acto-cluster-9-worker3
05:17:56 Pod test-cluster-0 2635:	Started container db
05:20:08 Pod test-cluster-0 2635:	Stopping container db
05:20:18 Pod test-cluster-0 2980:	Successfully assigned cockroach-operator-system/test-cluster-0 to acto-cluster-9-worker3
05:20:19 Pod test-cluster-0 2981:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:20:19 Pod test-cluster-0 2981:	Created container db-init
05:20:19 Pod test-cluster-0 2981:	Started container db-init
05:20:19 Pod test-cluster-0 2981:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:20:19 Pod test-cluster-0 2981:	Created container db
05:20:20 Pod test-cluster-0 2981:	Started container db
05:20:33 Pod test-cluster-0 2981:	Readiness probe failed: HTTP probe failed with statuscode: 503
05:22:20 Pod test-cluster-0 2981:	Stopping container db
05:22:51 Pod test-cluster-0 3424:	Successfully assigned cockroach-operator-system/test-cluster-0 to acto-cluster-9-worker3
05:22:51 Pod test-cluster-0 3425:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:22:51 Pod test-cluster-0 3425:	Created container db-init
05:22:51 Pod test-cluster-0 3425:	Started container db-init
05:22:52 Pod test-cluster-0 3425:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:22:52 Pod test-cluster-0 3425:	Created container db
05:22:52 Pod test-cluster-0 3425:	Started container db
05:07:27 Pod test-cluster-1 930:	Successfully assigned cockroach-operator-system/test-cluster-1 to acto-cluster-9-worker2
05:07:28 Pod test-cluster-1 994:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:07:28 Pod test-cluster-1 994:	Created container db-init
05:07:28 Pod test-cluster-1 994:	Started container db-init
05:07:29 Pod test-cluster-1 994:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:07:29 Pod test-cluster-1 994:	Created container db
05:07:29 Pod test-cluster-1 994:	Started container db
05:08:52 Pod test-cluster-1 994:	Stopping container db
05:09:24 Pod test-cluster-1 1323:	Successfully assigned cockroach-operator-system/test-cluster-1 to acto-cluster-9-worker2
05:09:25 Pod test-cluster-1 1324:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:09:25 Pod test-cluster-1 1324:	Created container db-init
05:09:25 Pod test-cluster-1 1324:	Started container db-init
05:09:26 Pod test-cluster-1 1324:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:09:26 Pod test-cluster-1 1324:	Created container db
05:09:26 Pod test-cluster-1 1324:	Started container db
05:11:37 Pod test-cluster-1 1324:	Stopping container db
05:11:41 Pod test-cluster-1 1671:	Successfully assigned cockroach-operator-system/test-cluster-1 to acto-cluster-9-worker2
05:11:42 Pod test-cluster-1 1672:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:11:42 Pod test-cluster-1 1672:	Created container db-init
05:11:42 Pod test-cluster-1 1672:	Started container db-init
05:11:42 Pod test-cluster-1 1672:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:11:42 Pod test-cluster-1 1672:	Created container db
05:11:42 Pod test-cluster-1 1672:	Started container db
05:11:56 Pod test-cluster-1 1672:	Readiness probe failed: HTTP probe failed with statuscode: 503
05:14:02 Pod test-cluster-1 1672:	Stopping container db
05:14:09 Pod test-cluster-1 2071:	Successfully assigned cockroach-operator-system/test-cluster-1 to acto-cluster-9-worker2
05:14:09 Pod test-cluster-1 2072:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:14:09 Pod test-cluster-1 2072:	Created container db-init
05:14:09 Pod test-cluster-1 2072:	Started container db-init
05:14:10 Pod test-cluster-1 2072:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:14:10 Pod test-cluster-1 2072:	Created container db
05:14:10 Pod test-cluster-1 2072:	Started container db
05:14:24 Pod test-cluster-1 2072:	Readiness probe failed: HTTP probe failed with statuscode: 503
05:16:33 Pod test-cluster-1 2072:	Stopping container db
05:17:08 Pod test-cluster-1 2519:	Successfully assigned cockroach-operator-system/test-cluster-1 to acto-cluster-9-worker2
05:17:09 Pod test-cluster-1 2521:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:17:09 Pod test-cluster-1 2521:	Created container db-init
05:17:09 Pod test-cluster-1 2521:	Started container db-init
05:17:09 Pod test-cluster-1 2521:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:17:09 Pod test-cluster-1 2521:	Created container db
05:17:09 Pod test-cluster-1 2521:	Started container db
05:19:22 Pod test-cluster-1 2521:	Stopping container db
05:19:53 Pod test-cluster-1 2898:	Successfully assigned cockroach-operator-system/test-cluster-1 to acto-cluster-9-worker2
05:19:53 Pod test-cluster-1 2899:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:19:53 Pod test-cluster-1 2899:	Created container db-init
05:19:53 Pod test-cluster-1 2899:	Started container db-init
05:19:53 Pod test-cluster-1 2899:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:19:54 Pod test-cluster-1 2899:	Created container db
05:19:54 Pod test-cluster-1 2899:	Started container db
05:20:23 Pod test-cluster-1 2899:	Readiness probe failed: HTTP probe failed with statuscode: 503
05:21:53 Pod test-cluster-1 2899:	Stopping container db
05:21:55 Pod test-cluster-1 3258:	Successfully assigned cockroach-operator-system/test-cluster-1 to acto-cluster-9-worker2
05:21:56 Pod test-cluster-1 3259:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:21:56 Pod test-cluster-1 3259:	Created container db-init
05:21:57 Pod test-cluster-1 3259:	Started container db-init
05:21:57 Pod test-cluster-1 3259:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:21:57 Pod test-cluster-1 3259:	Created container db
05:21:57 Pod test-cluster-1 3259:	Started container db
05:22:10 Pod test-cluster-1 3259:	Readiness probe failed: HTTP probe failed with statuscode: 503
05:07:29 Pod test-cluster-2 941:	Successfully assigned cockroach-operator-system/test-cluster-2 to acto-cluster-9-worker
05:07:30 Pod test-cluster-2 1033:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:07:30 Pod test-cluster-2 1033:	Created container db-init
05:07:30 Pod test-cluster-2 1033:	Started container db-init
05:07:31 Pod test-cluster-2 1033:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:07:31 Pod test-cluster-2 1033:	Created container db
05:07:31 Pod test-cluster-2 1033:	Started container db
05:08:32 Pod test-cluster-2 1033:	Stopping container db
05:08:37 Pod test-cluster-2 1205:	Successfully assigned cockroach-operator-system/test-cluster-2 to acto-cluster-9-worker
05:08:38 Pod test-cluster-2 1206:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:08:38 Pod test-cluster-2 1206:	Created container db-init
05:08:38 Pod test-cluster-2 1206:	Started container db-init
05:08:38 Pod test-cluster-2 1206:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:08:38 Pod test-cluster-2 1206:	Created container db
05:08:38 Pod test-cluster-2 1206:	Started container db
05:11:15 Pod test-cluster-2 1206:	Stopping container db
05:11:22 Pod test-cluster-2 1591:	Successfully assigned cockroach-operator-system/test-cluster-2 to acto-cluster-9-worker
05:11:23 Pod test-cluster-2 1592:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:11:23 Pod test-cluster-2 1592:	Created container db-init
05:11:23 Pod test-cluster-2 1592:	Started container db-init
05:11:23 Pod test-cluster-2 1592:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:11:23 Pod test-cluster-2 1592:	Created container db
05:11:23 Pod test-cluster-2 1592:	Started container db
05:11:47 Pod test-cluster-2 1592:	Readiness probe failed: HTTP probe failed with statuscode: 503
05:13:43 Pod test-cluster-2 1592:	Stopping container db
05:13:47 Pod test-cluster-2 1990:	Successfully assigned cockroach-operator-system/test-cluster-2 to acto-cluster-9-worker
05:13:47 Pod test-cluster-2 1991:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:13:47 Pod test-cluster-2 1991:	Created container db-init
05:13:47 Pod test-cluster-2 1991:	Started container db-init
05:13:48 Pod test-cluster-2 1991:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:13:48 Pod test-cluster-2 1991:	Created container db
05:13:48 Pod test-cluster-2 1991:	Started container db
05:14:17 Pod test-cluster-2 1991:	Readiness probe failed: HTTP probe failed with statuscode: 503
05:16:11 Pod test-cluster-2 1991:	Stopping container db
05:16:18 Pod test-cluster-2 2399:	Successfully assigned cockroach-operator-system/test-cluster-2 to acto-cluster-9-worker
05:16:18 Pod test-cluster-2 2400:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:16:18 Pod test-cluster-2 2400:	Created container db-init
05:16:19 Pod test-cluster-2 2400:	Started container db-init
05:16:19 Pod test-cluster-2 2400:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:16:19 Pod test-cluster-2 2400:	Created container db
05:16:19 Pod test-cluster-2 2400:	Started container db
05:19:00 Pod test-cluster-2 2400:	Stopping container db
05:19:07 Pod test-cluster-2 2787:	Successfully assigned cockroach-operator-system/test-cluster-2 to acto-cluster-9-worker
05:19:08 Pod test-cluster-2 2788:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:19:08 Pod test-cluster-2 2788:	Created container db-init
05:19:08 Pod test-cluster-2 2788:	Started container db-init
05:19:08 Pod test-cluster-2 2788:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:19:08 Pod test-cluster-2 2788:	Created container db
05:19:08 Pod test-cluster-2 2788:	Started container db
05:20:22 Pod test-cluster-2 2788:	Readiness probe failed: HTTP probe failed with statuscode: 503
05:21:35 Pod test-cluster-2 2788:	Stopping container db
