06:47:29 Pod redisoperator-56c8dfdfb-ksb99 799:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-ksb99 to acto-cluster-5-worker
06:47:31 Pod redisoperator-56c8dfdfb-ksb99 801:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:47:31 Pod redisoperator-56c8dfdfb-ksb99 801:	Created container app
06:47:32 Pod redisoperator-56c8dfdfb-ksb99 801:	Started container app
06:47:29 ReplicaSet redisoperator-56c8dfdfb 796:	Created pod: redisoperator-56c8dfdfb-ksb99
06:46:59 Pod redisoperator-6445768794-gkxtl 731:	Successfully assigned acto-namespace/redisoperator-6445768794-gkxtl to acto-cluster-5-worker
06:47:00 Pod redisoperator-6445768794-gkxtl 734:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:47:00 Pod redisoperator-6445768794-gkxtl 734:	Created container app
06:47:02 Pod redisoperator-6445768794-gkxtl 734:	Started container app
06:47:33 Pod redisoperator-6445768794-gkxtl 734:	Stopping container app
06:46:59 ReplicaSet redisoperator-6445768794 723:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
06:46:59 ReplicaSet redisoperator-6445768794 729:	Created pod: redisoperator-6445768794-gkxtl
06:47:33 ReplicaSet redisoperator-6445768794 902:	Deleted pod: redisoperator-6445768794-gkxtl
06:46:59 Deployment redisoperator 721:	Scaled up replica set redisoperator-6445768794 to 1
06:47:29 Deployment redisoperator 795:	Scaled up replica set redisoperator-56c8dfdfb to 1
06:47:33 Deployment redisoperator 806:	Scaled down replica set redisoperator-6445768794 to 0
06:47:31 Pod rfr-test-cluster-0 831:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-5-worker2
06:47:33 Pod rfr-test-cluster-0 834:	Container image "redis:6.2.6-alpine" already present on machine
06:47:33 Pod rfr-test-cluster-0 834:	Created container redis
06:47:33 Pod rfr-test-cluster-0 834:	Started container redis
06:47:33 Pod rfr-test-cluster-0 834:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
