I0402 10:13:52.280477       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
I0402 10:13:52.610056       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 3
I0402 10:13:52.610101       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 10:13:52.620510       1 stateful_set_control.go:92] : [acto-namespace/test-cluster]'s StatefulSet: [acto-namespace/test-cluster-tidb] updated successfully
I0402 10:13:52.641992       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
I0402 10:13:53.809442       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 10:13:53.810617       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 10:13:53.810657       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 10:13:53.836542       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
I0402 10:13:55.007888       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 10:13:55.009039       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 10:13:55.009102       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 10:13:55.063553       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
I0402 10:13:56.208330       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 10:13:56.209625       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 10:13:56.209671       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 10:14:19.434461       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 10:14:19.435580       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 10:14:19.435613       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 10:14:28.689669       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 10:14:28.690904       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 10:14:28.713311       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
I0402 10:14:28.713346       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded tidb pod: [test-cluster-tidb-2] is not ready, requeuing
I0402 10:14:28.840155       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 10:14:28.840969       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 10:14:28.885291       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
I0402 10:14:28.885327       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded tidb pod: [test-cluster-tidb-2] is not ready, requeuing
I0402 10:14:29.486302       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 10:14:29.487730       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 10:14:29.487921       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded tidb pod: [test-cluster-tidb-2] is not ready, requeuing
I0402 10:14:30.684129       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 10:14:30.684987       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 10:14:30.685156       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded tidb pod: [test-cluster-tidb-2] is not ready, requeuing
I0402 10:14:38.810572       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 10:14:38.811930       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 10:14:38.812144       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded tidb pod: [test-cluster-tidb-2] is not ready, requeuing
I0402 10:14:49.447954       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 10:14:49.448730       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 10:14:49.448868       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded tidb pod: [test-cluster-tidb-2] is not ready, requeuing
I0402 10:14:54.926490       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 10:14:54.927340       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 10:14:54.927488       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded tidb pod: [test-cluster-tidb-2] is not ready, requeuing
I0402 10:15:19.415330       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 10:15:19.416212       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 10:15:19.416364       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded tidb pod: [test-cluster-tidb-2] is not ready, requeuing
I0402 10:15:49.423694       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
