08:11:03 Pod rfs-test-cluster-54df69f8df-2nbnm 869:	Container image "redis:6.2.6-alpine" already present on machine
08:11:03 Pod rfs-test-cluster-54df69f8df-2nbnm 869:	Created container sentinel-config-copy
08:11:17 Pod rfs-test-cluster-54df69f8df-2nbnm 869:	Started container sentinel-config-copy
08:11:19 Pod rfs-test-cluster-54df69f8df-2nbnm 869:	Container image "redis:6.2.6-alpine" already present on machine
08:11:19 Pod rfs-test-cluster-54df69f8df-2nbnm 869:	Created container sentinel
08:11:19 Pod rfs-test-cluster-54df69f8df-2nbnm 869:	Started container sentinel
08:11:03 Pod rfs-test-cluster-54df69f8df-fkvwd 865:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-fkvwd to acto-cluster-10-worker3
08:11:03 Pod rfs-test-cluster-54df69f8df-fkvwd 872:	Container image "redis:6.2.6-alpine" already present on machine
08:11:03 Pod rfs-test-cluster-54df69f8df-fkvwd 872:	Created container sentinel-config-copy
08:11:19 Pod rfs-test-cluster-54df69f8df-fkvwd 872:	Started container sentinel-config-copy
08:11:20 Pod rfs-test-cluster-54df69f8df-fkvwd 872:	Container image "redis:6.2.6-alpine" already present on machine
08:11:20 Pod rfs-test-cluster-54df69f8df-fkvwd 872:	Created container sentinel
08:11:22 Pod rfs-test-cluster-54df69f8df-fkvwd 872:	Started container sentinel
08:11:03 Pod rfs-test-cluster-54df69f8df-qx8t5 859:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-qx8t5 to acto-cluster-10-worker2
08:11:03 Pod rfs-test-cluster-54df69f8df-qx8t5 866:	Container image "redis:6.2.6-alpine" already present on machine
08:11:03 Pod rfs-test-cluster-54df69f8df-qx8t5 866:	Created container sentinel-config-copy
08:11:17 Pod rfs-test-cluster-54df69f8df-qx8t5 866:	Started container sentinel-config-copy
08:11:19 Pod rfs-test-cluster-54df69f8df-qx8t5 866:	Container image "redis:6.2.6-alpine" already present on machine
08:11:19 Pod rfs-test-cluster-54df69f8df-qx8t5 866:	Created container sentinel
08:11:20 Pod rfs-test-cluster-54df69f8df-qx8t5 866:	Started container sentinel
08:11:02 ReplicaSet rfs-test-cluster-54df69f8df 857:	Created pod: rfs-test-cluster-54df69f8df-qx8t5
08:11:03 ReplicaSet rfs-test-cluster-54df69f8df 857:	Created pod: rfs-test-cluster-54df69f8df-2nbnm
08:11:03 ReplicaSet rfs-test-cluster-54df69f8df 857:	Created pod: rfs-test-cluster-54df69f8df-fkvwd
08:11:02 PodDisruptionBudget rfs-test-cluster 852:	No matching pods found
08:11:02 Deployment rfs-test-cluster 855:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
