07:11:58 Pod redisoperator-56c8dfdfb-zqvvl 791:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-zqvvl to acto-cluster-5-worker2
07:28:17 Pod rfr-test-cluster-1 2773:	Created container redis
07:28:17 Pod rfr-test-cluster-1 2773:	Started container redis
07:28:17 Pod rfr-test-cluster-1 2773:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:28:17 Pod rfr-test-cluster-1 2773:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 128.484099ms
07:28:17 Pod rfr-test-cluster-1 2773:	Created container redis-exporter
07:28:20 Pod rfr-test-cluster-1 2773:	Started container redis-exporter
07:28:56 Pod rfr-test-cluster-1 2773:	Readiness probe failed: 
07:12:02 Pod rfr-test-cluster-2 837:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-5-worker2
07:12:03 Pod rfr-test-cluster-2 844:	Container image "redis:6.2.6-alpine" already present on machine
07:12:03 Pod rfr-test-cluster-2 844:	Created container redis
07:12:03 Pod rfr-test-cluster-2 844:	Started container redis
07:12:03 Pod rfr-test-cluster-2 844:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:12:03 Pod rfr-test-cluster-2 844:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 256.26306ms
07:12:03 Pod rfr-test-cluster-2 844:	Created container redis-exporter
07:12:06 Pod rfr-test-cluster-2 844:	Started container redis-exporter
07:12:42 Pod rfr-test-cluster-2 844:	Readiness probe failed: 
07:15:33 Pod rfr-test-cluster-2 844:	Stopping container redis
07:15:33 Pod rfr-test-cluster-2 844:	Stopping container redis-exporter
07:15:34 Pod rfr-test-cluster-2 1406:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-5-worker2
07:15:35 Pod rfr-test-cluster-2 1407:	Container image "redis:6.2.6-alpine" already present on machine
07:15:35 Pod rfr-test-cluster-2 1407:	Created container redis
07:15:35 Pod rfr-test-cluster-2 1407:	Started container redis
07:15:35 Pod rfr-test-cluster-2 1407:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:15:35 Pod rfr-test-cluster-2 1407:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 112.535343ms
07:15:35 Pod rfr-test-cluster-2 1407:	Created container redis-exporter
07:15:38 Pod rfr-test-cluster-2 1407:	Started container redis-exporter
07:19:02 Pod rfr-test-cluster-2 1407:	Stopping container redis
07:19:02 Pod rfr-test-cluster-2 1407:	Stopping container redis-exporter
07:28:16 Pod rfr-test-cluster-2 2771:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-5-worker2
07:28:17 Pod rfr-test-cluster-2 2774:	Container image "redis:6.2.6-alpine" already present on machine
07:28:17 Pod rfr-test-cluster-2 2774:	Created container redis
07:28:17 Pod rfr-test-cluster-2 2774:	Started container redis
07:28:17 Pod rfr-test-cluster-2 2774:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:28:17 Pod rfr-test-cluster-2 2774:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 135.67115ms
07:28:17 Pod rfr-test-cluster-2 2774:	Created container redis-exporter
07:28:20 Pod rfr-test-cluster-2 2774:	Started container redis-exporter
07:28:56 Pod rfr-test-cluster-2 2774:	Readiness probe failed: 
07:12:02 PodDisruptionBudget rfr-test-cluster 819:	No matching pods found
07:12:02 StatefulSet rfr-test-cluster 821:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
07:12:02 StatefulSet rfr-test-cluster 821:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
07:12:02 StatefulSet rfr-test-cluster 821:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
07:18:16 StatefulSet rfr-test-cluster 1730:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].name: Required value
07:12:02 Pod rfs-test-cluster-54df69f8df-9c4sh 870:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-9c4sh to acto-cluster-5-worker3
07:12:03 Pod rfs-test-cluster-54df69f8df-9c4sh 875:	Container image "redis:6.2.6-alpine" already present on machine
07:12:03 Pod rfs-test-cluster-54df69f8df-9c4sh 875:	Created container sentinel-config-copy
07:12:17 Pod rfs-test-cluster-54df69f8df-9c4sh 875:	Started container sentinel-config-copy
07:12:19 Pod rfs-test-cluster-54df69f8df-9c4sh 875:	Container image "redis:6.2.6-alpine" already present on machine
07:12:19 Pod rfs-test-cluster-54df69f8df-9c4sh 875:	Created container sentinel
07:12:19 Pod rfs-test-cluster-54df69f8df-9c4sh 875:	Started container sentinel
07:12:02 Pod rfs-test-cluster-54df69f8df-hr7jl 864:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-hr7jl to acto-cluster-5-worker
07:12:03 Pod rfs-test-cluster-54df69f8df-hr7jl 868:	Container image "redis:6.2.6-alpine" already present on machine
07:12:03 Pod rfs-test-cluster-54df69f8df-hr7jl 868:	Created container sentinel-config-copy
07:12:16 Pod rfs-test-cluster-54df69f8df-hr7jl 868:	Started container sentinel-config-copy
07:12:19 Pod rfs-test-cluster-54df69f8df-hr7jl 868:	Container image "redis:6.2.6-alpine" already present on machine
07:12:19 Pod rfs-test-cluster-54df69f8df-hr7jl 868:	Created container sentinel
07:12:19 Pod rfs-test-cluster-54df69f8df-hr7jl 868:	Started container sentinel
07:12:02 Pod rfs-test-cluster-54df69f8df-wg277 871:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-wg277 to acto-cluster-5-worker2
07:12:03 Pod rfs-test-cluster-54df69f8df-wg277 876:	Container image "redis:6.2.6-alpine" already present on machine
07:12:03 Pod rfs-test-cluster-54df69f8df-wg277 876:	Created container sentinel-config-copy
07:12:16 Pod rfs-test-cluster-54df69f8df-wg277 876:	Started container sentinel-config-copy
07:12:19 Pod rfs-test-cluster-54df69f8df-wg277 876:	Container image "redis:6.2.6-alpine" already present on machine
07:12:19 Pod rfs-test-cluster-54df69f8df-wg277 876:	Created container sentinel
07:12:19 Pod rfs-test-cluster-54df69f8df-wg277 876:	Started container sentinel
07:12:02 ReplicaSet rfs-test-cluster-54df69f8df 862:	Created pod: rfs-test-cluster-54df69f8df-hr7jl
07:12:02 ReplicaSet rfs-test-cluster-54df69f8df 862:	Created pod: rfs-test-cluster-54df69f8df-9c4sh
07:12:02 ReplicaSet rfs-test-cluster-54df69f8df 862:	Created pod: rfs-test-cluster-54df69f8df-wg277
07:12:02 PodDisruptionBudget rfs-test-cluster 856:	No matching pods found
07:12:02 Deployment rfs-test-cluster 861:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
