07:38:45 Pod acto-test-operator-zookeeper-operator-658b9fbcfb-qrbz6 739:	Successfully assigned acto-namespace/acto-test-operator-zookeeper-operator-658b9fbcfb-qrbz6 to acto-cluster-7-worker2
07:40:37 Pod test-cluster-2 1098:	Container image "pravega/zookeeper:0.2.14" already present on machine
07:40:37 Pod test-cluster-2 1098:	Created container zookeeper
07:40:37 Pod test-cluster-2 1098:	Started container zookeeper
07:41:40 Pod test-cluster-2 1098:	Stopping container zookeeper
07:42:12 Pod test-cluster-2 1296:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-7-worker2
07:42:12 Pod test-cluster-2 1297:	Pulling image "pravega/zookeeper:0.2.14"
07:42:13 Pod test-cluster-2 1297:	Successfully pulled image "pravega/zookeeper:0.2.14" in 421.515571ms
07:42:13 Pod test-cluster-2 1297:	Created container zookeeper
07:42:13 Pod test-cluster-2 1297:	Started container zookeeper
07:45:00 Pod test-cluster-2 1297:	Stopping container zookeeper
07:45:32 Pod test-cluster-2 1764:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-7-worker2
07:45:33 Pod test-cluster-2 1766:	Pulling image "pravega/zookeeper:0.2.14"
07:45:33 Pod test-cluster-2 1766:	Successfully pulled image "pravega/zookeeper:0.2.14" in 195.275603ms
07:45:33 Pod test-cluster-2 1766:	Created container zookeeper
07:45:34 Pod test-cluster-2 1766:	Started container zookeeper
07:48:20 Pod test-cluster-2 1766:	Stopping container zookeeper
07:48:53 Pod test-cluster-2 2230:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-7-worker2
07:48:53 Pod test-cluster-2 2231:	Pulling image "pravega/zookeeper:0.2.14"
07:48:54 Pod test-cluster-2 2231:	Successfully pulled image "pravega/zookeeper:0.2.14" in 338.200466ms
07:48:54 Pod test-cluster-2 2231:	Created container zookeeper
07:48:54 Pod test-cluster-2 2231:	Started container zookeeper
07:39:18 StatefulSet test-cluster 823:	create Claim data-test-cluster-0 Pod test-cluster-0 in StatefulSet test-cluster success
07:39:18 StatefulSet test-cluster 823:	create Pod test-cluster-0 in StatefulSet test-cluster successful
07:39:43 StatefulSet test-cluster 855:	create Claim data-test-cluster-1 Pod test-cluster-1 in StatefulSet test-cluster success
07:39:43 StatefulSet test-cluster 855:	create Pod test-cluster-1 in StatefulSet test-cluster successful
07:40:31 StatefulSet test-cluster 1036:	create Claim data-test-cluster-2 Pod test-cluster-2 in StatefulSet test-cluster success
07:40:31 StatefulSet test-cluster 1036:	create Pod test-cluster-2 in StatefulSet test-cluster successful
07:41:40 StatefulSet test-cluster 1220:	delete Pod test-cluster-2 in StatefulSet test-cluster successful
07:42:32 StatefulSet test-cluster 1301:	delete Pod test-cluster-1 in StatefulSet test-cluster successful
07:43:24 StatefulSet test-cluster 1455:	delete Pod test-cluster-0 in StatefulSet test-cluster successful
07:39:15 Pod zkapp 808:	Successfully assigned acto-namespace/zkapp to acto-cluster-7-worker3
07:39:16 Pod zkapp 809:	Container image "tylergu1998/zkapp:v1" already present on machine
07:39:16 Pod zkapp 809:	Created container zkapp
07:39:16 Pod zkapp 809:	Started container zkapp
