05:42:46 Pod redisoperator-56c8dfdfb-fskqw 806:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-fskqw to acto-cluster-6-worker3
05:42:47 Pod redisoperator-56c8dfdfb-fskqw 808:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
05:42:47 Pod redisoperator-56c8dfdfb-fskqw 808:	Created container app
05:42:49 Pod redisoperator-56c8dfdfb-fskqw 808:	Started container app
05:42:46 ReplicaSet redisoperator-56c8dfdfb 803:	Created pod: redisoperator-56c8dfdfb-fskqw
05:42:16 Pod redisoperator-6445768794-nrhvq 738:	Successfully assigned acto-namespace/redisoperator-6445768794-nrhvq to acto-cluster-6-worker3
05:42:17 Pod redisoperator-6445768794-nrhvq 741:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
05:42:17 Pod redisoperator-6445768794-nrhvq 741:	Created container app
05:42:18 Pod redisoperator-6445768794-nrhvq 741:	Started container app
05:42:49 Pod redisoperator-6445768794-nrhvq 741:	Stopping container app
05:42:16 ReplicaSet redisoperator-6445768794 734:	Created pod: redisoperator-6445768794-nrhvq
05:42:49 ReplicaSet redisoperator-6445768794 824:	Deleted pod: redisoperator-6445768794-nrhvq
05:42:16 Deployment redisoperator 731:	Scaled up replica set redisoperator-6445768794 to 1
05:42:46 Deployment redisoperator 802:	Scaled up replica set redisoperator-56c8dfdfb to 1
05:42:49 Deployment redisoperator 813:	Scaled down replica set redisoperator-6445768794 to 0
05:42:54 Pod rfr-test-cluster-0 860:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-6-worker
05:42:57 Pod rfr-test-cluster-0 863:	Container image "redis:6.2.6-alpine" already present on machine
05:42:57 Pod rfr-test-cluster-0 863:	Created container redis
05:43:02 Pod rfr-test-cluster-0 863:	Started container redis
05:43:02 Pod rfr-test-cluster-0 863:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
05:43:03 Pod rfr-test-cluster-0 863:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 312.069888ms
05:43:03 Pod rfr-test-cluster-0 863:	Created container redis-exporter
05:43:08 Pod rfr-test-cluster-0 863:	Started container redis-exporter
05:43:36 Pod rfr-test-cluster-0 863:	Readiness probe failed: 
05:42:54 Pod rfr-test-cluster-1 864:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-6-worker3
05:42:57 Pod rfr-test-cluster-1 869:	Container image "redis:6.2.6-alpine" already present on machine
05:42:57 Pod rfr-test-cluster-1 869:	Created container redis
05:43:03 Pod rfr-test-cluster-1 869:	Started container redis
05:43:03 Pod rfr-test-cluster-1 869:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
05:43:03 Pod rfr-test-cluster-1 869:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 259.624748ms
05:43:04 Pod rfr-test-cluster-1 869:	Created container redis-exporter
05:43:09 Pod rfr-test-cluster-1 869:	Started container redis-exporter
05:43:36 Pod rfr-test-cluster-1 869:	Readiness probe failed: 
05:42:54 Pod rfr-test-cluster-2 868:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-6-worker2
05:42:57 Pod rfr-test-cluster-2 873:	Container image "redis:6.2.6-alpine" already present on machine
05:42:57 Pod rfr-test-cluster-2 873:	Created container redis
05:43:00 Pod rfr-test-cluster-2 873:	Started container redis
05:43:00 Pod rfr-test-cluster-2 873:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
