09:08:47 Pod redisoperator-56c8dfdfb-hlmpb 799:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-hlmpb to acto-cluster-5-worker2
09:20:25 Pod rfr-test-cluster-0 2489:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 118.687319ms
09:20:25 Pod rfr-test-cluster-0 2489:	Created container redis-exporter
09:20:28 Pod rfr-test-cluster-0 2489:	Started container redis-exporter
09:20:55 Pod rfr-test-cluster-0 2489:	Readiness probe failed: 
09:24:56 Pod rfr-test-cluster-0 2489:	Stopping container redis
09:24:56 Pod rfr-test-cluster-0 2489:	Stopping container redis-exporter
09:24:57 Pod rfr-test-cluster-0 2991:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-5-worker2
09:24:58 Pod rfr-test-cluster-0 2995:	Container image "redis:6.2.6-alpine" already present on machine
09:24:58 Pod rfr-test-cluster-0 2995:	Created container redis
09:24:58 Pod rfr-test-cluster-0 2995:	Started container redis
09:24:58 Pod rfr-test-cluster-0 2995:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:24:58 Pod rfr-test-cluster-0 2995:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 219.610453ms
09:24:58 Pod rfr-test-cluster-0 2995:	Created container redis-exporter
09:25:01 Pod rfr-test-cluster-0 2995:	Started container redis-exporter
09:29:53 Pod rfr-test-cluster-0 2995:	Stopping container redis
09:29:53 Pod rfr-test-cluster-0 2995:	Stopping container redis-exporter
09:29:54 Pod rfr-test-cluster-0 3655:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-5-worker2
09:29:54 Pod rfr-test-cluster-0 3657:	Container image "redis:6.2.6-alpine" already present on machine
09:29:54 Pod rfr-test-cluster-0 3657:	Created container redis
09:29:55 Pod rfr-test-cluster-0 3657:	Started container redis
09:29:55 Pod rfr-test-cluster-0 3657:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:29:55 Pod rfr-test-cluster-0 3657:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 151.83725ms
09:29:55 Pod rfr-test-cluster-0 3657:	Created container redis-exporter
09:29:57 Pod rfr-test-cluster-0 3657:	Started container redis-exporter
09:30:34 Pod rfr-test-cluster-0 3657:	Readiness probe failed: 
09:33:18 Pod rfr-test-cluster-0 3657:	Stopping container redis
09:33:18 Pod rfr-test-cluster-0 3657:	Stopping container redis-exporter
09:43:21 Pod rfr-test-cluster-0 5050:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-5-worker2
09:43:21 Pod rfr-test-cluster-0 5053:	Container image "redis:6.2.6-alpine" already present on machine
09:43:21 Pod rfr-test-cluster-0 5053:	Created container redis
09:43:21 Pod rfr-test-cluster-0 5053:	Started container redis
09:43:21 Pod rfr-test-cluster-0 5053:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:43:21 Pod rfr-test-cluster-0 5053:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 126.831636ms
09:43:21 Pod rfr-test-cluster-0 5053:	Created container redis-exporter
09:43:24 Pod rfr-test-cluster-0 5053:	Started container redis-exporter
09:43:51 Pod rfr-test-cluster-0 5053:	Readiness probe failed: 
09:08:50 Pod rfr-test-cluster-1 835:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-5-worker
09:08:51 Pod rfr-test-cluster-1 839:	Container image "redis:6.2.6-alpine" already present on machine
09:08:51 Pod rfr-test-cluster-1 839:	Created container redis
09:08:52 Pod rfr-test-cluster-1 839:	Started container redis
09:08:52 Pod rfr-test-cluster-1 839:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:08:52 Pod rfr-test-cluster-1 839:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 298.414152ms
09:08:53 Pod rfr-test-cluster-1 839:	Created container redis-exporter
09:08:56 Pod rfr-test-cluster-1 839:	Started container redis-exporter
09:09:32 Pod rfr-test-cluster-1 839:	Readiness probe failed: 
09:11:51 Pod rfr-test-cluster-1 839:	Stopping container redis
09:11:51 Pod rfr-test-cluster-1 839:	Stopping container redis-exporter
09:11:53 Pod rfr-test-cluster-1 1350:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-5-worker
09:11:54 Pod rfr-test-cluster-1 1352:	Container image "redis:6.2.6-alpine" already present on machine
09:11:54 Pod rfr-test-cluster-1 1352:	Created container redis
09:11:54 Pod rfr-test-cluster-1 1352:	Started container redis
09:11:54 Pod rfr-test-cluster-1 1352:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:11:54 Pod rfr-test-cluster-1 1352:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 177.610582ms
09:11:54 Pod rfr-test-cluster-1 1352:	Created container redis-exporter
09:11:57 Pod rfr-test-cluster-1 1352:	Started container redis-exporter
09:16:23 Pod rfr-test-cluster-1 1352:	Stopping container redis
09:16:23 Pod rfr-test-cluster-1 1352:	Stopping container redis-exporter
09:16:23 Pod rfr-test-cluster-1 1352:	Liveness probe errored: rpc error: code = NotFound desc = failed to exec in container: failed to load task: no running task found: task ac6971a7938cca28eda8c950d06a0469c85ff51d1bef186001e5ee656ebbb831 not found: not found
09:16:23 Pod rfr-test-cluster-1 1352:	Readiness probe errored: rpc error: code = NotFound desc = failed to exec in container: failed to load task: no running task found: task ac6971a7938cca28eda8c950d06a0469c85ff51d1bef186001e5ee656ebbb831 not found: not found
09:16:24 Pod rfr-test-cluster-1 1975:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-5-worker
09:16:24 Pod rfr-test-cluster-1 1976:	Container image "redis:6.2.6-alpine" already present on machine
09:16:24 Pod rfr-test-cluster-1 1976:	Created container redis
09:16:25 Pod rfr-test-cluster-1 1976:	Started container redis
09:16:25 Pod rfr-test-cluster-1 1976:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:16:25 Pod rfr-test-cluster-1 1976:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 115.572161ms
09:16:25 Pod rfr-test-cluster-1 1976:	Created container redis-exporter
09:16:27 Pod rfr-test-cluster-1 1976:	Started container redis-exporter
09:17:04 Pod rfr-test-cluster-1 1976:	Readiness probe failed: 
09:19:51 Pod rfr-test-cluster-1 1976:	Stopping container redis
09:19:51 Pod rfr-test-cluster-1 1976:	Stopping container redis-exporter
09:19:52 Pod rfr-test-cluster-1 2370:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-5-worker
09:19:52 Pod rfr-test-cluster-1 2372:	Container image "redis:6.2.6-alpine" already present on machine
09:19:52 Pod rfr-test-cluster-1 2372:	Created container redis
09:19:52 Pod rfr-test-cluster-1 2372:	Started container redis
09:19:52 Pod rfr-test-cluster-1 2372:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:19:53 Pod rfr-test-cluster-1 2372:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 258.97844ms
09:19:53 Pod rfr-test-cluster-1 2372:	Created container redis-exporter
09:19:55 Pod rfr-test-cluster-1 2372:	Started container redis-exporter
09:20:22 Pod rfr-test-cluster-1 2372:	Readiness probe failed: 
09:25:54 Pod rfr-test-cluster-1 2372:	Stopping container redis
09:25:54 Pod rfr-test-cluster-1 2372:	Stopping container redis-exporter
09:25:55 Pod rfr-test-cluster-1 3152:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-5-worker
09:25:56 Pod rfr-test-cluster-1 3155:	Container image "redis:6.2.6-alpine" already present on machine
09:25:56 Pod rfr-test-cluster-1 3155:	Created container redis
09:25:56 Pod rfr-test-cluster-1 3155:	Started container redis
09:25:56 Pod rfr-test-cluster-1 3155:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:25:56 Pod rfr-test-cluster-1 3155:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 121.532504ms
09:25:56 Pod rfr-test-cluster-1 3155:	Created container redis-exporter
09:25:58 Pod rfr-test-cluster-1 3155:	Started container redis-exporter
09:26:35 Pod rfr-test-cluster-1 3155:	Readiness probe failed: 
09:29:18 Pod rfr-test-cluster-1 3155:	Stopping container redis
09:29:18 Pod rfr-test-cluster-1 3155:	Stopping container redis-exporter
09:29:19 Pod rfr-test-cluster-1 3535:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-5-worker
09:29:19 Pod rfr-test-cluster-1 3538:	Container image "redis:6.2.6-alpine" already present on machine
09:29:19 Pod rfr-test-cluster-1 3538:	Created container redis
09:29:19 Pod rfr-test-cluster-1 3538:	Started container redis
09:29:19 Pod rfr-test-cluster-1 3538:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:29:19 Pod rfr-test-cluster-1 3538:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 132.649796ms
09:29:19 Pod rfr-test-cluster-1 3538:	Created container redis-exporter
09:29:22 Pod rfr-test-cluster-1 3538:	Started container redis-exporter
09:29:49 Pod rfr-test-cluster-1 3538:	Readiness probe failed: 
09:33:52 Pod rfr-test-cluster-1 3538:	Stopping container redis
09:33:52 Pod rfr-test-cluster-1 3538:	Stopping container redis-exporter
09:43:21 Pod rfr-test-cluster-1 5051:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-5-worker
09:43:21 Pod rfr-test-cluster-1 5056:	Container image "redis:6.2.6-alpine" already present on machine
09:43:21 Pod rfr-test-cluster-1 5056:	Created container redis
09:43:21 Pod rfr-test-cluster-1 5056:	Started container redis
09:43:21 Pod rfr-test-cluster-1 5056:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:43:21 Pod rfr-test-cluster-1 5056:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 136.570952ms
09:43:21 Pod rfr-test-cluster-1 5056:	Created container redis-exporter
09:43:24 Pod rfr-test-cluster-1 5056:	Started container redis-exporter
09:43:51 Pod rfr-test-cluster-1 5056:	Readiness probe failed: 
09:08:50 Pod rfr-test-cluster-2 840:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-5-worker3
09:08:51 Pod rfr-test-cluster-2 844:	Container image "redis:6.2.6-alpine" already present on machine
09:08:51 Pod rfr-test-cluster-2 844:	Created container redis
09:08:52 Pod rfr-test-cluster-2 844:	Started container redis
09:08:52 Pod rfr-test-cluster-2 844:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:08:52 Pod rfr-test-cluster-2 844:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 267.288738ms
09:08:53 Pod rfr-test-cluster-2 844:	Created container redis-exporter
09:08:56 Pod rfr-test-cluster-2 844:	Started container redis-exporter
09:09:32 Pod rfr-test-cluster-2 844:	Readiness probe failed: 
09:11:53 Pod rfr-test-cluster-2 844:	Stopping container redis
09:11:53 Pod rfr-test-cluster-2 844:	Stopping container redis-exporter
09:11:55 Pod rfr-test-cluster-2 1375:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-5-worker3
09:11:55 Pod rfr-test-cluster-2 1376:	Container image "redis:6.2.6-alpine" already present on machine
09:11:55 Pod rfr-test-cluster-2 1376:	Created container redis
09:11:55 Pod rfr-test-cluster-2 1376:	Started container redis
09:11:55 Pod rfr-test-cluster-2 1376:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:11:56 Pod rfr-test-cluster-2 1376:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 112.580456ms
09:11:56 Pod rfr-test-cluster-2 1376:	Created container redis-exporter
09:11:58 Pod rfr-test-cluster-2 1376:	Started container redis-exporter
09:15:53 Pod rfr-test-cluster-2 1376:	Stopping container redis
09:15:53 Pod rfr-test-cluster-2 1376:	Stopping container redis-exporter
09:15:54 Pod rfr-test-cluster-2 1894:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-5-worker3
09:15:55 Pod rfr-test-cluster-2 1896:	Container image "redis:6.2.6-alpine" already present on machine
09:15:55 Pod rfr-test-cluster-2 1896:	Created container redis
09:15:55 Pod rfr-test-cluster-2 1896:	Started container redis
09:15:55 Pod rfr-test-cluster-2 1896:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:15:55 Pod rfr-test-cluster-2 1896:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 195.468919ms
09:15:55 Pod rfr-test-cluster-2 1896:	Created container redis-exporter
09:15:58 Pod rfr-test-cluster-2 1896:	Started container redis-exporter
09:19:53 Pod rfr-test-cluster-2 1896:	Stopping container redis
09:19:53 Pod rfr-test-cluster-2 1896:	Stopping container redis-exporter
09:19:54 Pod rfr-test-cluster-2 2405:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-5-worker3
09:19:54 Pod rfr-test-cluster-2 2408:	Container image "redis:6.2.6-alpine" already present on machine
09:19:54 Pod rfr-test-cluster-2 2408:	Created container redis
09:19:55 Pod rfr-test-cluster-2 2408:	Started container redis
09:19:55 Pod rfr-test-cluster-2 2408:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:19:55 Pod rfr-test-cluster-2 2408:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 212.00249ms
09:19:55 Pod rfr-test-cluster-2 2408:	Created container redis-exporter
09:19:57 Pod rfr-test-cluster-2 2408:	Started container redis-exporter
09:25:23 Pod rfr-test-cluster-2 2408:	Stopping container redis
09:25:23 Pod rfr-test-cluster-2 2408:	Stopping container redis-exporter
09:25:24 Pod rfr-test-cluster-2 2408:	Liveness probe errored: rpc error: code = Unknown desc = failed to exec in container: container is in CONTAINER_EXITED state
09:25:24 Pod rfr-test-cluster-2 2408:	Readiness probe errored: rpc error: code = Unknown desc = failed to exec in container: container is in CONTAINER_EXITED state
09:25:24 Pod rfr-test-cluster-2 3069:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-5-worker3
09:25:25 Pod rfr-test-cluster-2 3073:	Container image "redis:6.2.6-alpine" already present on machine
09:25:25 Pod rfr-test-cluster-2 3073:	Created container redis
09:25:25 Pod rfr-test-cluster-2 3073:	Started container redis
09:25:25 Pod rfr-test-cluster-2 3073:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:25:25 Pod rfr-test-cluster-2 3073:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 113.124686ms
09:25:25 Pod rfr-test-cluster-2 3073:	Created container redis-exporter
09:25:28 Pod rfr-test-cluster-2 3073:	Started container redis-exporter
09:29:23 Pod rfr-test-cluster-2 3073:	Stopping container redis
09:29:23 Pod rfr-test-cluster-2 3073:	Stopping container redis-exporter
09:29:24 Pod rfr-test-cluster-2 3577:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-5-worker3
09:29:25 Pod rfr-test-cluster-2 3581:	Container image "redis:6.2.6-alpine" already present on machine
09:29:25 Pod rfr-test-cluster-2 3581:	Created container redis
09:29:25 Pod rfr-test-cluster-2 3581:	Started container redis
09:29:25 Pod rfr-test-cluster-2 3581:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:29:25 Pod rfr-test-cluster-2 3581:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 192.656164ms
09:29:25 Pod rfr-test-cluster-2 3581:	Created container redis-exporter
09:29:28 Pod rfr-test-cluster-2 3581:	Started container redis-exporter
09:33:23 Pod rfr-test-cluster-2 3581:	Stopping container redis
09:33:23 Pod rfr-test-cluster-2 3581:	Stopping container redis-exporter
09:43:21 Pod rfr-test-cluster-2 5057:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-5-worker3
09:43:21 Pod rfr-test-cluster-2 5061:	Container image "redis:6.2.6-alpine" already present on machine
09:43:21 Pod rfr-test-cluster-2 5061:	Created container redis
09:43:21 Pod rfr-test-cluster-2 5061:	Started container redis
09:43:21 Pod rfr-test-cluster-2 5061:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:43:21 Pod rfr-test-cluster-2 5061:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 111.903049ms
09:43:21 Pod rfr-test-cluster-2 5061:	Created container redis-exporter
09:43:25 Pod rfr-test-cluster-2 5061:	Started container redis-exporter
