06:36:21 Pod redisoperator-56c8dfdfb-wh2xv 783:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-wh2xv to acto-cluster-6-worker3
06:36:23 Pod redisoperator-56c8dfdfb-wh2xv 785:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:36:23 Pod redisoperator-56c8dfdfb-wh2xv 785:	Created container app
06:36:24 Pod redisoperator-56c8dfdfb-wh2xv 785:	Started container app
06:36:21 ReplicaSet redisoperator-56c8dfdfb 780:	Created pod: redisoperator-56c8dfdfb-wh2xv
06:35:51 Pod redisoperator-6445768794-l4b6k 712:	Successfully assigned acto-namespace/redisoperator-6445768794-l4b6k to acto-cluster-6-worker2
06:35:52 Pod redisoperator-6445768794-l4b6k 716:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:35:52 Pod redisoperator-6445768794-l4b6k 716:	Created container app
06:35:54 Pod redisoperator-6445768794-l4b6k 716:	Started container app
06:36:25 Pod redisoperator-6445768794-l4b6k 716:	Stopping container app
06:35:51 ReplicaSet redisoperator-6445768794 704:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
06:35:51 ReplicaSet redisoperator-6445768794 711:	Created pod: redisoperator-6445768794-l4b6k
06:36:25 ReplicaSet redisoperator-6445768794 897:	Deleted pod: redisoperator-6445768794-l4b6k
06:35:51 Deployment redisoperator 702:	Scaled up replica set redisoperator-6445768794 to 1
06:36:21 Deployment redisoperator 779:	Scaled up replica set redisoperator-56c8dfdfb to 1
06:36:25 Deployment redisoperator 790:	Scaled down replica set redisoperator-6445768794 to 0
06:36:24 Pod rfr-test-cluster-0 816:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-6-worker3
06:36:25 Pod rfr-test-cluster-0 820:	Container image "redis:6.2.6-alpine" already present on machine
06:36:25 Pod rfr-test-cluster-0 820:	Created container redis
06:36:25 Pod rfr-test-cluster-0 820:	Started container redis
