E0402 06:50:48.352617       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.spec.LoadBalancerSourceRanges: Invalid value: []string{"ACTOKEY"}: service.Spec.LoadBalancerSourceRanges is not valid. Expecting a list of IP ranges. For example, 10.0.0.0/24.
I0402 06:50:48.352799       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"3c3e15ac-9e1d-406c-995e-349e665698dc", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1835", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.spec.LoadBalancerSourceRanges: Invalid value: []string{"ACTOKEY"}: service.Spec.LoadBalancerSourceRanges is not valid. Expecting a list of IP ranges. For example, 10.0.0.0/24.
E0402 06:51:18.352670       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.spec.LoadBalancerSourceRanges: Invalid value: []string{"ACTOKEY"}: service.Spec.LoadBalancerSourceRanges is not valid. Expecting a list of IP ranges. For example, 10.0.0.0/24.
I0402 06:51:18.352773       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"3c3e15ac-9e1d-406c-995e-349e665698dc", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1835", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.spec.LoadBalancerSourceRanges: Invalid value: []string{"ACTOKEY"}: service.Spec.LoadBalancerSourceRanges is not valid. Expecting a list of IP ranges. For example, 10.0.0.0/24.
E0402 06:51:48.352877       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.spec.LoadBalancerSourceRanges: Invalid value: []string{"ACTOKEY"}: service.Spec.LoadBalancerSourceRanges is not valid. Expecting a list of IP ranges. For example, 10.0.0.0/24.
I0402 06:51:48.353021       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"3c3e15ac-9e1d-406c-995e-349e665698dc", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1835", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.spec.LoadBalancerSourceRanges: Invalid value: []string{"ACTOKEY"}: service.Spec.LoadBalancerSourceRanges is not valid. Expecting a list of IP ranges. For example, 10.0.0.0/24.
E0402 06:52:18.353216       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.spec.LoadBalancerSourceRanges: Invalid value: []string{"ACTOKEY"}: service.Spec.LoadBalancerSourceRanges is not valid. Expecting a list of IP ranges. For example, 10.0.0.0/24.
I0402 06:52:18.353349       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"3c3e15ac-9e1d-406c-995e-349e665698dc", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1835", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.spec.LoadBalancerSourceRanges: Invalid value: []string{"ACTOKEY"}: service.Spec.LoadBalancerSourceRanges is not valid. Expecting a list of IP ranges. For example, 10.0.0.0/24.
E0402 06:52:48.353254       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.spec.LoadBalancerSourceRanges: Invalid value: []string{"ACTOKEY"}: service.Spec.LoadBalancerSourceRanges is not valid. Expecting a list of IP ranges. For example, 10.0.0.0/24.
I0402 06:52:48.353356       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"3c3e15ac-9e1d-406c-995e-349e665698dc", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1835", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.spec.LoadBalancerSourceRanges: Invalid value: []string{"ACTOKEY"}: service.Spec.LoadBalancerSourceRanges is not valid. Expecting a list of IP ranges. For example, 10.0.0.0/24.
