I0402 09:25:10.579192       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
I0402 09:27:08.732854       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"421ab698-0c2c-4453-b46b-f85bb73eb1ff", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"5498", FieldPath:""}): type: 'Warning' reason: 'FailedUpdateTiDBSTS' contains volumeMounts that do not have matched volume: map[ACTOKEY:{ACTOKEY false ACTOKEY  <nil> }]
E0402 09:27:08.732945       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed contains volumeMounts that do not have matched volume: map[ACTOKEY:{ACTOKEY false ACTOKEY  <nil> }], requeuing
E0402 09:27:38.715491       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed contains volumeMounts that do not have matched volume: map[ACTOKEY:{ACTOKEY false ACTOKEY  <nil> }], requeuing
I0402 09:27:38.715515       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"421ab698-0c2c-4453-b46b-f85bb73eb1ff", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"5498", FieldPath:""}): type: 'Warning' reason: 'FailedUpdateTiDBSTS' contains volumeMounts that do not have matched volume: map[ACTOKEY:{ACTOKEY false ACTOKEY  <nil> }]
E0402 09:28:08.731377       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed contains volumeMounts that do not have matched volume: map[ACTOKEY:{ACTOKEY false ACTOKEY  <nil> }], requeuing
I0402 09:28:08.731354       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"421ab698-0c2c-4453-b46b-f85bb73eb1ff", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"5498", FieldPath:""}): type: 'Warning' reason: 'FailedUpdateTiDBSTS' contains volumeMounts that do not have matched volume: map[ACTOKEY:{ACTOKEY false ACTOKEY  <nil> }]
E0402 09:28:24.658318       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed contains volumeMounts that do not have matched volume: map[ACTOKEY:{ACTOKEY false ACTOKEY  <nil> }], requeuing
I0402 09:28:24.658323       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"421ab698-0c2c-4453-b46b-f85bb73eb1ff", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"5498", FieldPath:""}): type: 'Warning' reason: 'FailedUpdateTiDBSTS' contains volumeMounts that do not have matched volume: map[ACTOKEY:{ACTOKEY false ACTOKEY  <nil> }]
I0402 09:28:38.737374       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"421ab698-0c2c-4453-b46b-f85bb73eb1ff", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"5498", FieldPath:""}): type: 'Warning' reason: 'FailedUpdateTiDBSTS' contains volumeMounts that do not have matched volume: map[ACTOKEY:{ACTOKEY false ACTOKEY  <nil> }]
E0402 09:28:38.737430       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed contains volumeMounts that do not have matched volume: map[ACTOKEY:{ACTOKEY false ACTOKEY  <nil> }], requeuing
I0402 09:29:08.732827       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"421ab698-0c2c-4453-b46b-f85bb73eb1ff", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"5498", FieldPath:""}): type: 'Warning' reason: 'FailedUpdateTiDBSTS' contains volumeMounts that do not have matched volume: map[ACTOKEY:{ACTOKEY false ACTOKEY  <nil> }]
E0402 09:29:08.732851       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed contains volumeMounts that do not have matched volume: map[ACTOKEY:{ACTOKEY false ACTOKEY  <nil> }], requeuing
E0402 09:29:38.743602       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed contains volumeMounts that do not have matched volume: map[ACTOKEY:{ACTOKEY false ACTOKEY  <nil> }], requeuing
I0402 09:29:38.743608       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"421ab698-0c2c-4453-b46b-f85bb73eb1ff", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"5498", FieldPath:""}): type: 'Warning' reason: 'FailedUpdateTiDBSTS' contains volumeMounts that do not have matched volume: map[ACTOKEY:{ACTOKEY false ACTOKEY  <nil> }]
