07:37:07 Pod redisoperator-56c8dfdfb-ksnls 794:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-ksnls to acto-cluster-9-worker3
07:37:10 Pod rfs-test-cluster-54df69f8df-cb68b 866:	Created container sentinel-config-copy
07:37:25 Pod rfs-test-cluster-54df69f8df-cb68b 866:	Started container sentinel-config-copy
07:37:28 Pod rfs-test-cluster-54df69f8df-cb68b 866:	Container image "redis:6.2.6-alpine" already present on machine
07:37:29 Pod rfs-test-cluster-54df69f8df-cb68b 866:	Created container sentinel
07:37:29 Pod rfs-test-cluster-54df69f8df-cb68b 866:	Started container sentinel
07:48:51 Pod rfs-test-cluster-54df69f8df-cb68b 866:	Stopping container sentinel
07:57:49 Pod rfs-test-cluster-54df69f8df-d8rst 3479:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-d8rst to acto-cluster-9-worker3
07:57:49 Pod rfs-test-cluster-54df69f8df-d8rst 3481:	Container image "redis:6.2.6-alpine" already present on machine
07:57:49 Pod rfs-test-cluster-54df69f8df-d8rst 3481:	Created container sentinel-config-copy
07:58:03 Pod rfs-test-cluster-54df69f8df-d8rst 3481:	Started container sentinel-config-copy
07:58:05 Pod rfs-test-cluster-54df69f8df-d8rst 3481:	Container image "redis:6.2.6-alpine" already present on machine
07:58:05 Pod rfs-test-cluster-54df69f8df-d8rst 3481:	Created container sentinel
07:58:06 Pod rfs-test-cluster-54df69f8df-d8rst 3481:	Started container sentinel
07:49:54 Pod rfs-test-cluster-54df69f8df-hd2gw 2387:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-hd2gw to acto-cluster-9-worker3
07:49:58 Pod rfs-test-cluster-54df69f8df-hd2gw 2389:	Container image "redis:6.2.6-alpine" already present on machine
07:49:58 Pod rfs-test-cluster-54df69f8df-hd2gw 2389:	Created container sentinel-config-copy
07:50:11 Pod rfs-test-cluster-54df69f8df-hd2gw 2389:	Started container sentinel-config-copy
07:50:13 Pod rfs-test-cluster-54df69f8df-hd2gw 2389:	Container image "redis:6.2.6-alpine" already present on machine
07:50:13 Pod rfs-test-cluster-54df69f8df-hd2gw 2389:	Created container sentinel
07:50:13 Pod rfs-test-cluster-54df69f8df-hd2gw 2389:	Started container sentinel
07:54:17 Pod rfs-test-cluster-54df69f8df-hd2gw 2389:	Stopping container sentinel
07:58:39 Pod rfs-test-cluster-54df69f8df-l6gd5 3600:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-l6gd5 to acto-cluster-9-worker
07:58:40 Pod rfs-test-cluster-54df69f8df-l6gd5 3603:	Container image "redis:6.2.6-alpine" already present on machine
07:58:40 Pod rfs-test-cluster-54df69f8df-l6gd5 3603:	Created container sentinel-config-copy
07:58:53 Pod rfs-test-cluster-54df69f8df-l6gd5 3603:	Started container sentinel-config-copy
07:58:55 Pod rfs-test-cluster-54df69f8df-l6gd5 3603:	Container image "redis:6.2.6-alpine" already present on machine
07:58:55 Pod rfs-test-cluster-54df69f8df-l6gd5 3603:	Created container sentinel
07:58:55 Pod rfs-test-cluster-54df69f8df-l6gd5 3603:	Started container sentinel
07:51:34 Pod rfs-test-cluster-54df69f8df-whs5m 2633:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-whs5m to acto-cluster-9-worker
07:51:35 Pod rfs-test-cluster-54df69f8df-whs5m 2635:	Container image "redis:6.2.6-alpine" already present on machine
07:51:35 Pod rfs-test-cluster-54df69f8df-whs5m 2635:	Created container sentinel-config-copy
07:51:48 Pod rfs-test-cluster-54df69f8df-whs5m 2635:	Started container sentinel-config-copy
07:51:52 Pod rfs-test-cluster-54df69f8df-whs5m 2635:	Container image "redis:6.2.6-alpine" already present on machine
07:51:52 Pod rfs-test-cluster-54df69f8df-whs5m 2635:	Created container sentinel
07:51:52 Pod rfs-test-cluster-54df69f8df-whs5m 2635:	Started container sentinel
07:55:57 Pod rfs-test-cluster-54df69f8df-whs5m 2635:	Stopping container sentinel
07:37:10 Pod rfs-test-cluster-54df69f8df-wrcqv 856:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-wrcqv to acto-cluster-9-worker2
