I0402 08:59:28.767586       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"21a4a4b0-f45f-4884-b991-bf12f644ece1", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"6479", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
E0402 08:59:44.563299       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
I0402 08:59:44.563408       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"21a4a4b0-f45f-4884-b991-bf12f644ece1", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"6479", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
E0402 09:00:14.563496       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
I0402 09:00:14.563690       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"21a4a4b0-f45f-4884-b991-bf12f644ece1", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"6479", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
E0402 09:00:44.563719       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
I0402 09:00:44.563808       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"21a4a4b0-f45f-4884-b991-bf12f644ece1", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"6479", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
E0402 09:01:14.563921       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
I0402 09:01:14.564084       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"21a4a4b0-f45f-4884-b991-bf12f644ece1", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"6479", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
E0402 09:01:44.564005       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
I0402 09:01:44.564084       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"21a4a4b0-f45f-4884-b991-bf12f644ece1", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"6479", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
E0402 09:02:14.564194       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
I0402 09:02:14.564275       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"21a4a4b0-f45f-4884-b991-bf12f644ece1", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"6479", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
E0402 09:02:44.564488       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
I0402 09:02:44.564690       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"21a4a4b0-f45f-4884-b991-bf12f644ece1", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"6479", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
E0402 09:03:14.564574       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
I0402 09:03:14.564728       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"21a4a4b0-f45f-4884-b991-bf12f644ece1", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"6479", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
E0402 09:03:44.564921       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
I0402 09:03:44.565093       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"21a4a4b0-f45f-4884-b991-bf12f644ece1", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"6479", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
E0402 09:04:14.565693       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
I0402 09:04:14.565943       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"21a4a4b0-f45f-4884-b991-bf12f644ece1", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"6479", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
E0402 09:04:44.565391       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
