08:22:05 Pod redisoperator-56c8dfdfb-2ppfd 792:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-2ppfd to acto-cluster-3-worker2
08:22:07 Pod redisoperator-56c8dfdfb-2ppfd 793:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:22:07 Pod redisoperator-56c8dfdfb-2ppfd 793:	Created container app
08:22:08 Pod redisoperator-56c8dfdfb-2ppfd 793:	Started container app
08:22:05 ReplicaSet redisoperator-56c8dfdfb 789:	Created pod: redisoperator-56c8dfdfb-2ppfd
08:21:35 Pod redisoperator-6445768794-7pm4f 720:	Successfully assigned acto-namespace/redisoperator-6445768794-7pm4f to acto-cluster-3-worker
08:21:36 Pod redisoperator-6445768794-7pm4f 725:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:21:36 Pod redisoperator-6445768794-7pm4f 725:	Created container app
08:21:38 Pod redisoperator-6445768794-7pm4f 725:	Started container app
08:22:09 Pod redisoperator-6445768794-7pm4f 725:	Stopping container app
08:21:35 ReplicaSet redisoperator-6445768794 712:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
08:21:35 ReplicaSet redisoperator-6445768794 718:	Created pod: redisoperator-6445768794-7pm4f
08:22:09 ReplicaSet redisoperator-6445768794 908:	Deleted pod: redisoperator-6445768794-7pm4f
08:21:35 Deployment redisoperator 710:	Scaled up replica set redisoperator-6445768794 to 1
08:22:05 Deployment redisoperator 788:	Scaled up replica set redisoperator-56c8dfdfb to 1
08:22:09 Deployment redisoperator 799:	Scaled down replica set redisoperator-6445768794 to 0
08:22:07 Pod rfr-test-cluster-0 823:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-3-worker
08:22:08 Pod rfr-test-cluster-0 825:	Container image "redis:6.2.6-alpine" already present on machine
08:22:08 Pod rfr-test-cluster-0 825:	Created container redis
08:22:08 Pod rfr-test-cluster-0 825:	Started container redis
08:22:08 Pod rfr-test-cluster-0 825:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:22:08 Pod rfr-test-cluster-0 825:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 266.896014ms
08:22:08 Pod rfr-test-cluster-0 825:	Created container redis-exporter
08:22:12 Pod rfr-test-cluster-0 825:	Started container redis-exporter
08:22:47 Pod rfr-test-cluster-0 825:	Readiness probe failed: 
08:32:10 Pod rfr-test-cluster-0 825:	Stopping container redis
08:32:10 Pod rfr-test-cluster-0 825:	Stopping container redis-exporter
08:41:23 Pod rfr-test-cluster-0 2936:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-3-worker3
08:41:23 Pod rfr-test-cluster-0 2939:	Container image "redis:6.2.6-alpine" already present on machine
08:41:23 Pod rfr-test-cluster-0 2939:	Created container redis
08:41:23 Pod rfr-test-cluster-0 2939:	Started container redis
08:41:23 Pod rfr-test-cluster-0 2939:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:41:24 Pod rfr-test-cluster-0 2939:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 113.972974ms
08:41:24 Pod rfr-test-cluster-0 2939:	Created container redis-exporter
08:41:26 Pod rfr-test-cluster-0 2939:	Started container redis-exporter
