05:42:47 Pod redisoperator-56c8dfdfb-2kd9x 795:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-2kd9x to acto-cluster-4-worker2
05:56:22 Pod rfr-test-cluster-2 2409:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
05:56:22 Pod rfr-test-cluster-2 2409:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 154.71624ms
05:56:22 Pod rfr-test-cluster-2 2409:	Created container redis-exporter
05:56:25 Pod rfr-test-cluster-2 2409:	Started container redis-exporter
05:57:01 Pod rfr-test-cluster-2 2409:	Readiness probe failed: 
05:42:55 PodDisruptionBudget rfr-test-cluster 843:	No matching pods found
05:42:55 StatefulSet rfr-test-cluster 847:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
05:42:55 StatefulSet rfr-test-cluster 847:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
05:42:55 StatefulSet rfr-test-cluster 847:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
05:46:20 StatefulSet rfr-test-cluster 1373:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom.fieldRef.fieldPath: Invalid value: "ACTOKEY": error converting fieldPath: unsupported pod version: ACTOKEY
05:46:53 StatefulSet rfr-test-cluster 1383:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom.fieldRef.fieldPath: Invalid value: "ACTOKEY": error converting fieldPath: unsupported pod version: ACTOKEY
05:42:55 Pod rfs-test-cluster-54df69f8df-d8pxw 881:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-d8pxw to acto-cluster-4-worker
05:43:03 Pod rfs-test-cluster-54df69f8df-d8pxw 886:	Container image "redis:6.2.6-alpine" already present on machine
05:43:03 Pod rfs-test-cluster-54df69f8df-d8pxw 886:	Created container sentinel-config-copy
05:43:40 Pod rfs-test-cluster-54df69f8df-d8pxw 886:	Started container sentinel-config-copy
05:43:41 Pod rfs-test-cluster-54df69f8df-d8pxw 886:	Container image "redis:6.2.6-alpine" already present on machine
05:43:41 Pod rfs-test-cluster-54df69f8df-d8pxw 886:	Created container sentinel
05:43:42 Pod rfs-test-cluster-54df69f8df-d8pxw 886:	Started container sentinel
05:42:55 Pod rfs-test-cluster-54df69f8df-f9rzt 883:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-f9rzt to acto-cluster-4-worker3
05:43:00 Pod rfs-test-cluster-54df69f8df-f9rzt 887:	Container image "redis:6.2.6-alpine" already present on machine
05:43:00 Pod rfs-test-cluster-54df69f8df-f9rzt 887:	Created container sentinel-config-copy
05:43:37 Pod rfs-test-cluster-54df69f8df-f9rzt 887:	Started container sentinel-config-copy
05:43:39 Pod rfs-test-cluster-54df69f8df-f9rzt 887:	Container image "redis:6.2.6-alpine" already present on machine
05:43:40 Pod rfs-test-cluster-54df69f8df-f9rzt 887:	Created container sentinel
05:43:41 Pod rfs-test-cluster-54df69f8df-f9rzt 887:	Started container sentinel
05:42:55 Pod rfs-test-cluster-54df69f8df-ggrq7 877:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-ggrq7 to acto-cluster-4-worker2
05:43:02 Pod rfs-test-cluster-54df69f8df-ggrq7 882:	Container image "redis:6.2.6-alpine" already present on machine
05:43:02 Pod rfs-test-cluster-54df69f8df-ggrq7 882:	Created container sentinel-config-copy
05:43:38 Pod rfs-test-cluster-54df69f8df-ggrq7 882:	Started container sentinel-config-copy
05:43:40 Pod rfs-test-cluster-54df69f8df-ggrq7 882:	Container image "redis:6.2.6-alpine" already present on machine
05:43:41 Pod rfs-test-cluster-54df69f8df-ggrq7 882:	Created container sentinel
05:43:41 Pod rfs-test-cluster-54df69f8df-ggrq7 882:	Started container sentinel
05:42:55 ReplicaSet rfs-test-cluster-54df69f8df 874:	Created pod: rfs-test-cluster-54df69f8df-ggrq7
05:42:55 ReplicaSet rfs-test-cluster-54df69f8df 874:	Created pod: rfs-test-cluster-54df69f8df-f9rzt
05:42:55 ReplicaSet rfs-test-cluster-54df69f8df 874:	Created pod: rfs-test-cluster-54df69f8df-d8pxw
05:42:55 PodDisruptionBudget rfs-test-cluster 869:	No matching pods found
05:42:55 Deployment rfs-test-cluster 872:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
