09:47:23 Pod redisoperator-56c8dfdfb-msxg5 793:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-msxg5 to acto-cluster-14-worker2
09:55:42 Pod rfs-test-cluster-6c58855967-95mrb 2046:	Successfully assigned acto-namespace/rfs-test-cluster-6c58855967-95mrb to acto-cluster-14-worker3
09:55:42 Pod rfs-test-cluster-6c58855967-95mrb 2051:	Container image "redis:6.2.6-alpine" already present on machine
09:55:43 Pod rfs-test-cluster-6c58855967-95mrb 2051:	Created container sentinel-config-copy
09:55:56 Pod rfs-test-cluster-6c58855967-95mrb 2051:	Started container sentinel-config-copy
09:55:59 Pod rfs-test-cluster-6c58855967-95mrb 2051:	Container image "redis:6.2.6-alpine" already present on machine
09:55:59 Pod rfs-test-cluster-6c58855967-95mrb 2051:	Created container sentinel
09:55:59 Pod rfs-test-cluster-6c58855967-95mrb 2051:	Started container sentinel
10:00:07 Pod rfs-test-cluster-6c58855967-95mrb 2051:	Stopping container sentinel
09:54:02 Pod rfs-test-cluster-6c58855967-9gkrx 1801:	Successfully assigned acto-namespace/rfs-test-cluster-6c58855967-9gkrx to acto-cluster-14-worker2
09:54:02 Pod rfs-test-cluster-6c58855967-9gkrx 1803:	Container image "redis:6.2.6-alpine" already present on machine
09:54:02 Pod rfs-test-cluster-6c58855967-9gkrx 1803:	Created container sentinel-config-copy
09:54:16 Pod rfs-test-cluster-6c58855967-9gkrx 1803:	Started container sentinel-config-copy
09:54:18 Pod rfs-test-cluster-6c58855967-9gkrx 1803:	Container image "redis:6.2.6-alpine" already present on machine
09:54:18 Pod rfs-test-cluster-6c58855967-9gkrx 1803:	Created container sentinel
09:54:19 Pod rfs-test-cluster-6c58855967-9gkrx 1803:	Started container sentinel
09:58:27 Pod rfs-test-cluster-6c58855967-9gkrx 1803:	Stopping container sentinel
09:54:02 ReplicaSet rfs-test-cluster-6c58855967 1798:	Created pod: rfs-test-cluster-6c58855967-9gkrx
09:54:52 ReplicaSet rfs-test-cluster-6c58855967 1915:	Created pod: rfs-test-cluster-6c58855967-2bmt4
09:55:42 ReplicaSet rfs-test-cluster-6c58855967 2043:	Created pod: rfs-test-cluster-6c58855967-95mrb
09:58:27 ReplicaSet rfs-test-cluster-6c58855967 2401:	Deleted pod: rfs-test-cluster-6c58855967-9gkrx
09:59:17 ReplicaSet rfs-test-cluster-6c58855967 2524:	Deleted pod: rfs-test-cluster-6c58855967-2bmt4
10:00:07 ReplicaSet rfs-test-cluster-6c58855967 2649:	Deleted pod: rfs-test-cluster-6c58855967-95mrb
09:57:37 Pod rfs-test-cluster-798bc5964d-528nq 2291:	Successfully assigned acto-namespace/rfs-test-cluster-798bc5964d-528nq to acto-cluster-14-worker2
09:57:38 Pod rfs-test-cluster-798bc5964d-528nq 2294:	Container image "redis:6.2.6-alpine" already present on machine
09:57:38 Pod rfs-test-cluster-798bc5964d-528nq 2294:	Created container sentinel-config-copy
09:57:51 Pod rfs-test-cluster-798bc5964d-528nq 2294:	Started container sentinel-config-copy
09:57:53 Pod rfs-test-cluster-798bc5964d-528nq 2294:	Container image "redis:6.2.6-alpine" already present on machine
09:57:53 Pod rfs-test-cluster-798bc5964d-528nq 2294:	Created container sentinel
09:57:53 Pod rfs-test-cluster-798bc5964d-528nq 2294:	Started container sentinel
10:02:51 Pod rfs-test-cluster-798bc5964d-528nq 2294:	Stopping container sentinel
09:52:09 Pod rfs-test-cluster-798bc5964d-b6g2v 1561:	Successfully assigned acto-namespace/rfs-test-cluster-798bc5964d-b6g2v to acto-cluster-14-worker3
09:52:10 Pod rfs-test-cluster-798bc5964d-b6g2v 1565:	Container image "redis:6.2.6-alpine" already present on machine
09:52:10 Pod rfs-test-cluster-798bc5964d-b6g2v 1565:	Created container sentinel-config-copy
09:52:23 Pod rfs-test-cluster-798bc5964d-b6g2v 1565:	Started container sentinel-config-copy
09:52:25 Pod rfs-test-cluster-798bc5964d-b6g2v 1565:	Container image "redis:6.2.6-alpine" already present on machine
09:52:25 Pod rfs-test-cluster-798bc5964d-b6g2v 1565:	Created container sentinel
09:52:25 Pod rfs-test-cluster-798bc5964d-b6g2v 1565:	Started container sentinel
09:56:32 Pod rfs-test-cluster-798bc5964d-b6g2v 1565:	Stopping container sentinel
09:50:29 Pod rfs-test-cluster-798bc5964d-df845 1317:	Successfully assigned acto-namespace/rfs-test-cluster-798bc5964d-df845 to acto-cluster-14-worker2
09:50:29 Pod rfs-test-cluster-798bc5964d-df845 1320:	Container image "redis:6.2.6-alpine" already present on machine
09:50:29 Pod rfs-test-cluster-798bc5964d-df845 1320:	Created container sentinel-config-copy
09:50:44 Pod rfs-test-cluster-798bc5964d-df845 1320:	Started container sentinel-config-copy
09:50:46 Pod rfs-test-cluster-798bc5964d-df845 1320:	Container image "redis:6.2.6-alpine" already present on machine
09:50:46 Pod rfs-test-cluster-798bc5964d-df845 1320:	Created container sentinel
09:50:46 Pod rfs-test-cluster-798bc5964d-df845 1320:	Started container sentinel
09:54:52 Pod rfs-test-cluster-798bc5964d-df845 1320:	Stopping container sentinel
09:59:17 Pod rfs-test-cluster-798bc5964d-f24fg 2537:	Successfully assigned acto-namespace/rfs-test-cluster-798bc5964d-f24fg to acto-cluster-14-worker3
09:59:18 Pod rfs-test-cluster-798bc5964d-f24fg 2541:	Container image "redis:6.2.6-alpine" already present on machine
09:59:18 Pod rfs-test-cluster-798bc5964d-f24fg 2541:	Created container sentinel-config-copy
09:59:30 Pod rfs-test-cluster-798bc5964d-f24fg 2541:	Started container sentinel-config-copy
09:59:33 Pod rfs-test-cluster-798bc5964d-f24fg 2541:	Container image "redis:6.2.6-alpine" already present on machine
09:59:33 Pod rfs-test-cluster-798bc5964d-f24fg 2541:	Created container sentinel
09:59:33 Pod rfs-test-cluster-798bc5964d-f24fg 2541:	Started container sentinel
10:03:42 Pod rfs-test-cluster-798bc5964d-f24fg 2541:	Stopping container sentinel
09:58:27 Pod rfs-test-cluster-798bc5964d-sf6md 2414:	Successfully assigned acto-namespace/rfs-test-cluster-798bc5964d-sf6md to acto-cluster-14-worker
09:58:28 Pod rfs-test-cluster-798bc5964d-sf6md 2416:	Container image "redis:6.2.6-alpine" already present on machine
09:58:28 Pod rfs-test-cluster-798bc5964d-sf6md 2416:	Created container sentinel-config-copy
09:58:41 Pod rfs-test-cluster-798bc5964d-sf6md 2416:	Started container sentinel-config-copy
09:58:43 Pod rfs-test-cluster-798bc5964d-sf6md 2416:	Container image "redis:6.2.6-alpine" already present on machine
09:58:43 Pod rfs-test-cluster-798bc5964d-sf6md 2416:	Created container sentinel
09:58:43 Pod rfs-test-cluster-798bc5964d-sf6md 2416:	Started container sentinel
10:02:01 Pod rfs-test-cluster-798bc5964d-sf6md 2416:	Stopping container sentinel
09:51:19 Pod rfs-test-cluster-798bc5964d-zx9qw 1435:	Successfully assigned acto-namespace/rfs-test-cluster-798bc5964d-zx9qw to acto-cluster-14-worker
09:51:20 Pod rfs-test-cluster-798bc5964d-zx9qw 1440:	Container image "redis:6.2.6-alpine" already present on machine
09:51:20 Pod rfs-test-cluster-798bc5964d-zx9qw 1440:	Created container sentinel-config-copy
