09:47:23 Pod redisoperator-56c8dfdfb-msxg5 793:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-msxg5 to acto-cluster-14-worker2
09:51:33 Pod rfs-test-cluster-798bc5964d-zx9qw 1440:	Started container sentinel-config-copy
09:51:34 Pod rfs-test-cluster-798bc5964d-zx9qw 1440:	Container image "redis:6.2.6-alpine" already present on machine
09:51:34 Pod rfs-test-cluster-798bc5964d-zx9qw 1440:	Created container sentinel
09:51:34 Pod rfs-test-cluster-798bc5964d-zx9qw 1440:	Started container sentinel
09:55:42 Pod rfs-test-cluster-798bc5964d-zx9qw 1440:	Stopping container sentinel
09:50:29 ReplicaSet rfs-test-cluster-798bc5964d 1314:	Created pod: rfs-test-cluster-798bc5964d-df845
09:51:19 ReplicaSet rfs-test-cluster-798bc5964d 1432:	Created pod: rfs-test-cluster-798bc5964d-zx9qw
09:52:09 ReplicaSet rfs-test-cluster-798bc5964d 1559:	Created pod: rfs-test-cluster-798bc5964d-b6g2v
09:54:52 ReplicaSet rfs-test-cluster-798bc5964d 1905:	Deleted pod: rfs-test-cluster-798bc5964d-df845
09:55:42 ReplicaSet rfs-test-cluster-798bc5964d 2033:	Deleted pod: rfs-test-cluster-798bc5964d-zx9qw
09:56:32 ReplicaSet rfs-test-cluster-798bc5964d 2161:	Deleted pod: rfs-test-cluster-798bc5964d-b6g2v
09:57:37 ReplicaSet rfs-test-cluster-798bc5964d 2289:	Created pod: rfs-test-cluster-798bc5964d-528nq
09:58:27 ReplicaSet rfs-test-cluster-798bc5964d 2411:	Created pod: rfs-test-cluster-798bc5964d-sf6md
09:59:17 ReplicaSet rfs-test-cluster-798bc5964d 2534:	Created pod: rfs-test-cluster-798bc5964d-f24fg
10:02:01 ReplicaSet rfs-test-cluster-798bc5964d 2884:	Deleted pod: rfs-test-cluster-798bc5964d-sf6md
10:02:51 ReplicaSet rfs-test-cluster-798bc5964d 3009:	Deleted pod: rfs-test-cluster-798bc5964d-528nq
10:03:42 ReplicaSet rfs-test-cluster-798bc5964d 3136:	Deleted pod: rfs-test-cluster-798bc5964d-f24fg
09:47:26 PodDisruptionBudget rfs-test-cluster 846:	No matching pods found
09:47:26 Deployment rfs-test-cluster 850:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
09:50:29 Deployment rfs-test-cluster 1313:	Scaled up replica set rfs-test-cluster-798bc5964d to 1
09:51:19 Deployment rfs-test-cluster 1380:	Scaled down replica set rfs-test-cluster-54df69f8df to 2
09:51:19 Deployment rfs-test-cluster 1380:	Scaled up replica set rfs-test-cluster-798bc5964d to 2
09:52:09 Deployment rfs-test-cluster 1524:	Scaled down replica set rfs-test-cluster-54df69f8df to 1
09:52:09 Deployment rfs-test-cluster 1524:	Scaled up replica set rfs-test-cluster-798bc5964d to 3
09:52:59 Deployment rfs-test-cluster 1669:	Scaled down replica set rfs-test-cluster-54df69f8df to 0
09:54:02 Deployment rfs-test-cluster 1797:	Scaled up replica set rfs-test-cluster-6c58855967 to 1
09:54:52 Deployment rfs-test-cluster 1861:	Scaled down replica set rfs-test-cluster-798bc5964d to 2
09:54:52 Deployment rfs-test-cluster 1908:	(combined from similar events): Scaled up replica set rfs-test-cluster-64c6f5687d to 2
