08:46:26 Pod redisoperator-56c8dfdfb-2ksxt 780:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-2ksxt to acto-cluster-3-worker3
08:59:34 Pod rfr-test-cluster-2 2338:	Created container redis
08:59:34 Pod rfr-test-cluster-2 2338:	Started container redis
08:59:34 Pod rfr-test-cluster-2 2338:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:59:34 Pod rfr-test-cluster-2 2338:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 149.01795ms
08:59:34 Pod rfr-test-cluster-2 2338:	Created container redis-exporter
08:59:37 Pod rfr-test-cluster-2 2338:	Started container redis-exporter
09:00:13 Pod rfr-test-cluster-2 2338:	Readiness probe failed: 
08:46:28 PodDisruptionBudget rfr-test-cluster 805:	No matching pods found
08:46:28 StatefulSet rfr-test-cluster 808:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
08:46:28 StatefulSet rfr-test-cluster 808:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
08:46:28 StatefulSet rfr-test-cluster 808:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
08:49:32 StatefulSet rfr-test-cluster 1315:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom.resourceFieldRef.resource: Unsupported value: "ACTOKEY": supported values: "limits.cpu", "limits.ephemeral-storage", "limits.memory", "requests.cpu", "requests.ephemeral-storage", "requests.memory"
08:50:03 StatefulSet rfr-test-cluster 1315:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom.resourceFieldRef.resource: Unsupported value: "ACTOKEY": supported values: "limits.cpu", "limits.ephemeral-storage", "limits.memory", "requests.cpu", "requests.ephemeral-storage", "requests.memory"
08:46:29 Pod rfs-test-cluster-54df69f8df-fhgtz 838:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-fhgtz to acto-cluster-3-worker3
08:46:29 Pod rfs-test-cluster-54df69f8df-fhgtz 841:	Container image "redis:6.2.6-alpine" already present on machine
08:46:29 Pod rfs-test-cluster-54df69f8df-fhgtz 841:	Created container sentinel-config-copy
08:46:44 Pod rfs-test-cluster-54df69f8df-fhgtz 841:	Started container sentinel-config-copy
08:46:46 Pod rfs-test-cluster-54df69f8df-fhgtz 841:	Container image "redis:6.2.6-alpine" already present on machine
08:46:47 Pod rfs-test-cluster-54df69f8df-fhgtz 841:	Created container sentinel
08:46:47 Pod rfs-test-cluster-54df69f8df-fhgtz 841:	Started container sentinel
08:46:29 Pod rfs-test-cluster-54df69f8df-gkmcz 844:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-gkmcz to acto-cluster-3-worker
08:46:29 Pod rfs-test-cluster-54df69f8df-gkmcz 847:	Container image "redis:6.2.6-alpine" already present on machine
08:46:29 Pod rfs-test-cluster-54df69f8df-gkmcz 847:	Created container sentinel-config-copy
08:46:44 Pod rfs-test-cluster-54df69f8df-gkmcz 847:	Started container sentinel-config-copy
08:46:46 Pod rfs-test-cluster-54df69f8df-gkmcz 847:	Container image "redis:6.2.6-alpine" already present on machine
08:46:47 Pod rfs-test-cluster-54df69f8df-gkmcz 847:	Created container sentinel
08:46:47 Pod rfs-test-cluster-54df69f8df-gkmcz 847:	Started container sentinel
08:46:29 Pod rfs-test-cluster-54df69f8df-rg94p 845:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-rg94p to acto-cluster-3-worker2
08:46:29 Pod rfs-test-cluster-54df69f8df-rg94p 849:	Container image "redis:6.2.6-alpine" already present on machine
08:46:29 Pod rfs-test-cluster-54df69f8df-rg94p 849:	Created container sentinel-config-copy
08:46:44 Pod rfs-test-cluster-54df69f8df-rg94p 849:	Started container sentinel-config-copy
08:46:45 Pod rfs-test-cluster-54df69f8df-rg94p 849:	Container image "redis:6.2.6-alpine" already present on machine
08:46:45 Pod rfs-test-cluster-54df69f8df-rg94p 849:	Created container sentinel
08:46:46 Pod rfs-test-cluster-54df69f8df-rg94p 849:	Started container sentinel
08:46:29 ReplicaSet rfs-test-cluster-54df69f8df 836:	Created pod: rfs-test-cluster-54df69f8df-fhgtz
08:46:29 ReplicaSet rfs-test-cluster-54df69f8df 836:	Created pod: rfs-test-cluster-54df69f8df-gkmcz
08:46:29 ReplicaSet rfs-test-cluster-54df69f8df 836:	Created pod: rfs-test-cluster-54df69f8df-rg94p
08:46:28 PodDisruptionBudget rfs-test-cluster 831:	No matching pods found
08:46:29 Deployment rfs-test-cluster 835:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
