07:23:37 Pod redisoperator-56c8dfdfb-4mhbk 798:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-4mhbk to acto-cluster-12-worker3
07:23:41 Pod rfr-test-cluster-1 841:	Container image "redis:6.2.6-alpine" already present on machine
07:23:41 Pod rfr-test-cluster-1 841:	Created container redis
07:23:41 Pod rfr-test-cluster-1 841:	Started container redis
07:23:41 Pod rfr-test-cluster-1 841:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:23:41 Pod rfr-test-cluster-1 841:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 259.750032ms
07:23:41 Pod rfr-test-cluster-1 841:	Created container redis-exporter
07:23:44 Pod rfr-test-cluster-1 841:	Started container redis-exporter
07:24:20 Pod rfr-test-cluster-1 841:	Readiness probe failed: 
07:26:44 Pod rfr-test-cluster-1 841:	Stopping container redis
07:26:44 Pod rfr-test-cluster-1 841:	Stopping container redis-exporter
07:26:45 Pod rfr-test-cluster-1 1338:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-12-worker
07:26:45 Pod rfr-test-cluster-1 1339:	Container image "redis:6.2.6-alpine" already present on machine
07:26:46 Pod rfr-test-cluster-1 1339:	Created container redis
07:26:46 Pod rfr-test-cluster-1 1339:	Started container redis
07:26:46 Pod rfr-test-cluster-1 1339:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:26:46 Pod rfr-test-cluster-1 1339:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 175.047572ms
07:26:46 Pod rfr-test-cluster-1 1339:	Created container redis-exporter
07:26:48 Pod rfr-test-cluster-1 1339:	Started container redis-exporter
07:31:42 Pod rfr-test-cluster-1 1339:	Stopping container redis
07:31:42 Pod rfr-test-cluster-1 1339:	Stopping container redis-exporter
07:31:45 Pod rfr-test-cluster-1 2012:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-12-worker
07:31:45 Pod rfr-test-cluster-1 2013:	Container image "redis:6.2.6-alpine" already present on machine
07:31:45 Pod rfr-test-cluster-1 2013:	Created container redis
07:31:46 Pod rfr-test-cluster-1 2013:	Started container redis
07:31:46 Pod rfr-test-cluster-1 2013:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:31:46 Pod rfr-test-cluster-1 2013:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 167.52385ms
07:31:46 Pod rfr-test-cluster-1 2013:	Created container redis-exporter
07:31:48 Pod rfr-test-cluster-1 2013:	Started container redis-exporter
07:32:53 Pod rfr-test-cluster-1 2013:	Stopping container redis
07:32:53 Pod rfr-test-cluster-1 2013:	Stopping container redis-exporter
07:32:54 Pod rfr-test-cluster-1 2175:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-12-worker
07:32:54 Pod rfr-test-cluster-1 2179:	Container image "redis:6.2.6-alpine" already present on machine
07:32:54 Pod rfr-test-cluster-1 2179:	Created container redis
07:32:55 Pod rfr-test-cluster-1 2179:	Started container redis
07:32:55 Pod rfr-test-cluster-1 2179:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:32:55 Pod rfr-test-cluster-1 2179:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 161.884878ms
07:32:55 Pod rfr-test-cluster-1 2179:	Created container redis-exporter
07:32:57 Pod rfr-test-cluster-1 2179:	Started container redis-exporter
07:37:43 Pod rfr-test-cluster-1 2179:	Stopping container redis
07:37:43 Pod rfr-test-cluster-1 2179:	Stopping container redis-exporter
07:37:44 Pod rfr-test-cluster-1 2836:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-12-worker
07:37:44 Pod rfr-test-cluster-1 2837:	Container image "redis:6.2.6-alpine" already present on machine
07:37:44 Pod rfr-test-cluster-1 2837:	Created container redis
07:37:44 Pod rfr-test-cluster-1 2837:	Started container redis
07:37:44 Pod rfr-test-cluster-1 2837:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:37:45 Pod rfr-test-cluster-1 2837:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 123.325724ms
07:37:45 Pod rfr-test-cluster-1 2837:	Created container redis-exporter
07:37:47 Pod rfr-test-cluster-1 2837:	Started container redis-exporter
07:38:14 Pod rfr-test-cluster-1 2837:	Readiness probe failed: 
07:23:40 Pod rfr-test-cluster-2 843:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-12-worker2
07:23:41 Pod rfr-test-cluster-2 846:	Container image "redis:6.2.6-alpine" already present on machine
07:23:41 Pod rfr-test-cluster-2 846:	Created container redis
07:23:41 Pod rfr-test-cluster-2 846:	Started container redis
07:23:41 Pod rfr-test-cluster-2 846:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:23:41 Pod rfr-test-cluster-2 846:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 270.777212ms
07:23:41 Pod rfr-test-cluster-2 846:	Created container redis-exporter
07:23:44 Pod rfr-test-cluster-2 846:	Started container redis-exporter
07:24:20 Pod rfr-test-cluster-2 846:	Readiness probe failed: 
07:27:12 Pod rfr-test-cluster-2 846:	Stopping container redis
07:27:12 Pod rfr-test-cluster-2 846:	Stopping container redis-exporter
07:27:13 Pod rfr-test-cluster-2 1419:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-12-worker2
07:27:16 Pod rfr-test-cluster-2 1420:	Container image "redis:6.2.6-alpine" already present on machine
07:27:16 Pod rfr-test-cluster-2 1420:	Created container redis
07:27:16 Pod rfr-test-cluster-2 1420:	Started container redis
07:27:16 Pod rfr-test-cluster-2 1420:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:27:17 Pod rfr-test-cluster-2 1420:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 130.576207ms
07:27:17 Pod rfr-test-cluster-2 1420:	Created container redis-exporter
07:27:19 Pod rfr-test-cluster-2 1420:	Started container redis-exporter
07:31:12 Pod rfr-test-cluster-2 1420:	Stopping container redis
07:31:12 Pod rfr-test-cluster-2 1420:	Stopping container redis-exporter
07:31:13 Pod rfr-test-cluster-2 1927:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-12-worker2
07:31:13 Pod rfr-test-cluster-2 1929:	Container image "redis:6.2.6-alpine" already present on machine
07:31:13 Pod rfr-test-cluster-2 1929:	Created container redis
07:31:14 Pod rfr-test-cluster-2 1929:	Started container redis
07:31:14 Pod rfr-test-cluster-2 1929:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:31:14 Pod rfr-test-cluster-2 1929:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 130.111515ms
07:31:14 Pod rfr-test-cluster-2 1929:	Created container redis-exporter
07:31:17 Pod rfr-test-cluster-2 1929:	Started container redis-exporter
07:33:12 Pod rfr-test-cluster-2 1929:	Stopping container redis
07:33:12 Pod rfr-test-cluster-2 1929:	Stopping container redis-exporter
07:33:14 Pod rfr-test-cluster-2 2241:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-12-worker2
07:33:14 Pod rfr-test-cluster-2 2242:	Container image "redis:6.2.6-alpine" already present on machine
07:33:14 Pod rfr-test-cluster-2 2242:	Created container redis
07:33:15 Pod rfr-test-cluster-2 2242:	Started container redis
07:33:15 Pod rfr-test-cluster-2 2242:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:33:15 Pod rfr-test-cluster-2 2242:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 123.235436ms
07:33:15 Pod rfr-test-cluster-2 2242:	Created container redis-exporter
07:33:17 Pod rfr-test-cluster-2 2242:	Started container redis-exporter
07:37:12 Pod rfr-test-cluster-2 2242:	Stopping container redis
07:37:12 Pod rfr-test-cluster-2 2242:	Stopping container redis-exporter
07:37:13 Pod rfr-test-cluster-2 2753:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-12-worker2
07:37:14 Pod rfr-test-cluster-2 2755:	Container image "redis:6.2.6-alpine" already present on machine
07:37:14 Pod rfr-test-cluster-2 2755:	Created container redis
07:37:14 Pod rfr-test-cluster-2 2755:	Started container redis
07:37:14 Pod rfr-test-cluster-2 2755:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:37:14 Pod rfr-test-cluster-2 2755:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 122.172343ms
07:37:14 Pod rfr-test-cluster-2 2755:	Created container redis-exporter
07:37:17 Pod rfr-test-cluster-2 2755:	Started container redis-exporter
07:23:40 PodDisruptionBudget rfr-test-cluster 826:	No matching pods found
07:23:40 StatefulSet rfr-test-cluster 830:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
07:23:40 StatefulSet rfr-test-cluster 830:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
07:23:40 StatefulSet rfr-test-cluster 830:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
07:23:40 Pod rfs-test-cluster-54df69f8df-wtv8b 866:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-wtv8b to acto-cluster-12-worker3
07:23:41 Pod rfs-test-cluster-54df69f8df-wtv8b 872:	Container image "redis:6.2.6-alpine" already present on machine
07:23:41 Pod rfs-test-cluster-54df69f8df-wtv8b 872:	Created container sentinel-config-copy
07:23:56 Pod rfs-test-cluster-54df69f8df-wtv8b 872:	Started container sentinel-config-copy
07:23:59 Pod rfs-test-cluster-54df69f8df-wtv8b 872:	Container image "redis:6.2.6-alpine" already present on machine
07:23:59 Pod rfs-test-cluster-54df69f8df-wtv8b 872:	Created container sentinel
07:23:59 Pod rfs-test-cluster-54df69f8df-wtv8b 872:	Started container sentinel
07:23:40 Pod rfs-test-cluster-54df69f8df-z4v66 861:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-z4v66 to acto-cluster-12-worker
07:23:41 Pod rfs-test-cluster-54df69f8df-z4v66 867:	Container image "redis:6.2.6-alpine" already present on machine
07:23:41 Pod rfs-test-cluster-54df69f8df-z4v66 867:	Created container sentinel-config-copy
07:23:56 Pod rfs-test-cluster-54df69f8df-z4v66 867:	Started container sentinel-config-copy
07:23:58 Pod rfs-test-cluster-54df69f8df-z4v66 867:	Container image "redis:6.2.6-alpine" already present on machine
07:23:58 Pod rfs-test-cluster-54df69f8df-z4v66 867:	Created container sentinel
07:23:58 Pod rfs-test-cluster-54df69f8df-z4v66 867:	Started container sentinel
