Name,Owner,Desc,url,forks,stars,commits,watches,created_at,pushed_at
APT_CyberCriminal_Campagin_Collections,CyberMonitor,APT & CyberCriminal Campaign Collection,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections,844,3107,438,1176,2017-02-11,2023-03-16
rocketmq-externals,apache,Mirror of Apache RocketMQ (Incubating),https://github.com/apache/rocketmq-externals,3053,4379,272,982,2017-03-14,2022-12-08
litmus,litmuschaos,Litmus helps  SREs and developers practice chaos engineering in a Cloud-native way. Chaos experiments are published at the ChaosHub  (https://hub.litmuschaos.io). Community notes is at https://hackmd.io/a4Zu_sH4TZGeih-xCimi3Q,https://github.com/litmuschaos/litmus,556,3557,66,2523,2017-03-15,2023-03-20
mattermost-helm,mattermost,Mattermost Helm charts for Kubernetes,https://github.com/mattermost/mattermost-helm,134,152,41,314,2017-03-23,2023-03-16
cert-operator,giantswarm,cert-operator creates and manages certificates for Kubernetes clusters running on Giant Swarm,https://github.com/giantswarm/cert-operator,7,37,14,439,2017-03-13,2023-03-17
lbex,sostheim,External Load Balancer for GKE Based Kubernetes Services,https://github.com/sostheim/lbex,5,7,17,190,2017-03-13,2022-08-24
examples,k8spatterns,"Examples for ""Kubernetes Patterns - Reusable Elements for Designing Cloud-Native Applications"" ",https://github.com/k8spatterns/examples,231,874,51,218,2017-04-20,2023-03-19
operatorkit,giantswarm,An opinionated Go framework for developing Kubernetes operators,https://github.com/giantswarm/operatorkit,16,198,21,478,2017-04-10,2023-03-15
guide,hobby-kube,Kubernetes clusters for the hobbyist.,https://github.com/hobby-kube/guide,258,5361,114,68,2017-04-18,2023-01-24
kubernetes-secret-generator,mittwald,Kubernetes controller for automatically generating and updating secrets,https://github.com/mittwald/kubernetes-secret-generator,39,223,13,120,2017-04-11,2023-02-28
PaddleCloud,PaddlePaddle,PaddlePaddle Docker images and K8s operators for PaddleOCR/Detection developers to use on public/private cloud.,https://github.com/PaddlePaddle/PaddleCloud,71,242,28,425,2017-04-26,2022-07-26
enterprise_gateway,jupyter-server,"A lightweight, multi-tenant, scalable and secure gateway that enables Jupyter Notebooks to share resources across distributed clusters such as Apache Spark, Kubernetes and others.",https://github.com/jupyter-server/enterprise_gateway,203,550,42,1322,2017-04-21,2023-03-21
blog_demos,zq2599,CSDN博客专家程序员欣宸的github，这里有六百多篇原创文章的详细分类和汇总，以及对应的源码，内容涉及Java、Docker、Kubernetes、DevOPS等方面,https://github.com/zq2599/blog_demos,1570,3473,106,902,2017-04-09,2023-03-15
kubernikus,sapcc,Kubernetes as a Service for Openstack,https://github.com/sapcc/kubernikus,28,129,42,2182,2017-04-24,2023-03-17
docker-tools,instantlinux,Docker tools for developer productivity & entertainment,https://github.com/instantlinux/docker-tools,81,228,11,517,2017-04-03,2023-02-24
kubeadm-playbook,ReSearchITEng,"Fully fledged (HA) Kubernetes Cluster using official kubeadm, ansible and helm. Tested on RHEL/CentOS/Ubuntu with support of http_proxy, dashboard installed, ingress controller, heapster - using official helm charts",https://github.com/ReSearchITEng/kubeadm-playbook,101,583,21,492,2017-04-12,2022-12-28
kubecrt,blendle,Convert Helm charts to Kubernetes resources.,https://github.com/blendle/kubecrt,12,114,15,57,2017-04-23,2023-03-07
microprofile-health,eclipse,microprofile-health,https://github.com/eclipse/microprofile-health,58,94,28,406,2017-04-25,2022-10-04
hermes,sapcc,Audit Data API for OpenStack deployments.,https://github.com/sapcc/hermes,3,13,35,376,2017-04-27,2023-03-16
dockerfile-varnish,livingdocsIO,"A varnish setup with config hot reloading, ready to use in kubernetes and dockerized environments.",https://github.com/livingdocsIO/dockerfile-varnish,2,4,27,186,2017-04-24,2022-11-11
