kubernetes-kitap,mstrYoda,,https://github.com/mstrYoda/kubernetes-kitap,148,1359,71,65,2020-08-10,2023-02-05
clickhouse-operator,Altinity,"The Altinity Operator for ClickHouse creates, configures and manages ClickHouse clusters running on Kubernetes",https://github.com/Altinity/clickhouse-operator,346,1243,22,4658,2019-01-10,2023-03-20
move2kube-operator,konveyor,Operator to orchestrate Move2Kube UI and API,https://github.com/konveyor/move2kube-operator,7,6,10,53,2020-09-26,2023-03-15
opentelemetry-operator,open-telemetry,Kubernetes Operator for OpenTelemetry Collector,https://github.com/open-telemetry/opentelemetry-operator,265,686,24,802,2019-12-18,2023-03-20
custom-pod-autoscaler,jthomperoo,"Custom Pod Autoscaler program and base images, allows creation of Custom Pod Autoscalers",https://github.com/jthomperoo/custom-pod-autoscaler,18,228,10,102,2019-09-24,2023-03-07
kube-ladder,caicloud,"Learning Kubernetes, The Chinese Taoist Way",https://github.com/caicloud/kube-ladder,483,2257,108,31,2019-07-15,2022-11-28
polymesh-tools,PolymeshAssociation,Tools and files to support polymesh deployments,https://github.com/PolymeshAssociation/polymesh-tools,7,4,10,35,2020-11-10,2023-03-13
cert-kubernetes,icp4a,Certified Kubernetes Support for IBM Cloud Pak for Automation,https://github.com/icp4a/cert-kubernetes,64,32,12,59,2019-06-03,2022-07-22
dynamic-nfs-provisioner,openebs,Operator for dynamically provisioning an NFS server on any Kubernetes Persistent Volume. Also creates an NFS volume on the dynamically provisioned server for enabling Kubernetes RWX volumes.,https://github.com/openebs/dynamic-nfs-provisioner,48,105,16,112,2020-11-09,2023-02-27
k3d-action,AbsaOSS,"A GitHub Action to run lightweight ephemeral Kubernetes clusters during workflow.  Fundamental advantage of this action is a full customization of embedded k3s clusters. In addition, it provides a private image registry and multi-cluster support.",https://github.com/AbsaOSS/k3d-action,20,137,10,87,2020-12-10,2023-03-19
sysdig-operator,sysdiglabs,Sysdig agent Operator configure Sysdig platform in your Kubernetes cluster,https://github.com/sysdiglabs/sysdig-operator,13,10,14,175,2019-02-22,2023-03-14
