I0402 06:58:08.500200       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"a7ab3961-7e6a-4fb6-b63c-ff66b254aaab", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"3547", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
E0402 06:58:17.117200       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
I0402 06:58:17.117369       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"a7ab3961-7e6a-4fb6-b63c-ff66b254aaab", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"3547", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
E0402 06:58:47.117294       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
I0402 06:58:47.117419       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"a7ab3961-7e6a-4fb6-b63c-ff66b254aaab", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"3547", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
E0402 06:59:17.117318       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
I0402 06:59:17.117402       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"a7ab3961-7e6a-4fb6-b63c-ff66b254aaab", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"3547", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
E0402 06:59:47.117601       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
I0402 06:59:47.117715       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"a7ab3961-7e6a-4fb6-b63c-ff66b254aaab", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"3547", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
E0402 07:00:17.117874       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
I0402 07:00:17.118033       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"a7ab3961-7e6a-4fb6-b63c-ff66b254aaab", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"3547", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
E0402 07:00:47.118096       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
I0402 07:00:47.118300       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"a7ab3961-7e6a-4fb6-b63c-ff66b254aaab", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"3547", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
E0402 07:01:17.118247       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
I0402 07:01:17.118406       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"a7ab3961-7e6a-4fb6-b63c-ff66b254aaab", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"3547", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
E0402 07:01:47.118348       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
I0402 07:01:47.118468       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"a7ab3961-7e6a-4fb6-b63c-ff66b254aaab", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"3547", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
E0402 07:02:17.118670       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
I0402 07:02:17.118996       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"a7ab3961-7e6a-4fb6-b63c-ff66b254aaab", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"3547", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
E0402 07:02:47.119086       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
