07:45:49 Pod redisoperator-56c8dfdfb-4h9cc 807:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-4h9cc to acto-cluster-4-worker2
07:59:07 Pod rfr-test-cluster-2 2387:	Created container redis
07:59:08 Pod rfr-test-cluster-2 2387:	Started container redis
07:59:08 Pod rfr-test-cluster-2 2387:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:59:08 Pod rfr-test-cluster-2 2387:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 118.257432ms
07:59:08 Pod rfr-test-cluster-2 2387:	Created container redis-exporter
07:59:11 Pod rfr-test-cluster-2 2387:	Started container redis-exporter
07:59:46 Pod rfr-test-cluster-2 2387:	Readiness probe failed: 
07:45:51 PodDisruptionBudget rfr-test-cluster 833:	No matching pods found
07:45:52 StatefulSet rfr-test-cluster 837:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
07:45:52 StatefulSet rfr-test-cluster 837:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
07:45:52 StatefulSet rfr-test-cluster 837:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
07:48:02 Endpoints rfr-test-cluster 953:	Failed to update endpoint acto-namespace/rfr-test-cluster: Operation cannot be fulfilled on endpoints "rfr-test-cluster": the object has been modified; please apply your changes to the latest version and try again
07:49:05 StatefulSet rfr-test-cluster 1356:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: [spec.containers[1].env[0].valueFrom.secretKeyRef.name: Invalid value: "": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*'), spec.containers[1].env[0].valueFrom.secretKeyRef.key: Required value]
07:49:59 StatefulSet rfr-test-cluster 1356:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: [spec.containers[1].env[0].valueFrom.secretKeyRef.name: Invalid value: "": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*'), spec.containers[1].env[0].valueFrom.secretKeyRef.key: Required value]
