Operator,Bug ID,Bug Link,Bug Title,Root Cause Location,Interaction,Pattern,Operation Semantics
CN/PostgresOp,CN/PostgresOp-339,https://github.com/cloudnative-pg/cloudnative-pg/issues/339,consider only healthy pods as electable for synchronous replica,Interaction,Application,Semantic violations,Precondition
CN/PostgresOp,CN/PostgresOp-3502,https://github.com/cloudnative-pg/cloudnative-pg/issues/3502,[Bug]: Poolers instances cannot be scaled to 0,Interaction,User,,
CN/PostgresOp,CN/PostgresOp-3588,https://github.com/cloudnative-pg/cloudnative-pg/issues/3588,[Bug]: Cluster unrecoverable because of incorrect primary_slot_name,Interaction,Application,Semantic violations,Configuration
CN/PostgresOp,CN/PostgresOp-3965,https://github.com/cloudnative-pg/cloudnative-pg/issues/3965,[Bug]: the process of hibernation is stuck in the unhealthy phase,Internal,,,
CN/PostgresOp,CN/PostgresOp-4286,https://github.com/cloudnative-pg/cloudnative-pg/issues/4286,[Bug]: Bug while creating a PodMonitor,Internal,,,
CN/PostgresOp,CN/PostgresOp-45,https://github.com/cloudnative-pg/cloudnative-pg/issues/45,Zombie syslogger processes when the postmaster is restarted,Internal,,,
CN/PostgresOp,CN/PostgresOp-4521,https://github.com/cloudnative-pg/cloudnative-pg/issues/4521,[Feature]: Graceful handling of WAL disk space exhaustion,Interaction,Application,Semantic violations,Precondition
CN/PostgresOp,CN/PostgresOp-4623,https://github.com/cloudnative-pg/cloudnative-pg/issues/4623,"[Bug]: instance manager is continuously spinning, using 100% of the CPU when fencing is on",Internal,,,
CN/PostgresOp,CN/PostgresOp-4626,https://github.com/cloudnative-pg/cloudnative-pg/issues/4626,"[Bug]: each times PostgreSQL starts, we SIGHUP it two times to change the pg_ident file",Interaction,Application,State observability,
CN/PostgresOp,CN/PostgresOp-4964,https://github.com/cloudnative-pg/cloudnative-pg/issues/4964,[Bug]: creating a pooler with the same name as the cluster internal service breaks the cluster,Interaction,Platform,,
CN/PostgresOp,CN/PostgresOp-625,https://github.com/cloudnative-pg/cloudnative-pg/issues/625,"FATAL:  data directory ""/var/lib/postgresql/data/pgdata"" has invalid permissions' when bootstrapping cluster from backup",Interaction,Application,Semantic violations,Environment
CN/PostgresOp,CN/PostgresOp-640,https://github.com/cloudnative-pg/cloudnative-pg/issues/640,Bug in GetAllAccessibleDatabases where a failed query would trigger a panic,Interaction,Application,Mishandling application errors,
CN/PostgresOp,CN/PostgresOp-739,https://github.com/cloudnative-pg/cloudnative-pg/issues/739,ensure that ConvertToPostgresFormat function parses RFC3339Micro timestamps,Internal,,,
CN/PostgresOp,CN/PostgresOp-869,https://github.com/cloudnative-pg/cloudnative-pg/issues/869,"Cannot import database: language \""plpgsql\"" does not exist",Interaction,Application,Semantic violations,Environment
CN/PostgresOp,CN/PostgresOp-896,https://github.com/cloudnative-pg/cloudnative-pg/issues/896,Single node PG 15 cluster stuck in Taking first backup,Interaction,Application,Version incompatibility,
CN/PostgresOp,CN/PostgresOp-915,https://github.com/cloudnative-pg/cloudnative-pg/issues/915,Integrate storage documentation with reasons behind not using Statefulsets,HelmChart,,,
CN/PostgresOp,CN/PostgresOp-934,https://github.com/cloudnative-pg/cloudnative-pg/issues/934,improve how we determine if an instance is stopped during hibernate on,Interaction,Application,State observability,
CN/PostgresOp,CN/PostgresOp-946,https://github.com/cloudnative-pg/cloudnative-pg/issues/946,Seccomp detection is failing on EKS 1.21,Internal,,,
CockroachOp,CockroachOp-137,https://github.com/cockroachdb/cockroach-operator/issues/137,PDB Issue: minAvailable is incorrect,Interaction,User,,
CockroachOp,CockroachOp-417,https://github.com/cockroachdb/cockroach-operator/issues/417,need to set cache values discretely not relatively,Interaction,Application,Semantic violations,Configuration
CockroachOp,CockroachOp-470,https://github.com/cockroachdb/cockroach-operator/issues/470,Statefulsets should use `Parallel` pod management,Interaction,Application,Semantic violations,Ordering
CockroachOp,CockroachOp-473,https://github.com/cockroachdb/cockroach-operator/issues/473,Major upgrades after scaling fail.,Interaction,Application,Semantic violations,Ordering
