I0402 10:19:55.408471       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
I0402 10:19:55.753716       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 3
I0402 10:19:55.753769       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 10:19:55.764082       1 stateful_set_control.go:92] : [acto-namespace/test-cluster]'s StatefulSet: [acto-namespace/test-cluster-tidb] updated successfully
I0402 10:19:55.805920       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
I0402 10:19:56.954071       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 10:19:56.955370       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 10:19:56.955420       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 10:19:57.000054       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
I0402 10:19:58.152905       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 10:19:58.154072       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 10:19:58.154100       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 10:19:58.200241       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
I0402 10:19:59.353182       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 10:19:59.354313       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 10:19:59.354348       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 10:20:00.553633       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 10:20:00.554573       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 10:20:00.554600       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 10:20:22.944699       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 10:20:22.945407       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 10:20:22.945427       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 10:20:27.176425       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 10:20:27.177050       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 10:20:27.192472       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
E0402 10:20:27.192513       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbUpgrader.Upgrade: failed to get pods test-cluster-tidb-2 for cluster acto-namespace/test-cluster, error: pod "test-cluster-tidb-2" not found, requeuing
I0402 10:20:27.550233       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 10:20:27.551172       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
E0402 10:20:27.551303       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbUpgrader.Upgrade: failed to get pods test-cluster-tidb-2 for cluster acto-namespace/test-cluster, error: pod "test-cluster-tidb-2" not found, requeuing
I0402 10:20:28.749128       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 10:20:28.750058       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
E0402 10:20:28.750241       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbUpgrader.Upgrade: failed to get pods test-cluster-tidb-2 for cluster acto-namespace/test-cluster, error: pod "test-cluster-tidb-2" not found, requeuing
I0402 10:20:32.869119       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 10:20:32.870454       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
E0402 10:20:32.870846       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbUpgrader.Upgrade: failed to get pods test-cluster-tidb-2 for cluster acto-namespace/test-cluster, error: pod "test-cluster-tidb-2" not found, requeuing
I0402 10:20:40.987133       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 10:20:40.987571       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
E0402 10:20:40.987673       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbUpgrader.Upgrade: failed to get pods test-cluster-tidb-2 for cluster acto-namespace/test-cluster, error: pod "test-cluster-tidb-2" not found, requeuing
I0402 10:20:52.960295       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 10:20:52.960862       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
E0402 10:20:52.961034       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbUpgrader.Upgrade: failed to get pods test-cluster-tidb-2 for cluster acto-namespace/test-cluster, error: pod "test-cluster-tidb-2" not found, requeuing
I0402 10:20:57.109679       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
