I0402 08:31:03.960466       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
I0402 08:31:04.287513       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 3
I0402 08:31:04.287542       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 08:31:04.294892       1 stateful_set_control.go:92] : [acto-namespace/test-cluster]'s StatefulSet: [acto-namespace/test-cluster-tidb] updated successfully
I0402 08:31:04.334182       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
I0402 08:31:05.486517       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 08:31:05.487243       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 08:31:05.487266       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 08:31:05.532530       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
I0402 08:31:06.685111       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 08:31:06.685832       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 08:31:06.685860       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 08:31:28.703500       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 08:31:28.704922       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 08:31:28.704963       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 08:31:35.578624       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 08:31:35.579732       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
I0402 08:31:35.593962       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
E0402 08:31:35.594007       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbUpgrader.Upgrade: failed to get pods test-cluster-tidb-2 for cluster acto-namespace/test-cluster, error: pod "test-cluster-tidb-2" not found, requeuing
I0402 08:31:40.716992       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 08:31:40.717898       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
E0402 08:31:40.718060       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbUpgrader.Upgrade: failed to get pods test-cluster-tidb-2 for cluster acto-namespace/test-cluster, error: pod "test-cluster-tidb-2" not found, requeuing
I0402 08:31:40.814327       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 08:31:40.815214       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
E0402 08:31:40.815389       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbUpgrader.Upgrade: failed to get pods test-cluster-tidb-2 for cluster acto-namespace/test-cluster, error: pod "test-cluster-tidb-2" not found, requeuing
I0402 08:31:47.834215       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 08:31:47.835105       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
E0402 08:31:47.835241       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbUpgrader.Upgrade: failed to get pods test-cluster-tidb-2 for cluster acto-namespace/test-cluster, error: pod "test-cluster-tidb-2" not found, requeuing
I0402 08:31:55.967215       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 08:31:55.968454       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
E0402 08:31:55.968635       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbUpgrader.Upgrade: failed to get pods test-cluster-tidb-2 for cluster acto-namespace/test-cluster, error: pod "test-cluster-tidb-2" not found, requeuing
I0402 08:31:58.681425       1 tidb_failover.go:53] tidb failover is disabled for acto-namespace/test-cluster, skipped
I0402 08:31:58.682108       1 statefulset.go:164] set acto-namespace/test-cluster-tidb partition to 2
