05:42:39 Pod redisoperator-56c8dfdfb-h95dw 801:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-h95dw to acto-cluster-0-worker2
05:43:05 Pod rfs-test-cluster-54df69f8df-ssgxn 865:	Started container sentinel
05:42:42 Pod rfs-test-cluster-54df69f8df-z299s 867:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-z299s to acto-cluster-0-worker3
05:42:42 Pod rfs-test-cluster-54df69f8df-z299s 873:	Container image "redis:6.2.6-alpine" already present on machine
05:42:42 Pod rfs-test-cluster-54df69f8df-z299s 873:	Created container sentinel-config-copy
05:42:57 Pod rfs-test-cluster-54df69f8df-z299s 873:	Started container sentinel-config-copy
05:43:01 Pod rfs-test-cluster-54df69f8df-z299s 873:	Container image "redis:6.2.6-alpine" already present on machine
05:43:02 Pod rfs-test-cluster-54df69f8df-z299s 873:	Created container sentinel
05:43:05 Pod rfs-test-cluster-54df69f8df-z299s 873:	Started container sentinel
05:42:42 ReplicaSet rfs-test-cluster-54df69f8df 859:	Created pod: rfs-test-cluster-54df69f8df-ssgxn
05:42:42 ReplicaSet rfs-test-cluster-54df69f8df 859:	Created pod: rfs-test-cluster-54df69f8df-z299s
05:42:42 ReplicaSet rfs-test-cluster-54df69f8df 859:	Created pod: rfs-test-cluster-54df69f8df-9ngbt
05:42:41 PodDisruptionBudget rfs-test-cluster 854:	No matching pods found
05:42:42 Deployment rfs-test-cluster 858:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
