08:01:18 Pod redisoperator-56c8dfdfb-blkvc 792:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-blkvc to acto-cluster-6-worker
08:01:19 Pod redisoperator-56c8dfdfb-blkvc 794:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:01:19 Pod redisoperator-56c8dfdfb-blkvc 794:	Created container app
08:01:20 Pod redisoperator-56c8dfdfb-blkvc 794:	Started container app
08:01:18 ReplicaSet redisoperator-56c8dfdfb 789:	Created pod: redisoperator-56c8dfdfb-blkvc
08:00:47 Pod redisoperator-6445768794-7jz8c 722:	Successfully assigned acto-namespace/redisoperator-6445768794-7jz8c to acto-cluster-6-worker
08:00:49 Pod redisoperator-6445768794-7jz8c 725:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:00:49 Pod redisoperator-6445768794-7jz8c 725:	Created container app
08:00:50 Pod redisoperator-6445768794-7jz8c 725:	Started container app
08:00:52 Pod redisoperator-6445768794-7jz8c None:	Cancelling deletion of Pod acto-namespace/redisoperator-6445768794-7jz8c
08:01:21 Pod redisoperator-6445768794-7jz8c 725:	Stopping container app
08:00:47 ReplicaSet redisoperator-6445768794 713:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
08:00:47 ReplicaSet redisoperator-6445768794 719:	Created pod: redisoperator-6445768794-7jz8c
08:01:21 ReplicaSet redisoperator-6445768794 881:	Deleted pod: redisoperator-6445768794-7jz8c
08:00:47 Deployment redisoperator 712:	Scaled up replica set redisoperator-6445768794 to 1
08:01:18 Deployment redisoperator 788:	Scaled up replica set redisoperator-56c8dfdfb to 1
08:01:21 Deployment redisoperator 799:	Scaled down replica set redisoperator-6445768794 to 0
08:01:20 Pod rfr-test-cluster-0 825:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-6-worker
08:01:21 Pod rfr-test-cluster-0 830:	Container image "redis:6.2.6-alpine" already present on machine
08:01:21 Pod rfr-test-cluster-0 830:	Created container redis
08:01:21 Pod rfr-test-cluster-0 830:	Started container redis
08:01:21 Pod rfr-test-cluster-0 830:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:01:21 Pod rfr-test-cluster-0 830:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 264.834767ms
08:01:21 Pod rfr-test-cluster-0 830:	Created container redis-exporter
08:01:23 Pod rfr-test-cluster-0 830:	Started container redis-exporter
08:02:00 Pod rfr-test-cluster-0 830:	Readiness probe failed: 
08:13:30 Pod rfr-test-cluster-0 830:	Stopping container redis
08:13:30 Pod rfr-test-cluster-0 830:	Stopping container redis-exporter
08:13:30 Pod rfr-test-cluster-0 830:	Readiness probe errored: rpc error: code = Unknown desc = failed to exec in container: container is in CONTAINER_EXITED state
08:13:31 Pod rfr-test-cluster-0 2265:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-6-worker
08:13:31 Pod rfr-test-cluster-0 2266:	Container image "redis:6.2.6-alpine" already present on machine
08:13:31 Pod rfr-test-cluster-0 2266:	Created container redis
08:13:31 Pod rfr-test-cluster-0 2266:	Started container redis
08:13:31 Pod rfr-test-cluster-0 2266:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
