06:38:05 Pod rfs-test-cluster-54df69f8df-lcb98 871:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-lcb98 to acto-cluster-1-worker2
06:38:05 Pod rfs-test-cluster-54df69f8df-lcb98 878:	Container image "redis:6.2.6-alpine" already present on machine
06:38:05 Pod rfs-test-cluster-54df69f8df-lcb98 878:	Created container sentinel-config-copy
06:38:19 Pod rfs-test-cluster-54df69f8df-lcb98 878:	Started container sentinel-config-copy
06:38:21 Pod rfs-test-cluster-54df69f8df-lcb98 878:	Container image "redis:6.2.6-alpine" already present on machine
06:38:21 Pod rfs-test-cluster-54df69f8df-lcb98 878:	Created container sentinel
06:38:21 Pod rfs-test-cluster-54df69f8df-lcb98 878:	Started container sentinel
06:43:35 Pod rfs-test-cluster-54df69f8df-lcb98 878:	Stopping container sentinel
06:38:05 Pod rfs-test-cluster-54df69f8df-nwx9h 868:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-nwx9h to acto-cluster-1-worker
06:38:05 Pod rfs-test-cluster-54df69f8df-nwx9h 872:	Container image "redis:6.2.6-alpine" already present on machine
06:38:05 Pod rfs-test-cluster-54df69f8df-nwx9h 872:	Created container sentinel-config-copy
06:38:18 Pod rfs-test-cluster-54df69f8df-nwx9h 872:	Started container sentinel-config-copy
06:38:21 Pod rfs-test-cluster-54df69f8df-nwx9h 872:	Container image "redis:6.2.6-alpine" already present on machine
06:38:21 Pod rfs-test-cluster-54df69f8df-nwx9h 872:	Created container sentinel
06:38:21 Pod rfs-test-cluster-54df69f8df-nwx9h 872:	Started container sentinel
06:45:16 Pod rfs-test-cluster-54df69f8df-nwx9h 872:	Stopping container sentinel
06:38:05 ReplicaSet rfs-test-cluster-54df69f8df 866:	Created pod: rfs-test-cluster-54df69f8df-nwx9h
06:38:05 ReplicaSet rfs-test-cluster-54df69f8df 866:	Created pod: rfs-test-cluster-54df69f8df-hz98k
06:38:05 ReplicaSet rfs-test-cluster-54df69f8df 866:	Created pod: rfs-test-cluster-54df69f8df-lcb98
