09:06:04 Pod rfr-test-cluster-2 5173:	Created container redis
09:06:04 Pod rfr-test-cluster-2 5173:	Started container redis
09:06:04 Pod rfr-test-cluster-2 5173:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:06:04 Pod rfr-test-cluster-2 5173:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 111.169468ms
09:06:04 Pod rfr-test-cluster-2 5173:	Created container redis-exporter
09:06:06 Pod rfr-test-cluster-2 5173:	Started container redis-exporter
08:30:31 PodDisruptionBudget rfr-test-cluster 826:	No matching pods found
08:30:32 StatefulSet rfr-test-cluster 831:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
08:30:32 StatefulSet rfr-test-cluster 831:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
08:30:32 StatefulSet rfr-test-cluster 831:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
08:56:02 StatefulSet rfr-test-cluster 4133:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: [spec.containers[1].env[0].valueFrom.fieldRef.fieldPath: Invalid value: "ACTOKEY": error converting fieldPath: unsupported pod version: ACTOKEY, spec.containers[1].env[0].valueFrom.resourceFieldRef.resource: Unsupported value: "ACTOKEY": supported values: "limits.cpu", "limits.ephemeral-storage", "limits.memory", "requests.cpu", "requests.ephemeral-storage", "requests.memory", spec.containers[1].env[0].valueFrom.configMapKeyRef.name: Invalid value: "ACTOKEY": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*'), spec.containers[1].env[0].valueFrom: Invalid value: "": may not have more than one field specified at a time]
08:30:32 Pod rfs-test-cluster-54df69f8df-2gfbn 866:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-2gfbn to acto-cluster-4-worker2
08:30:32 Pod rfs-test-cluster-54df69f8df-2gfbn 871:	Container image "redis:6.2.6-alpine" already present on machine
08:30:33 Pod rfs-test-cluster-54df69f8df-2gfbn 871:	Created container sentinel-config-copy
08:30:48 Pod rfs-test-cluster-54df69f8df-2gfbn 871:	Started container sentinel-config-copy
08:30:49 Pod rfs-test-cluster-54df69f8df-2gfbn 871:	Container image "redis:6.2.6-alpine" already present on machine
08:30:49 Pod rfs-test-cluster-54df69f8df-2gfbn 871:	Created container sentinel
08:30:49 Pod rfs-test-cluster-54df69f8df-2gfbn 871:	Started container sentinel
08:30:32 Pod rfs-test-cluster-54df69f8df-8c4nk 867:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-8c4nk to acto-cluster-4-worker
08:30:32 Pod rfs-test-cluster-54df69f8df-8c4nk 872:	Container image "redis:6.2.6-alpine" already present on machine
08:30:33 Pod rfs-test-cluster-54df69f8df-8c4nk 872:	Created container sentinel-config-copy
08:30:46 Pod rfs-test-cluster-54df69f8df-8c4nk 872:	Started container sentinel-config-copy
08:30:48 Pod rfs-test-cluster-54df69f8df-8c4nk 872:	Container image "redis:6.2.6-alpine" already present on machine
08:30:48 Pod rfs-test-cluster-54df69f8df-8c4nk 872:	Created container sentinel
08:30:49 Pod rfs-test-cluster-54df69f8df-8c4nk 872:	Started container sentinel
08:30:32 Pod rfs-test-cluster-54df69f8df-wqjtz 861:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-wqjtz to acto-cluster-4-worker3
08:30:32 Pod rfs-test-cluster-54df69f8df-wqjtz 865:	Container image "redis:6.2.6-alpine" already present on machine
08:30:32 Pod rfs-test-cluster-54df69f8df-wqjtz 865:	Created container sentinel-config-copy
08:30:47 Pod rfs-test-cluster-54df69f8df-wqjtz 865:	Started container sentinel-config-copy
08:30:49 Pod rfs-test-cluster-54df69f8df-wqjtz 865:	Container image "redis:6.2.6-alpine" already present on machine
08:30:49 Pod rfs-test-cluster-54df69f8df-wqjtz 865:	Created container sentinel
08:30:50 Pod rfs-test-cluster-54df69f8df-wqjtz 865:	Started container sentinel
08:30:32 ReplicaSet rfs-test-cluster-54df69f8df 858:	Created pod: rfs-test-cluster-54df69f8df-wqjtz
08:30:32 ReplicaSet rfs-test-cluster-54df69f8df 858:	Created pod: rfs-test-cluster-54df69f8df-2gfbn
08:30:32 ReplicaSet rfs-test-cluster-54df69f8df 858:	Created pod: rfs-test-cluster-54df69f8df-8c4nk
08:30:32 PodDisruptionBudget rfs-test-cluster 832:	No matching pods found
08:30:32 Deployment rfs-test-cluster 857:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
