06:49:49 Pod redisoperator-56c8dfdfb-mj44d 779:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-mj44d to acto-cluster-4-worker
06:49:51 Pod redisoperator-56c8dfdfb-mj44d 781:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:49:51 Pod redisoperator-56c8dfdfb-mj44d 781:	Created container app
06:49:52 Pod redisoperator-56c8dfdfb-mj44d 781:	Started container app
06:49:49 ReplicaSet redisoperator-56c8dfdfb 776:	Created pod: redisoperator-56c8dfdfb-mj44d
06:49:19 Pod redisoperator-6445768794-9ls7f 712:	Successfully assigned acto-namespace/redisoperator-6445768794-9ls7f to acto-cluster-4-worker
06:49:21 Pod redisoperator-6445768794-9ls7f 715:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:49:21 Pod redisoperator-6445768794-9ls7f 715:	Created container app
06:49:22 Pod redisoperator-6445768794-9ls7f 715:	Started container app
06:49:53 Pod redisoperator-6445768794-9ls7f 715:	Stopping container app
06:49:19 ReplicaSet redisoperator-6445768794 703:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
06:49:19 ReplicaSet redisoperator-6445768794 709:	Created pod: redisoperator-6445768794-9ls7f
06:49:53 ReplicaSet redisoperator-6445768794 880:	Deleted pod: redisoperator-6445768794-9ls7f
06:49:19 Deployment redisoperator 702:	Scaled up replica set redisoperator-6445768794 to 1
06:49:49 Deployment redisoperator 775:	Scaled up replica set redisoperator-56c8dfdfb to 1
06:49:53 Deployment redisoperator 786:	Scaled down replica set redisoperator-6445768794 to 0
06:49:52 Pod rfr-test-cluster-0 813:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-4-worker2
06:49:52 Pod rfr-test-cluster-0 817:	Container image "redis:6.2.6-alpine" already present on machine
06:49:52 Pod rfr-test-cluster-0 817:	Created container redis
06:49:53 Pod rfr-test-cluster-0 817:	Started container redis
06:49:53 Pod rfr-test-cluster-0 817:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:49:53 Pod rfr-test-cluster-0 817:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 242.759197ms
06:49:53 Pod rfr-test-cluster-0 817:	Created container redis-exporter
06:49:56 Pod rfr-test-cluster-0 817:	Started container redis-exporter
06:50:32 Pod rfr-test-cluster-0 817:	Readiness probe failed: 
07:00:24 Pod rfr-test-cluster-0 817:	Stopping container redis
07:00:24 Pod rfr-test-cluster-0 817:	Stopping container redis-exporter
07:00:25 Pod rfr-test-cluster-0 2276:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-4-worker2
07:00:30 Pod rfr-test-cluster-0 2280:	Container image "redis:6.2.6-alpine" already present on machine
07:00:30 Pod rfr-test-cluster-0 2280:	Created container redis
