07:14:07 Pod rfs-test-cluster-54df69f8df-dmtlw 855:	Container image "redis:6.2.6-alpine" already present on machine
07:14:07 Pod rfs-test-cluster-54df69f8df-dmtlw 855:	Created container sentinel-config-copy
07:14:23 Pod rfs-test-cluster-54df69f8df-dmtlw 855:	Started container sentinel-config-copy
07:14:26 Pod rfs-test-cluster-54df69f8df-dmtlw 855:	Container image "redis:6.2.6-alpine" already present on machine
07:14:26 Pod rfs-test-cluster-54df69f8df-dmtlw 855:	Created container sentinel
07:14:27 Pod rfs-test-cluster-54df69f8df-dmtlw 855:	Started container sentinel
07:31:32 Pod rfs-test-cluster-54df69f8df-f7t9c 3028:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-f7t9c to acto-cluster-11-worker3
07:31:32 Pod rfs-test-cluster-54df69f8df-f7t9c 3032:	Container image "redis:6.2.6-alpine" already present on machine
07:31:32 Pod rfs-test-cluster-54df69f8df-f7t9c 3032:	Created container sentinel-config-copy
07:31:45 Pod rfs-test-cluster-54df69f8df-f7t9c 3032:	Started container sentinel-config-copy
07:31:47 Pod rfs-test-cluster-54df69f8df-f7t9c 3032:	Container image "redis:6.2.6-alpine" already present on machine
07:31:47 Pod rfs-test-cluster-54df69f8df-f7t9c 3032:	Created container sentinel
07:31:47 Pod rfs-test-cluster-54df69f8df-f7t9c 3032:	Started container sentinel
07:32:50 Pod rfs-test-cluster-54df69f8df-f7t9c 3032:	Stopping container sentinel
07:30:14 Pod rfs-test-cluster-54df69f8df-mnldr 2856:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-mnldr to acto-cluster-11-worker3
07:30:15 Pod rfs-test-cluster-54df69f8df-mnldr 2861:	Container image "redis:6.2.6-alpine" already present on machine
07:30:15 Pod rfs-test-cluster-54df69f8df-mnldr 2861:	Created container sentinel-config-copy
07:30:27 Pod rfs-test-cluster-54df69f8df-mnldr 2861:	Started container sentinel-config-copy
07:30:30 Pod rfs-test-cluster-54df69f8df-mnldr 2861:	Container image "redis:6.2.6-alpine" already present on machine
07:30:30 Pod rfs-test-cluster-54df69f8df-mnldr 2861:	Created container sentinel
07:30:30 Pod rfs-test-cluster-54df69f8df-mnldr 2861:	Started container sentinel
07:31:32 Pod rfs-test-cluster-54df69f8df-pswsk 3031:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-pswsk to acto-cluster-11-worker2
07:31:32 Pod rfs-test-cluster-54df69f8df-pswsk 3035:	Container image "redis:6.2.6-alpine" already present on machine
07:31:32 Pod rfs-test-cluster-54df69f8df-pswsk 3035:	Created container sentinel-config-copy
07:31:45 Pod rfs-test-cluster-54df69f8df-pswsk 3035:	Started container sentinel-config-copy
07:31:48 Pod rfs-test-cluster-54df69f8df-pswsk 3035:	Container image "redis:6.2.6-alpine" already present on machine
