07:40:15 Pod redisoperator-56c8dfdfb-rmcp7 793:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-rmcp7 to acto-cluster-13-worker3
07:40:17 Pod redisoperator-56c8dfdfb-rmcp7 796:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:40:17 Pod redisoperator-56c8dfdfb-rmcp7 796:	Created container app
07:40:19 Pod redisoperator-56c8dfdfb-rmcp7 796:	Started container app
07:40:15 ReplicaSet redisoperator-56c8dfdfb 790:	Created pod: redisoperator-56c8dfdfb-rmcp7
07:39:45 Pod redisoperator-6445768794-bmg9g 722:	Successfully assigned acto-namespace/redisoperator-6445768794-bmg9g to acto-cluster-13-worker3
07:39:46 Pod redisoperator-6445768794-bmg9g 725:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:39:46 Pod redisoperator-6445768794-bmg9g 725:	Created container app
07:39:48 Pod redisoperator-6445768794-bmg9g 725:	Started container app
07:40:19 Pod redisoperator-6445768794-bmg9g 725:	Stopping container app
07:39:45 ReplicaSet redisoperator-6445768794 714:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
07:39:45 ReplicaSet redisoperator-6445768794 720:	Created pod: redisoperator-6445768794-bmg9g
07:40:19 ReplicaSet redisoperator-6445768794 901:	Deleted pod: redisoperator-6445768794-bmg9g
07:39:45 Deployment redisoperator 712:	Scaled up replica set redisoperator-6445768794 to 1
07:40:15 Deployment redisoperator 789:	Scaled up replica set redisoperator-56c8dfdfb to 1
07:40:19 Deployment redisoperator 800:	Scaled down replica set redisoperator-6445768794 to 0
07:40:18 Pod rfr-test-cluster-0 825:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-13-worker
07:40:18 Pod rfr-test-cluster-0 830:	Container image "redis:6.2.6-alpine" already present on machine
07:40:18 Pod rfr-test-cluster-0 830:	Created container redis
07:40:19 Pod rfr-test-cluster-0 830:	Started container redis
07:40:19 Pod rfr-test-cluster-0 830:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:40:19 Pod rfr-test-cluster-0 830:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 225.614362ms
07:40:19 Pod rfr-test-cluster-0 830:	Created container redis-exporter
07:40:22 Pod rfr-test-cluster-0 830:	Started container redis-exporter
07:40:58 Pod rfr-test-cluster-0 830:	Readiness probe failed: 
07:43:50 Pod rfr-test-cluster-0 830:	Stopping container redis
07:43:50 Pod rfr-test-cluster-0 830:	Stopping container redis-exporter
07:43:51 Pod rfr-test-cluster-0 1448:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-13-worker
07:43:52 Pod rfr-test-cluster-0 1449:	Container image "redis:6.2.6-alpine" already present on machine
07:43:52 Pod rfr-test-cluster-0 1449:	Created container redis
07:43:52 Pod rfr-test-cluster-0 1449:	Started container redis
07:43:52 Pod rfr-test-cluster-0 1449:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:43:52 Pod rfr-test-cluster-0 1449:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 171.672031ms
07:43:52 Pod rfr-test-cluster-0 1449:	Created container redis-exporter
07:43:55 Pod rfr-test-cluster-0 1449:	Started container redis-exporter
07:44:31 Pod rfr-test-cluster-0 1449:	Readiness probe failed: 
07:47:14 Pod rfr-test-cluster-0 1449:	Stopping container redis
07:47:14 Pod rfr-test-cluster-0 1449:	Stopping container redis-exporter
07:47:16 Pod rfr-test-cluster-0 1838:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-13-worker
07:47:16 Pod rfr-test-cluster-0 1840:	Container image "redis:6.2.6-alpine" already present on machine
07:47:16 Pod rfr-test-cluster-0 1840:	Created container redis
07:47:16 Pod rfr-test-cluster-0 1840:	Started container redis
07:47:16 Pod rfr-test-cluster-0 1840:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:47:17 Pod rfr-test-cluster-0 1840:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 129.360927ms
07:47:17 Pod rfr-test-cluster-0 1840:	Created container redis-exporter
07:47:19 Pod rfr-test-cluster-0 1840:	Started container redis-exporter
07:40:18 Pod rfr-test-cluster-1 828:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-13-worker2
07:40:18 Pod rfr-test-cluster-1 835:	Container image "redis:6.2.6-alpine" already present on machine
07:40:18 Pod rfr-test-cluster-1 835:	Created container redis
07:40:19 Pod rfr-test-cluster-1 835:	Started container redis
07:40:19 Pod rfr-test-cluster-1 835:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:40:19 Pod rfr-test-cluster-1 835:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 256.658656ms
07:40:19 Pod rfr-test-cluster-1 835:	Created container redis-exporter
