05:43:03 Pod rfs-test-cluster-54df69f8df-hh7bb 893:	Container image "redis:6.2.6-alpine" already present on machine
05:43:03 Pod rfs-test-cluster-54df69f8df-hh7bb 893:	Created container sentinel-config-copy
05:43:38 Pod rfs-test-cluster-54df69f8df-hh7bb 893:	Started container sentinel-config-copy
05:43:39 Pod rfs-test-cluster-54df69f8df-hh7bb 893:	Container image "redis:6.2.6-alpine" already present on machine
05:43:40 Pod rfs-test-cluster-54df69f8df-hh7bb 893:	Created container sentinel
05:43:41 Pod rfs-test-cluster-54df69f8df-hh7bb 893:	Started container sentinel
05:48:05 Pod rfs-test-cluster-54df69f8df-hh7bb 893:	Stopping container sentinel
05:42:58 Pod rfs-test-cluster-54df69f8df-mpvxd 882:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-mpvxd to acto-cluster-14-worker3
05:43:03 Pod rfs-test-cluster-54df69f8df-mpvxd 887:	Container image "redis:6.2.6-alpine" already present on machine
05:43:03 Pod rfs-test-cluster-54df69f8df-mpvxd 887:	Created container sentinel-config-copy
05:43:39 Pod rfs-test-cluster-54df69f8df-mpvxd 887:	Started container sentinel-config-copy
05:43:42 Pod rfs-test-cluster-54df69f8df-mpvxd 887:	Container image "redis:6.2.6-alpine" already present on machine
05:43:42 Pod rfs-test-cluster-54df69f8df-mpvxd 887:	Created container sentinel
05:43:42 Pod rfs-test-cluster-54df69f8df-mpvxd 887:	Started container sentinel
05:48:55 Pod rfs-test-cluster-54df69f8df-mpvxd 887:	Stopping container sentinel
05:42:58 ReplicaSet rfs-test-cluster-54df69f8df 880:	Created pod: rfs-test-cluster-54df69f8df-mpvxd
05:42:58 ReplicaSet rfs-test-cluster-54df69f8df 880:	Created pod: rfs-test-cluster-54df69f8df-2hssz
05:42:58 ReplicaSet rfs-test-cluster-54df69f8df 880:	Created pod: rfs-test-cluster-54df69f8df-hh7bb
05:47:15 ReplicaSet rfs-test-cluster-54df69f8df 1474:	Deleted pod: rfs-test-cluster-54df69f8df-2hssz
05:48:05 ReplicaSet rfs-test-cluster-54df69f8df 1606:	Deleted pod: rfs-test-cluster-54df69f8df-hh7bb
05:48:55 ReplicaSet rfs-test-cluster-54df69f8df 1739:	Deleted pod: rfs-test-cluster-54df69f8df-mpvxd
05:48:05 Pod rfs-test-cluster-6769cd86cf-hnmtp 1617:	Successfully assigned acto-namespace/rfs-test-cluster-6769cd86cf-hnmtp to acto-cluster-14-worker3
05:48:05 Pod rfs-test-cluster-6769cd86cf-hnmtp 1621:	Container image "redis:6.2.6-alpine" already present on machine
05:48:05 Pod rfs-test-cluster-6769cd86cf-hnmtp 1621:	Created container sentinel-config-copy
05:48:19 Pod rfs-test-cluster-6769cd86cf-hnmtp 1621:	Started container sentinel-config-copy
05:48:21 Pod rfs-test-cluster-6769cd86cf-hnmtp 1621:	Container image "redis:6.2.6-alpine" already present on machine
