06:14:58 Pod redisoperator-56c8dfdfb-mkmtb 780:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-mkmtb to acto-cluster-4-worker2
06:15:00 Pod redisoperator-56c8dfdfb-mkmtb 783:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:15:00 Pod redisoperator-56c8dfdfb-mkmtb 783:	Created container app
06:15:01 Pod redisoperator-56c8dfdfb-mkmtb 783:	Started container app
06:14:58 ReplicaSet redisoperator-56c8dfdfb 777:	Created pod: redisoperator-56c8dfdfb-mkmtb
06:14:28 Pod redisoperator-6445768794-42ppk 710:	Successfully assigned acto-namespace/redisoperator-6445768794-42ppk to acto-cluster-4-worker2
06:14:30 Pod redisoperator-6445768794-42ppk 712:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:14:30 Pod redisoperator-6445768794-42ppk 712:	Created container app
06:14:31 Pod redisoperator-6445768794-42ppk 712:	Started container app
06:15:01 Pod redisoperator-6445768794-42ppk 712:	Stopping container app
06:14:28 ReplicaSet redisoperator-6445768794 706:	Created pod: redisoperator-6445768794-42ppk
06:15:01 ReplicaSet redisoperator-6445768794 841:	Deleted pod: redisoperator-6445768794-42ppk
06:14:28 Deployment redisoperator 703:	Scaled up replica set redisoperator-6445768794 to 1
06:14:58 Deployment redisoperator 776:	Scaled up replica set redisoperator-56c8dfdfb to 1
06:15:01 Deployment redisoperator 787:	Scaled down replica set redisoperator-6445768794 to 0
06:15:01 Pod rfr-test-cluster-0 812:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-4-worker2
06:15:02 Pod rfr-test-cluster-0 816:	Container image "redis:6.2.6-alpine" already present on machine
06:15:02 Pod rfr-test-cluster-0 816:	Created container redis
06:15:02 Pod rfr-test-cluster-0 816:	Started container redis
06:15:02 Pod rfr-test-cluster-0 816:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:15:02 Pod rfr-test-cluster-0 816:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 236.550261ms
06:15:02 Pod rfr-test-cluster-0 816:	Created container redis-exporter
06:15:05 Pod rfr-test-cluster-0 816:	Started container redis-exporter
06:15:41 Pod rfr-test-cluster-0 816:	Readiness probe failed: 
06:22:03 Pod rfr-test-cluster-0 816:	Stopping container redis
06:22:03 Pod rfr-test-cluster-0 816:	Stopping container redis-exporter
06:22:04 Pod rfr-test-cluster-0 1760:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-4-worker2
06:22:05 Pod rfr-test-cluster-0 1761:	Pulling image "redis:6.2.6-alpine"
06:22:05 Pod rfr-test-cluster-0 1761:	Successfully pulled image "redis:6.2.6-alpine" in 464.873906ms
06:22:05 Pod rfr-test-cluster-0 1761:	Created container redis
06:22:05 Pod rfr-test-cluster-0 1761:	Started container redis
06:22:44 Pod rfr-test-cluster-0 1761:	Readiness probe failed: 
06:25:35 Pod rfr-test-cluster-0 1761:	Stopping container redis
06:25:36 Pod rfr-test-cluster-0 2149:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-4-worker2
06:25:36 Pod rfr-test-cluster-0 2151:	Container image "redis:6.2.6-alpine" already present on machine
06:25:36 Pod rfr-test-cluster-0 2151:	Created container redis
06:25:37 Pod rfr-test-cluster-0 2151:	Started container redis
06:25:37 Pod rfr-test-cluster-0 2151:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:25:37 Pod rfr-test-cluster-0 2151:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 120.830346ms
06:25:37 Pod rfr-test-cluster-0 2151:	Created container redis-exporter
06:25:39 Pod rfr-test-cluster-0 2151:	Started container redis-exporter
06:15:01 Pod rfr-test-cluster-1 817:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-4-worker3
06:15:02 Pod rfr-test-cluster-1 822:	Container image "redis:6.2.6-alpine" already present on machine
06:15:02 Pod rfr-test-cluster-1 822:	Created container redis
06:15:02 Pod rfr-test-cluster-1 822:	Started container redis
06:15:02 Pod rfr-test-cluster-1 822:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
