05:31:03 Pod acto-test-operator-zookeeper-operator-658b9fbcfb-fc67f 730:	Successfully assigned acto-namespace/acto-test-operator-zookeeper-operator-658b9fbcfb-fc67f to acto-cluster-12-worker2
05:31:03 Pod acto-test-operator-zookeeper-operator-658b9fbcfb-fc67f 732:	Container image "pravega/zookeeper-operator:0.2.13" already present on machine
05:31:03 Pod acto-test-operator-zookeeper-operator-658b9fbcfb-fc67f 732:	Created container acto-test-operator-zookeeper-operator
05:31:04 Pod acto-test-operator-zookeeper-operator-658b9fbcfb-fc67f 732:	Started container acto-test-operator-zookeeper-operator
05:31:03 ReplicaSet acto-test-operator-zookeeper-operator-658b9fbcfb 727:	Created pod: acto-test-operator-zookeeper-operator-658b9fbcfb-fc67f
05:31:03 Deployment acto-test-operator-zookeeper-operator 725:	Scaled up replica set acto-test-operator-zookeeper-operator-658b9fbcfb to 1
05:31:36 PersistentVolumeClaim data-test-cluster-0 818:	waiting for first consumer to be created before binding
05:31:36 PersistentVolumeClaim data-test-cluster-0 832:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
05:31:36 PersistentVolumeClaim data-test-cluster-0 832:	External provisioner is provisioning volume for claim "acto-namespace/data-test-cluster-0"
05:31:40 PersistentVolumeClaim data-test-cluster-0 832:	Successfully provisioned volume pvc-4ff7d7fe-a39c-428d-8028-e6ac6377499a
05:32:01 PersistentVolumeClaim data-test-cluster-1 918:	waiting for first consumer to be created before binding
05:32:01 PersistentVolumeClaim data-test-cluster-1 924:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
05:32:01 PersistentVolumeClaim data-test-cluster-1 924:	External provisioner is provisioning volume for claim "acto-namespace/data-test-cluster-1"
05:32:07 PersistentVolumeClaim data-test-cluster-1 924:	Successfully provisioned volume pvc-0f6b8683-7c09-441a-835b-ce7db5df4176
05:32:51 PersistentVolumeClaim data-test-cluster-2 1056:	waiting for first consumer to be created before binding
05:32:51 PersistentVolumeClaim data-test-cluster-2 1063:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
05:32:51 PersistentVolumeClaim data-test-cluster-2 1063:	External provisioner is provisioning volume for claim "acto-namespace/data-test-cluster-2"
05:32:55 PersistentVolumeClaim data-test-cluster-2 1063:	Successfully provisioned volume pvc-1d7d5c9f-4d3d-4079-974c-d8f388f43420
05:31:41 Pod test-cluster-0 824:	Successfully assigned acto-namespace/test-cluster-0 to acto-cluster-12-worker
05:31:42 Pod test-cluster-0 865:	Container image "pravega/zookeeper:0.2.14" already present on machine
05:31:42 Pod test-cluster-0 865:	Created container zookeeper
05:31:42 Pod test-cluster-0 865:	Started container zookeeper
05:38:54 Pod test-cluster-0 865:	Stopping container zookeeper
05:39:27 Pod test-cluster-0 1839:	Successfully assigned acto-namespace/test-cluster-0 to acto-cluster-12-worker
05:39:27 Pod test-cluster-0 1840:	Pulling image "pravega/zookeeper:0.2.14"
05:39:28 Pod test-cluster-0 1840:	Successfully pulled image "pravega/zookeeper:0.2.14" in 417.448898ms
05:39:28 Pod test-cluster-0 1840:	Created container zookeeper
05:39:28 Pod test-cluster-0 1840:	Started container zookeeper
05:42:05 Pod test-cluster-0 1840:	Stopping container zookeeper
05:42:37 Pod test-cluster-0 2287:	Successfully assigned acto-namespace/test-cluster-0 to acto-cluster-12-worker
05:42:38 Pod test-cluster-0 2288:	Container image "pravega/zookeeper:0.2.14" already present on machine
05:42:38 Pod test-cluster-0 2288:	Created container zookeeper
05:42:38 Pod test-cluster-0 2288:	Started container zookeeper
05:45:17 Pod test-cluster-0 2288:	Stopping container zookeeper
05:45:48 Pod test-cluster-0 2737:	Successfully assigned acto-namespace/test-cluster-0 to acto-cluster-12-worker
05:45:49 Pod test-cluster-0 2738:	Container image "pravega/zookeeper:0.2.14" already present on machine
05:45:49 Pod test-cluster-0 2738:	Created container zookeeper
05:45:50 Pod test-cluster-0 2738:	Started container zookeeper
05:48:27 Pod test-cluster-0 2738:	Stopping container zookeeper
05:48:59 Pod test-cluster-0 3176:	Successfully assigned acto-namespace/test-cluster-0 to acto-cluster-12-worker
05:49:00 Pod test-cluster-0 3177:	Container image "pravega/zookeeper:0.2.14" already present on machine
05:49:00 Pod test-cluster-0 3177:	Created container zookeeper
05:49:00 Pod test-cluster-0 3177:	Started container zookeeper
05:32:08 Pod test-cluster-1 921:	Successfully assigned acto-namespace/test-cluster-1 to acto-cluster-12-worker3
05:32:09 Pod test-cluster-1 955:	Container image "pravega/zookeeper:0.2.14" already present on machine
