06:19:43 Pod redisoperator-56c8dfdfb-d26g8 813:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-d26g8 to acto-cluster-3-worker
06:27:58 Pod rfr-test-cluster-1 1859:	Created container redis
06:27:58 Pod rfr-test-cluster-1 1859:	Started container redis
06:32:48 Pod rfr-test-cluster-1 1859:	Stopping container redis
06:32:49 Pod rfr-test-cluster-1 2482:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-3-worker3
06:32:49 Pod rfr-test-cluster-1 2483:	Container image "redis:6.2.6-alpine" already present on machine
06:32:49 Pod rfr-test-cluster-1 2483:	Created container redis
06:32:50 Pod rfr-test-cluster-1 2483:	Started container redis
06:32:50 Pod rfr-test-cluster-1 2483:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:32:50 Pod rfr-test-cluster-1 2483:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 123.157486ms
06:32:50 Pod rfr-test-cluster-1 2483:	Created container redis-exporter
06:32:53 Pod rfr-test-cluster-1 2483:	Started container redis-exporter
06:33:29 Pod rfr-test-cluster-1 2483:	Readiness probe failed: 
06:36:11 Pod rfr-test-cluster-1 2483:	Stopping container redis
06:36:11 Pod rfr-test-cluster-1 2483:	Stopping container redis-exporter
06:36:13 Pod rfr-test-cluster-1 2874:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-3-worker3
06:36:14 Pod rfr-test-cluster-1 2877:	Container image "redis:6.2.6-alpine" already present on machine
06:36:14 Pod rfr-test-cluster-1 2877:	Created container redis
06:36:14 Pod rfr-test-cluster-1 2877:	Started container redis
06:40:48 Pod rfr-test-cluster-1 2877:	Stopping container redis
06:40:49 Pod rfr-test-cluster-1 3484:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-3-worker3
06:40:50 Pod rfr-test-cluster-1 3485:	Container image "redis:6.2.6-alpine" already present on machine
06:40:50 Pod rfr-test-cluster-1 3485:	Created container redis
06:40:50 Pod rfr-test-cluster-1 3485:	Started container redis
06:40:50 Pod rfr-test-cluster-1 3485:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:40:50 Pod rfr-test-cluster-1 3485:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 118.907585ms
06:40:50 Pod rfr-test-cluster-1 3485:	Created container redis-exporter
06:40:52 Pod rfr-test-cluster-1 3485:	Started container redis-exporter
06:41:29 Pod rfr-test-cluster-1 3485:	Readiness probe failed: 
06:19:45 Pod rfr-test-cluster-2 856:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-3-worker2
06:19:46 Pod rfr-test-cluster-2 859:	Container image "redis:6.2.6-alpine" already present on machine
06:19:46 Pod rfr-test-cluster-2 859:	Created container redis
06:19:46 Pod rfr-test-cluster-2 859:	Started container redis
06:19:46 Pod rfr-test-cluster-2 859:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:19:46 Pod rfr-test-cluster-2 859:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 314.686274ms
06:19:46 Pod rfr-test-cluster-2 859:	Created container redis-exporter
06:19:49 Pod rfr-test-cluster-2 859:	Started container redis-exporter
06:20:25 Pod rfr-test-cluster-2 859:	Readiness probe failed: 
06:28:18 Pod rfr-test-cluster-2 859:	Stopping container redis
06:28:18 Pod rfr-test-cluster-2 859:	Stopping container redis-exporter
06:28:19 Pod rfr-test-cluster-2 1915:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-3-worker2
06:28:20 Pod rfr-test-cluster-2 1916:	Container image "redis:6.2.6-alpine" already present on machine
06:28:20 Pod rfr-test-cluster-2 1916:	Created container redis
06:28:20 Pod rfr-test-cluster-2 1916:	Started container redis
06:32:17 Pod rfr-test-cluster-2 1916:	Stopping container redis
06:32:19 Pod rfr-test-cluster-2 2404:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-3-worker2
06:32:19 Pod rfr-test-cluster-2 2407:	Container image "redis:6.2.6-alpine" already present on machine
06:32:19 Pod rfr-test-cluster-2 2407:	Created container redis
06:32:19 Pod rfr-test-cluster-2 2407:	Started container redis
06:32:19 Pod rfr-test-cluster-2 2407:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
