06:31:43 Pod redisoperator-56c8dfdfb-c25rp 781:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-c25rp to acto-cluster-10-worker2
06:31:44 Pod redisoperator-56c8dfdfb-c25rp 782:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:31:44 Pod redisoperator-56c8dfdfb-c25rp 782:	Created container app
06:31:45 Pod redisoperator-56c8dfdfb-c25rp 782:	Started container app
06:31:43 ReplicaSet redisoperator-56c8dfdfb 778:	Created pod: redisoperator-56c8dfdfb-c25rp
06:31:12 Pod redisoperator-6445768794-m4dcz 710:	Successfully assigned acto-namespace/redisoperator-6445768794-m4dcz to acto-cluster-10-worker3
06:31:14 Pod redisoperator-6445768794-m4dcz 715:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:31:14 Pod redisoperator-6445768794-m4dcz 715:	Created container app
06:31:15 Pod redisoperator-6445768794-m4dcz 715:	Started container app
06:31:46 Pod redisoperator-6445768794-m4dcz 715:	Stopping container app
06:31:12 ReplicaSet redisoperator-6445768794 702:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
06:31:12 ReplicaSet redisoperator-6445768794 708:	Created pod: redisoperator-6445768794-m4dcz
06:31:46 ReplicaSet redisoperator-6445768794 887:	Deleted pod: redisoperator-6445768794-m4dcz
06:31:12 Deployment redisoperator 700:	Scaled up replica set redisoperator-6445768794 to 1
06:31:43 Deployment redisoperator 777:	Scaled up replica set redisoperator-56c8dfdfb to 1
06:31:46 Deployment redisoperator 788:	Scaled down replica set redisoperator-6445768794 to 0
06:31:45 Pod rfr-test-cluster-0 813:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-10-worker2
06:31:45 Pod rfr-test-cluster-0 817:	Container image "redis:6.2.6-alpine" already present on machine
06:31:45 Pod rfr-test-cluster-0 817:	Created container redis
06:31:46 Pod rfr-test-cluster-0 817:	Started container redis
06:31:46 Pod rfr-test-cluster-0 817:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:31:46 Pod rfr-test-cluster-0 817:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 263.313422ms
06:31:46 Pod rfr-test-cluster-0 817:	Created container redis-exporter
06:31:48 Pod rfr-test-cluster-0 817:	Started container redis-exporter
06:32:25 Pod rfr-test-cluster-0 817:	Readiness probe failed: 
06:31:45 Pod rfr-test-cluster-1 818:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-10-worker
06:31:46 Pod rfr-test-cluster-1 822:	Container image "redis:6.2.6-alpine" already present on machine
06:31:46 Pod rfr-test-cluster-1 822:	Created container redis
06:31:46 Pod rfr-test-cluster-1 822:	Started container redis
06:31:46 Pod rfr-test-cluster-1 822:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:31:46 Pod rfr-test-cluster-1 822:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 288.913097ms
06:31:46 Pod rfr-test-cluster-1 822:	Created container redis-exporter
06:31:49 Pod rfr-test-cluster-1 822:	Started container redis-exporter
06:32:25 Pod rfr-test-cluster-1 822:	Readiness probe failed: 
06:31:45 Pod rfr-test-cluster-2 823:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-10-worker3
