I0402 08:08:29.307043       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"d5661197-e563-4df3-871f-4f0ec4cffca3", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1868", FieldPath:""}): type: 'Warning' reason: 'PDMemberUnhealthy' acto-namespace/test-cluster-pd-2(5110389971597451409) is unhealthy
I0402 08:08:29.307454       1 statefulset.go:164] set acto-namespace/test-cluster-pd partition to 2
I0402 08:08:29.352846       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
I0402 08:08:29.352879       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded pd pod: [test-cluster-pd-2] is not ready, requeuing
E0402 08:08:32.443341       1 pd_failover.go:70] PD failover replicas (0) reaches the limit (0), skip failover
I0402 08:08:32.443459       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"d5661197-e563-4df3-871f-4f0ec4cffca3", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1879", FieldPath:""}): type: 'Warning' reason: 'PDMemberUnhealthy' acto-namespace/test-cluster-pd-2(5110389971597451409) is unhealthy
I0402 08:08:32.443843       1 statefulset.go:164] set acto-namespace/test-cluster-pd partition to 2
I0402 08:08:32.443953       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded pd pod: [test-cluster-pd-2] is not ready, requeuing
E0402 08:08:35.527829       1 pd_failover.go:70] PD failover replicas (0) reaches the limit (0), skip failover
I0402 08:08:35.527978       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"d5661197-e563-4df3-871f-4f0ec4cffca3", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1893", FieldPath:""}): type: 'Warning' reason: 'PDMemberUnhealthy' acto-namespace/test-cluster-pd-2(5110389971597451409) is unhealthy
I0402 08:08:35.528906       1 statefulset.go:164] set acto-namespace/test-cluster-pd partition to 2
I0402 08:08:35.529134       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded pd pod: [test-cluster-pd-2] is not ready, requeuing
E0402 08:08:43.867171       1 pd_failover.go:70] PD failover replicas (0) reaches the limit (0), skip failover
I0402 08:08:43.867298       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"d5661197-e563-4df3-871f-4f0ec4cffca3", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1893", FieldPath:""}): type: 'Warning' reason: 'PDMemberUnhealthy' acto-namespace/test-cluster-pd-2(5110389971597451409) is unhealthy
I0402 08:08:43.867771       1 statefulset.go:164] set acto-namespace/test-cluster-pd partition to 2
I0402 08:08:43.867909       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded pd pod: [test-cluster-pd-2] is not ready, requeuing
E0402 08:08:50.395810       1 pd_failover.go:70] PD failover replicas (0) reaches the limit (0), skip failover
I0402 08:08:50.395932       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"d5661197-e563-4df3-871f-4f0ec4cffca3", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1893", FieldPath:""}): type: 'Warning' reason: 'PDMemberUnhealthy' acto-namespace/test-cluster-pd-2(5110389971597451409) is unhealthy
I0402 08:08:50.397428       1 statefulset.go:164] set acto-namespace/test-cluster-pd partition to 2
I0402 08:08:50.397750       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded pd pod: [test-cluster-pd-2] is not ready, requeuing
E0402 08:09:13.889856       1 pd_failover.go:70] PD failover replicas (0) reaches the limit (0), skip failover
I0402 08:09:13.889972       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"d5661197-e563-4df3-871f-4f0ec4cffca3", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1893", FieldPath:""}): type: 'Warning' reason: 'PDMemberUnhealthy' acto-namespace/test-cluster-pd-2(5110389971597451409) is unhealthy
I0402 08:09:13.891219       1 statefulset.go:164] set acto-namespace/test-cluster-pd partition to 2
I0402 08:09:13.891440       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded pd pod: [test-cluster-pd-2] is not ready, requeuing
E0402 08:09:43.873053       1 pd_failover.go:70] PD failover replicas (0) reaches the limit (0), skip failover
I0402 08:09:43.873180       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"d5661197-e563-4df3-871f-4f0ec4cffca3", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1893", FieldPath:""}): type: 'Warning' reason: 'PDMemberUnhealthy' acto-namespace/test-cluster-pd-2(5110389971597451409) is unhealthy
I0402 08:09:43.873844       1 statefulset.go:164] set acto-namespace/test-cluster-pd partition to 2
I0402 08:09:43.874007       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded pd pod: [test-cluster-pd-2] is not ready, requeuing
E0402 08:10:13.870973       1 pd_failover.go:70] PD failover replicas (0) reaches the limit (0), skip failover
I0402 08:10:13.871072       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"d5661197-e563-4df3-871f-4f0ec4cffca3", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1893", FieldPath:""}): type: 'Warning' reason: 'PDMemberUnhealthy' acto-namespace/test-cluster-pd-2(5110389971597451409) is unhealthy
I0402 08:10:13.871625       1 statefulset.go:164] set acto-namespace/test-cluster-pd partition to 2
I0402 08:10:13.871758       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded pd pod: [test-cluster-pd-2] is not ready, requeuing
E0402 08:10:30.483787       1 pd_failover.go:70] PD failover replicas (0) reaches the limit (0), skip failover
I0402 08:10:30.483902       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"d5661197-e563-4df3-871f-4f0ec4cffca3", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1893", FieldPath:""}): type: 'Warning' reason: 'PDMemberUnhealthy' acto-namespace/test-cluster-pd-2(5110389971597451409) is unhealthy
I0402 08:10:30.484522       1 statefulset.go:164] set acto-namespace/test-cluster-pd partition to 2
