07:37:36 Pod rfr-test-cluster-2 2404:	Created container redis
07:37:36 Pod rfr-test-cluster-2 2404:	Started container redis
07:37:36 Pod rfr-test-cluster-2 2404:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:37:36 Pod rfr-test-cluster-2 2404:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 121.248922ms
07:37:36 Pod rfr-test-cluster-2 2404:	Created container redis-exporter
07:37:39 Pod rfr-test-cluster-2 2404:	Started container redis-exporter
07:38:15 Pod rfr-test-cluster-2 2404:	Readiness probe failed: 
07:24:31 PodDisruptionBudget rfr-test-cluster 865:	No matching pods found
07:24:31 StatefulSet rfr-test-cluster 869:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
07:24:31 StatefulSet rfr-test-cluster 869:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
07:24:31 StatefulSet rfr-test-cluster 869:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
07:27:35 StatefulSet rfr-test-cluster 1378:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom.resourceFieldRef.resource: Unsupported value: "ACTOKEY": supported values: "limits.cpu", "limits.ephemeral-storage", "limits.memory", "requests.cpu", "requests.ephemeral-storage", "requests.memory"
07:28:04 StatefulSet rfr-test-cluster 1378:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom.resourceFieldRef.resource: Unsupported value: "ACTOKEY": supported values: "limits.cpu", "limits.ephemeral-storage", "limits.memory", "requests.cpu", "requests.ephemeral-storage", "requests.memory"
07:24:32 Pod rfs-test-cluster-54df69f8df-5lgw5 903:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-5lgw5 to acto-cluster-6-worker
07:24:32 Pod rfs-test-cluster-54df69f8df-5lgw5 910:	Container image "redis:6.2.6-alpine" already present on machine
07:24:32 Pod rfs-test-cluster-54df69f8df-5lgw5 910:	Created container sentinel-config-copy
07:24:47 Pod rfs-test-cluster-54df69f8df-5lgw5 910:	Started container sentinel-config-copy
07:24:49 Pod rfs-test-cluster-54df69f8df-5lgw5 910:	Container image "redis:6.2.6-alpine" already present on machine
07:24:49 Pod rfs-test-cluster-54df69f8df-5lgw5 910:	Created container sentinel
07:24:49 Pod rfs-test-cluster-54df69f8df-5lgw5 910:	Started container sentinel
